COMPANY NAME,TRF LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,252.26,,,,,,,,,
Market Capitalization,277.8,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,550.26,431.96,223.09,185.45,113.95,127.14,177.1,139.96,120.73,85.03
Raw Material Cost,322.71,251.46,78.59,42.96,20.66,14.01,10.63,15.97,3.8,9.34
Change in Inventory,-12.08,-29.24,-10.1,-6.47,-6.31,-17.47,-5.96,0.13,-0.22,3.12
Power and Fuel,4.19,4.27,3.33,3.91,2.2,2.55,1.73,1.39,1.42,
Other Mfr. Exp,107.04,94.47,69.97,82.21,48.52,27.17,20.34,18.03,12.98,
Employee Cost,61.88,67.05,44.65,52.39,51.49,35.86,60.94,62.52,61.3,57.38
Selling and admin,50.84,48.14,41.51,20.98,14.78,8.14,11.03,10.99,9.37,
Other Expenses,26.13,80.39,66.0,130.55,7.44,25.81,7.99,-4.48,2.18,12.7
Other Income,42.68,44.86,120.48,9.75,-14.89,13.85,50.18,17.11,18.05,4.53
Depreciation,5.53,4.99,3.39,3.3,2.74,2.42,2.01,2.24,2.52,2.91
Interest,47.76,48.95,60.88,37.43,38.0,30.62,24.75,13.86,14.06,14.82
Profit before tax,-45.22,-152.14,-34.85,-185.0,-93.08,-23.06,81.9,36.68,30.93,-4.47
Tax,-21.12,-18.02,0.01,0.03,0.03,-0.01,-6.68,2.08,5.14,
Net profit,-24.1,-134.11,-34.57,-185.03,-93.11,-23.04,88.58,34.6,25.79,-4.47
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,38.0,37.62,32.7,23.31,27.11,23.42,22.34,19.89,19.39,26.03
Expenses,32.69,32.47,25.94,11.8,20.88,20.22,17.27,13.19,25.64,24.7
Other Income,6.11,3.87,3.64,4.01,6.53,3.78,-6.96,3.65,4.06,5.89
Depreciation,0.62,0.57,0.63,0.65,0.87,0.66,0.71,0.78,0.77,0.8
Interest,4.5,3.47,3.75,3.6,3.23,2.81,4.16,3.83,4.01,4.55
Profit before tax,6.3,4.98,6.02,11.27,8.66,3.51,-6.76,5.74,-6.97,1.87
Tax,,,,,5.14,,0.05,,-0.06,
Net profit,6.3,4.99,6.02,11.27,3.52,3.51,-6.81,5.74,-6.91,1.88
Operating Profit,5.31,5.15,6.76,11.51,6.23,3.2,5.07,6.7,-6.25,1.33
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Reserves,-92.38,-211.83,-237.89,-416.63,-508.18,-531.21,-411.63,-394.55,-366.54,73.37
Borrowings,561.05,398.52,457.2,530.68,494.46,522.79,507.42,542.01,554.22,129.65
Other Liabilities,717.91,893.01,450.16,445.16,427.21,365.21,207.14,151.05,140.64,134.76
Total,1197.58,1090.7,680.47,570.21,424.49,367.79,313.93,309.51,339.32,348.78
Net Block,209.06,193.67,112.53,22.55,19.95,18.11,17.17,19.44,20.61,25.68
Capital Work in Progress,0.75,0.78,1.48,,,,,,0.94,2.3
Investments,17.72,18.9,27.95,0.43,0.75,0.74,61.69,65.56,19.86,226.12
Other Assets,970.05,877.35,538.51,547.23,403.79,348.94,235.07,224.51,297.91,94.68
Total,1197.58,1090.7,680.47,570.21,424.49,367.79,313.93,309.51,339.32,348.78
Receivables,551.57,380.21,299.27,220.06,192.28,139.4,62.98,99.06,30.8,25.03
Inventory,223.25,100.29,86.25,58.82,40.91,21.17,10.4,5.62,4.49,11.21
Cash & Bank,48.33,21.89,60.81,72.37,19.2,22.45,22.52,72.21,192.06,12.33
No. of Equity Shares,11004412.0,11004412.0,11004412.0,11004412.0,11004412.0,11004412.0,11004412.0,11004412.0,11004412.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,110.51,55.22,-106.99,-55.75,20.96,-37.68,83.1,33.9,93.56,-0.07
Cash from Investing Activity,2.06,25.19,134.12,1.47,60.51,6.33,-50.12,14.8,-110.85,-45.06
Cash from Financing Activity,-109.49,-70.01,-10.91,63.92,-79.13,8.93,-30.31,0.49,-0.62,-0.61
Net Cash Flow,3.07,10.4,16.21,9.65,2.35,-22.42,2.66,49.2,-17.91,-45.74
PRICE:,227.4,222.9,119.55,51.3,85.05,134.4,160.15,405.1,350.4,217.05
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
