COMPANY NAME,FLUIDOMAT LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1018.5,,,,,,,,,
Market Capitalization,502.12,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,26.25,23.83,26.77,25.49,27.81,32.69,45.45,54.57,70.66,72.46
Raw Material Cost,12.64,8.51,10.4,10.07,10.38,12.12,17.33,20.77,22.18,23.13
Change in Inventory,0.03,-0.67,-0.45,0.82,-0.23,-0.28,0.66,-0.15,-0.35,-0.62
Power and Fuel,0.82,0.81,0.92,0.92,0.88,0.93,1.09,1.11,1.17,
Other Mfr. Exp,-1.15,1.37,1.58,1.56,1.18,1.58,1.83,2.04,2.49,
Employee Cost,7.33,7.66,8.1,8.41,8.36,9.31,10.54,11.66,12.91,14.41
Selling and admin,2.5,1.88,1.66,1.71,1.99,3.32,3.44,4.47,5.4,
Other Expenses,0.2,0.12,0.69,0.29,0.03,-1.07,-0.5,-0.55,-1.18,10.38
Other Income,0.99,1.1,1.12,1.64,1.35,1.92,1.27,3.44,3.46,4.15
Depreciation,0.69,0.7,0.7,0.66,0.64,0.67,0.74,0.75,0.94,1.2
Interest,0.1,0.07,0.06,0.06,0.08,0.04,0.04,0.04,0.06,
Profit before tax,4.14,3.14,3.33,4.27,5.39,7.43,12.87,17.57,29.8,26.87
Tax,1.39,0.81,0.94,1.07,1.41,1.94,3.25,4.52,7.59,6.81
Net profit,2.75,2.33,2.39,3.2,3.98,5.49,9.62,13.05,22.22,20.06
Dividend Amount,0.86,0.86,0.99,1.11,1.6,1.73,2.22,2.22,3.7,3.7
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,12.63,15.65,15.59,19.0,16.64,20.95,12.39,16.4,14.43,29.24
Expenses,9.53,11.45,10.39,11.32,10.64,12.55,9.31,11.36,11.78,16.08
Other Income,0.58,1.58,0.67,0.76,1.33,0.7,0.79,1.63,0.81,0.91
Depreciation,0.18,0.2,0.21,0.23,0.23,0.27,0.29,0.31,0.31,0.29
Interest,,,,,,,,,,
Profit before tax,3.5,5.58,5.66,8.21,7.1,8.83,3.58,6.36,3.15,13.78
Tax,0.89,1.43,1.42,2.03,1.68,2.44,0.9,1.53,0.87,3.51
Net profit,2.61,4.15,4.24,6.17,5.42,6.39,2.68,4.84,2.28,10.27
Operating Profit,3.1,4.2,5.2,7.68,6.0,8.4,3.08,5.04,2.65,13.16
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93
Reserves,24.77,26.06,27.4,27.86,32.26,36.41,44.3,55.99,75.52,91.44
Borrowings,0.41,,,0.84,,,,,,
Other Liabilities,5.84,6.88,7.36,7.42,7.75,9.87,10.73,10.2,12.53,13.54
Total,35.95,37.87,39.69,41.05,44.94,51.21,59.96,71.12,92.98,109.91
Net Block,7.54,7.36,7.11,6.88,6.61,8.39,7.26,7.96,11.75,10.57
Capital Work in Progress,0.27,0.31,0.18,0.23,0.49,,0.02,0.27,1.98,4.22
Investments,,0.75,0.73,0.69,1.1,1.37,3.16,5.11,8.32,13.02
Other Assets,28.14,29.45,31.67,33.25,36.74,41.45,49.52,57.78,70.93,82.1
Total,35.95,37.87,39.69,41.05,44.94,51.21,59.96,71.12,92.98,109.91
Receivables,8.75,10.44,10.18,8.24,8.92,10.71,13.65,13.47,22.46,29.63
Inventory,5.69,4.56,4.21,5.42,5.5,4.78,6.42,6.45,5.17,5.47
Cash & Bank,0.32,0.45,0.44,0.55,0.8,1.87,2.31,1.27,0.68,0.39
No. of Equity Shares,4927000.0,4927000.0,4927000.0,4927000.0,4927000.0,4927000.0,4927000.0,4927000.0,4927000.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,6.13,2.57,3.3,3.33,2.44,6.05,5.1,10.31,14.3,10.75
Cash from Investing Activity,-5.29,-1.03,-2.28,-1.59,-1.28,-3.35,-2.91,-9.12,-12.19,-7.36
Cash from Financing Activity,-1.08,-1.45,-1.04,-1.69,-0.84,-1.6,-1.72,-2.22,-2.71,-3.7
Net Cash Flow,-0.23,0.1,-0.02,0.05,0.33,1.1,0.47,-1.03,-0.6,-0.31
PRICE:,165.0,171.05,112.5,63.55,87.05,176.3,210.1,468.7,795.85,553.95
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
