COMPANY NAME,SOM DISTILLERIES & BREWERIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,75.02,,,,,,,,,
Market Capitalization,1557.78,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,244.72,350.62,393.27,459.89,287.57,365.16,806.68,1280.67,1442.9,1229.32
Raw Material Cost,64.39,165.9,216.23,247.22,164.18,215.89,503.26,848.1,942.34,803.52
Change in Inventory,1.7,-2.73,17.18,4.25,-1.29,8.52,17.99,15.82,16.53,-7.87
Power and Fuel,7.26,10.81,13.99,16.12,10.2,16.2,33.99,21.08,23.95,
Other Mfr. Exp,71.58,9.22,11.1,16.86,10.62,13.81,27.41,47.12,54.3,
Employee Cost,6.9,7.11,13.08,16.89,16.79,21.7,26.77,37.76,46.92,51.7
Selling and admin,57.92,93.21,99.91,120.45,91.44,83.82,128.44,180.69,201.66,
Other Expenses,2.86,3.07,6.82,2.27,2.63,2.46,2.7,12.29,12.18,280.52
Other Income,3.07,1.9,3.47,3.6,2.58,-0.21,1.33,5.72,2.63,-7.74
Depreciation,3.57,4.26,8.76,11.67,13.37,16.78,17.01,21.35,25.97,33.35
Interest,11.29,8.78,12.42,15.37,18.66,15.35,15.97,11.89,11.06,21.98
Profit before tax,23.72,47.43,31.61,20.89,-39.03,-12.54,70.45,121.93,143.68,22.64
Tax,9.56,22.2,11.87,5.86,-0.95,-2.7,10.15,35.43,39.18,12.29
Net profit,14.16,25.23,19.74,15.02,-38.07,-9.84,60.3,86.5,104.5,9.38
Dividend Amount,4.13,4.13,4.87,,,,1.84,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,381.6,513.08,289.73,301.12,338.97,528.38,269.59,250.55,180.81,268.63
Expenses,339.7,448.91,255.76,264.81,297.21,458.03,229.5,231.11,224.98,253.67
Other Income,3.64,0.66,1.23,1.56,1.05,1.7,0.43,3.68,-10.52,0.23
Depreciation,5.88,6.07,6.17,6.82,6.91,8.73,8.16,8.18,8.28,8.53
Interest,3.49,2.73,3.01,1.89,3.43,4.94,4.91,7.52,7.63,4.51
Profit before tax,36.17,56.03,26.02,29.16,32.47,58.38,27.45,7.42,-70.6,2.15
Tax,16.18,15.49,7.32,7.64,8.73,16.32,7.94,1.93,-13.91,0.59
Net profit,18.82,40.55,18.7,19.2,22.73,42.06,19.05,4.61,-55.48,0.46
Operating Profit,41.9,64.17,33.97,36.31,41.76,70.35,40.09,19.44,-44.17,14.96
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,27.52,27.52,32.49,32.49,32.49,34.99,36.88,39.0,41.18,41.58
Reserves,113.29,133.53,278.2,287.42,249.31,254.58,338.49,522.95,706.34,736.99
Borrowings,73.83,90.64,168.96,221.82,208.21,197.32,242.2,190.99,170.92,211.82
Other Liabilities,90.2,114.74,206.9,214.97,221.5,212.49,294.27,420.86,424.92,474.82
Total,304.84,366.43,686.55,756.7,711.51,699.38,911.84,1173.8,1343.36,1465.21
Net Block,67.75,77.99,206.86,271.72,414.26,405.85,391.08,504.63,622.24,673.99
Capital Work in Progress,20.72,94.07,149.54,142.08,2.2,,97.17,68.36,23.21,246.36
Investments,,,,,,,,,,
Other Assets,216.37,194.37,330.15,342.9,295.05,293.53,423.59,600.81,697.91,544.86
Total,304.84,366.43,686.55,756.7,711.51,699.38,911.84,1173.8,1343.36,1465.21
Receivables,49.46,69.85,118.96,130.04,131.5,115.79,142.15,241.59,253.95,175.02
Inventory,23.56,28.64,95.35,103.92,68.44,84.52,135.28,182.31,189.26,182.23
Cash & Bank,31.48,25.58,24.66,21.94,14.47,9.49,12.64,13.42,19.99,17.26
No. of Equity Shares,27522400.0,27522400.0,32493869.0,32493869.0,32493869.0,69986796.0,73764573.0,77995373.0,205901312.0,
New Bonus Shares,,,,,,,,4230800.0,,
Face value,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,87.7,81.28,3.87,41.15,36.41,9.25,14.27,73.1,42.22,210.9
Cash from Investing Activity,-81.22,-87.43,-197.24,-70.28,-12.89,-6.02,-108.43,-112.88,-100.9,-300.16
Cash from Financing Activity,5.14,0.24,192.45,26.41,-30.99,-8.21,97.31,40.56,65.25,86.54
Net Cash Flow,11.62,-5.91,-0.92,-2.72,-7.47,-4.98,3.15,0.78,6.57,-2.73
PRICE:,26.0,44.87,31.4,12.13,12.89,24.84,61.27,105.1,123.18,62.31
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,15.52,15.52,18.3,18.3,18.33,18.33,19.31,19.5,20.59,20.79
