COMPANY NAME,SULA VINEYARDS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,147.09,,,,,,,,,
Market Capitalization,1242.13,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,485.24,385.94,424.42,516.5,567.73,579.15,555.87
Raw Material Cost,,,,201.49,114.78,92.18,92.67,95.42,103.45,105.44
Change in Inventory,,,,14.32,-15.37,14.7,8.47,17.28,13.53,-15.04
Power and Fuel,,,,4.95,5.24,7.61,9.07,10.22,11.25,11.17
Other Mfr. Exp,,,,57.17,40.14,57.83,76.76,89.78,80.08,78.77
Employee Cost,,,,66.0,55.8,65.75,78.22,86.95,93.82,91.71
Selling and admin,,,,98.37,79.86,80.55,94.78,109.98,138.34,132.33
Other Expenses,,,,18.76,10.61,21.86,15.4,16.81,16.45,17.75
Other Income,,,,-2.33,-1.86,2.73,2.89,7.72,3.71,2.29
Depreciation,,,,35.0,25.7,23.61,25.89,31.63,34.99,39.17
Interest,,,,32.89,33.39,22.92,21.08,26.16,29.67,31.39
Profit before tax,,,,-17.4,3.19,69.54,113.99,125.78,88.34,35.39
Tax,,,,-1.46,0.17,17.4,29.94,32.47,18.14,9.74
Net profit,,,,-15.68,2.99,52.14,84.05,93.31,70.2,25.65
Dividend Amount,,,,,3.77,18.86,70.35,71.74,30.38,16.89
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,122.52,120.93,132.36,200.15,125.71,109.64,130.91,180.39,134.91,112.87
Expenses,93.06,86.97,98.76,147.1,97.25,91.34,105.45,148.44,107.17,96.27
Other Income,3.85,1.26,0.76,0.9,1.01,0.98,0.83,-0.79,1.49,2.38
Depreciation,8.35,8.63,8.69,8.93,8.74,9.21,9.47,10.41,10.08,10.28
Interest,6.24,7.1,7.59,7.81,7.17,7.51,8.55,8.19,7.14,7.18
Profit before tax,18.72,19.49,18.08,37.21,13.56,2.56,8.27,12.56,12.01,1.52
Tax,5.17,4.86,3.6,9.15,0.53,0.62,2.25,3.46,3.41,0.46
Net profit,13.55,14.63,14.48,28.06,13.03,1.94,6.02,9.1,8.6,1.06
Operating Profit,29.46,33.96,33.6,53.05,28.46,18.3,25.46,31.95,27.74,16.6
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,15.04,15.08,15.72,16.85,16.88,16.88,16.89
Reserves,,,,284.9,289.66,379.54,515.19,533.12,569.39,570.51
Borrowings,,,,392.74,315.16,239.91,202.63,324.27,315.25,332.93
Other Liabilities,,,,138.31,131.7,123.39,146.69,152.08,174.47,168.94
Total,,,,830.99,751.6,758.56,881.36,1026.35,1075.99,1089.27
Net Block,,,,354.64,317.75,361.25,413.2,454.31,495.31,512.05
Capital Work in Progress,,,,0.12,0.11,0.98,1.91,4.82,5.52,0.85
Investments,,,,0.08,,,,,,
Other Assets,,,,476.15,433.74,396.33,466.25,567.22,575.16,576.37
Total,,,,830.99,751.6,758.56,881.36,1026.35,1075.99,1089.27
Receivables,,,,151.74,123.62,109.39,114.54,169.6,234.41,237.19
Inventory,,,,171.34,143.93,162.26,178.86,197.84,216.07,200.91
Cash & Bank,,,,40.27,51.76,19.58,33.76,104.92,8.37,9.37
No. of Equity Shares,,,,15044188.0,15080374.0,78598091.0,84257798.0,84399629.0,84409629.0,84447229.0
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,44.68,119.54,87.44,89.91,121.19,58.38,100.75
Cash from Investing Activity,,,,-43.97,-21.71,-56.78,-74.38,-42.85,-74.81,-33.33
Cash from Financing Activity,,,,33.34,-94.48,-61.25,-9.36,2.48,-73.54,-67.45
Net Cash Flow,,,,34.05,3.36,-30.59,6.17,80.82,-89.97,-0.03
PRICE:,,,,,,,366.65,551.4,269.35,139.34
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,1.5,1.51,7.86,8.43,8.44,8.44,8.44
