COMPANY NAME,FRATELLI VINEYARDS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,135.45,,,,,,,,,
Market Capitalization,588.83,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,416.28,464.07,487.59,294.67,244.91,421.35,276.25,181.29
Raw Material Cost,,,372.44,370.44,433.34,291.73,243.43,276.8,126.39,54.98
Change in Inventory,,,0.77,-37.38,-3.17,13.74,12.68,30.44,-10.32,15.26
Power and Fuel,,,0.07,0.07,0.08,0.09,0.05,3.05,2.99,
Other Mfr. Exp,,,6.76,20.32,24.73,2.23,2.94,29.66,22.98,
Employee Cost,,,5.46,5.35,5.55,4.66,3.47,34.1,34.74,35.22
Selling and admin,,,20.31,23.17,8.8,7.54,5.45,74.1,77.12,
Other Expenses,,,0.77,0.89,2.52,0.67,0.8,4.67,7.53,114.14
Other Income,,,2.97,5.94,2.33,2.44,3.8,3.23,4.16,3.22
Depreciation,,,2.79,3.06,2.88,2.99,2.52,6.61,7.3,8.84
Interest,,,5.49,9.76,6.6,4.48,4.4,13.79,13.73,13.26
Profit before tax,,,5.93,-0.43,2.25,-3.54,-1.67,12.24,-22.69,-26.67
Tax,,,2.47,-0.07,0.42,-0.96,-0.26,3.38,-5.63,-1.75
Net profit,,,4.2,-0.32,1.74,-3.12,-1.64,-0.15,-13.98,-24.91
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,118.64,150.17,62.09,57.91,31.92,36.51,45.88,63.6,35.3,44.72
Expenses,118.83,145.6,61.34,58.36,42.85,39.48,45.09,64.19,40.3,44.43
Other Income,1.05,0.68,1.05,2.01,0.51,0.75,0.54,0.96,0.96,0.66
Depreciation,1.74,1.82,1.9,1.97,1.61,2.27,2.31,2.14,2.12,2.39
Interest,3.93,3.89,3.89,3.29,2.51,3.3,3.45,3.19,3.33,3.52
Profit before tax,-4.81,-0.46,-3.99,-3.7,-14.54,-7.79,-4.43,-4.96,-9.49,-4.96
Tax,-1.08,-0.04,-1.08,-0.92,-3.6,-1.97,-1.12,3.77,-2.43,-1.29
Net profit,-0.54,2.65,-2.91,-2.77,-10.95,-5.82,-3.31,-8.72,-7.05,-3.67
Operating Profit,-0.19,4.57,0.75,-0.45,-10.93,-2.97,0.79,-0.59,-5.0,0.29
BALANCE SHEET,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,5.0,8.56,8.56,8.56,8.56,8.56,43.28,43.47
Reserves,,,24.02,20.86,22.69,19.52,18.2,13.71,113.04,92.49
Borrowings,,,68.25,72.41,24.25,36.37,25.78,138.17,121.14,137.6
Other Liabilities,,,22.26,23.94,23.76,22.22,15.69,187.22,56.48,72.98
Total,,,119.53,125.77,79.26,86.67,68.23,347.66,333.94,346.54
Net Block,,,33.79,30.9,28.1,25.06,1.01,61.05,90.41,96.41
Capital Work in Progress,,,0.84,0.84,0.84,0.63,,5.26,8.41,7.18
Investments,,,3.4,4.15,4.13,4.14,4.2,0.61,0.05,0.25
Other Assets,,,81.5,89.88,46.19,56.84,63.02,280.74,235.07,242.7
Total,,,119.53,125.77,79.26,86.67,68.23,347.66,333.94,346.54
Receivables,,,10.02,52.84,19.23,16.91,9.16,134.64,109.93,105.11
Inventory,,,48.99,11.49,8.1,21.77,34.44,92.55,82.5,95.15
Cash & Bank,,,14.02,6.93,8.21,3.03,1.97,21.26,1.6,1.65
No. of Equity Shares,,,5000000.0,8564750.0,8564750.0,8564750.0,8564750.0,8564750.0,43277900.0,
New Bonus Shares,,,,,,,,,,
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,8.38,-0.52,51.46,-12.91,2.82,7.18,-7.0,5.0
Cash from Investing Activity,,,-14.64,7.21,5.92,2.46,-0.88,-20.65,-32.93,-11.89
Cash from Financing Activity,,,4.95,-5.46,-54.32,7.73,-3.67,24.86,25.06,6.47
Net Cash Flow,,,-1.31,1.23,3.05,-2.72,-1.73,11.4,-14.87,-0.42
PRICE:,,,,,21.55,20.75,14.95,110.95,176.25,62.77
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.86,0.86,0.86,0.86,0.86,4.33,4.35
