COMPANY NAME,DR AGARWALS EYE HOSPITAL LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,4960.0,,,,,,,,,
Market Capitalization,2401.71,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,148.54,153.32,170.05,175.95,139.81,201.21,268.1,319.3,397.15,470.87
Raw Material Cost,17.52,18.96,18.23,22.59,15.08,23.67,30.68,35.95,43.11,47.73
Change in Inventory,-0.73,0.82,-0.92,0.55,-1.16,0.81,0.87,2.25,1.16,0.71
Power and Fuel,3.08,2.88,3.3,2.53,2.1,2.66,3.4,5.74,7.27,
Other Mfr. Exp,41.63,42.34,24.71,24.44,22.58,32.11,42.64,48.18,62.32,
Employee Cost,32.49,31.98,33.77,35.63,32.17,38.51,53.26,63.78,78.32,91.68
Selling and admin,28.47,31.46,56.83,43.0,32.49,43.24,60.46,73.59,84.61,
Other Expenses,1.96,2.27,2.31,1.07,3.23,3.18,2.46,1.89,2.62,186.86
Other Income,1.22,2.3,1.98,2.53,0.79,1.26,1.55,4.74,4.93,5.82
Depreciation,8.74,9.78,10.91,21.24,19.1,20.39,20.18,26.61,39.45,45.64
Interest,4.16,3.41,3.62,8.59,6.96,7.21,8.04,8.3,14.84,11.88
Profit before tax,10.98,13.36,17.43,19.94,5.73,32.31,49.4,62.25,70.7,93.61
Tax,3.64,6.58,5.51,6.26,7.18,8.21,12.48,15.89,16.05,23.51
Net profit,7.34,6.78,11.92,13.68,-1.44,24.1,36.92,46.36,54.65,70.1
Dividend Amount,0.7,0.56,0.7,,,1.41,1.41,1.18,2.82,1.93
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,75.95,80.72,100.02,102.19,95.11,99.83,116.92,117.72,116.22,120.01
Expenses,55.18,56.28,68.61,72.31,69.49,68.24,79.79,77.64,81.85,86.28
Other Income,0.67,2.46,0.4,2.28,2.31,0.1,0.8,0.68,2.77,1.57
Depreciation,6.89,7.53,9.87,9.36,10.02,10.2,10.58,11.31,11.66,12.09
Interest,1.83,2.03,3.03,3.67,3.85,2.89,4.16,3.73,2.03,1.96
Profit before tax,12.72,17.34,18.91,19.13,14.06,18.6,23.19,25.72,23.45,21.25
Tax,3.28,4.55,4.8,4.98,3.66,2.61,5.93,6.4,6.17,5.01
Net profit,9.44,12.79,14.11,14.15,10.4,15.99,17.26,19.32,17.28,16.24
Operating Profit,20.77,24.44,31.41,29.88,25.62,31.59,37.13,40.08,34.37,33.73
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.83
Reserves,24.7,30.36,40.89,51.4,49.96,73.47,108.64,152.45,204.91,341.47
Borrowings,23.06,18.28,23.76,60.06,67.55,193.46,232.47,268.02,333.16,326.13
Other Liabilities,19.88,27.64,30.76,24.4,33.03,42.38,44.13,70.59,70.55,94.03
Total,72.34,80.98,100.11,140.56,155.24,314.01,389.94,495.76,613.32,766.46
Net Block,33.21,35.59,54.74,93.58,95.72,214.21,260.37,315.63,393.19,402.54
Capital Work in Progress,1.22,3.43,0.25,0.02,,26.47,62.21,97.44,127.98,197.32
Investments,,,,,,,,,12.63,89.06
Other Assets,37.91,41.96,45.12,46.96,59.52,73.33,67.36,82.69,79.52,77.54
Total,72.34,80.98,100.11,140.56,155.24,314.01,389.94,495.76,613.32,766.46
Receivables,6.63,7.07,8.64,6.77,8.78,8.67,10.11,12.93,13.97,18.71
Inventory,6.13,7.34,6.49,7.98,5.21,5.73,6.0,9.75,13.4,14.1
Cash & Bank,2.85,2.39,4.86,6.88,22.2,28.8,28.1,33.74,12.17,6.71
No. of Equity Shares,4700000.0,4700000.0,4700000.0,4700000.0,4700000.0,4700000.0,4700000.0,4700000.0,4700000.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,20.13,18.57,25.07,38.62,33.87,56.68,69.62,89.77,94.48,145.14
Cash from Investing Activity,-7.97,-10.75,-24.8,-16.67,-10.97,-46.28,-70.61,-70.04,-132.78,-173.53
Cash from Financing Activity,-11.74,-8.28,2.12,-19.94,-7.6,-3.81,0.26,-14.23,16.58,24.78
Net Cash Flow,0.42,-0.46,2.38,2.01,15.31,6.59,-0.73,5.5,-21.72,-3.61
PRICE:,300.0,599.85,363.35,190.85,313.1,730.95,915.3,3103.4,4052.4,4699.55
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48
