COMPANY NAME,HEALTHCARE GLOBAL ENTERPRISES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,660.1,,,,,,,,,
Market Capitalization,9853.15,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,700.11,828.79,976.03,1092.34,1009.19,1394.78,1691.41,1907.87,2218.14,2545.41
Raw Material Cost,175.92,196.64,221.49,236.35,238.17,360.98,432.38,479.37,590.22,701.68
Change in Inventory,5.01,6.93,2.85,-3.51,-2.15,6.07,8.31,3.95,9.62,9.38
Power and Fuel,16.42,22.89,28.82,33.26,31.75,34.54,36.89,39.35,43.97,
Other Mfr. Exp,195.07,45.0,49.41,63.08,72.83,83.05,106.62,529.21,618.33,
Employee Cost,121.93,157.71,184.52,208.03,195.94,233.65,275.12,308.24,353.48,378.6
Selling and admin,83.0,285.43,362.38,367.58,333.5,430.81,526.94,195.85,205.4,
Other Expenses,7.72,12.49,20.62,23.97,12.83,23.63,24.82,32.67,32.73,1008.72
Other Income,9.61,25.43,9.98,10.27,-72.3,109.64,14.9,23.7,39.24,-18.13
Depreciation,56.83,71.46,85.09,148.45,159.22,158.28,163.47,174.36,211.34,244.17
Interest,23.0,42.35,69.91,137.65,119.17,97.77,103.5,108.74,154.56,176.57
Profit before tax,34.84,27.18,-33.38,-119.27,-228.67,87.78,44.88,67.73,56.97,26.92
Tax,11.8,10.24,-2.5,6.19,-7.56,48.85,27.25,26.4,8.13,4.14
Net profit,22.17,20.52,-24.8,-106.7,-193.46,53.73,29.35,48.16,44.41,13.76
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,469.87,494.63,525.58,553.54,558.57,585.16,613.16,646.85,633.07,652.33
Expenses,391.26,402.6,434.68,451.3,470.19,479.53,505.37,523.54,523.51,527.25
Other Income,6.07,9.01,8.81,11.13,5.54,10.23,7.51,2.93,-10.2,-18.32
Depreciation,44.16,45.98,47.01,49.74,56.52,58.07,57.91,62.8,60.65,62.81
Interest,29.46,26.84,33.71,35.98,40.7,44.17,45.47,43.62,44.78,42.7
Profit before tax,11.06,28.22,18.99,27.65,-3.3,13.62,11.92,19.82,-6.07,1.25
Tax,7.63,4.76,5.36,6.97,-11.05,6.85,5.94,-0.84,1.83,-2.79
Net profit,5.7,21.26,12.08,17.99,6.98,7.36,4.75,16.27,-9.43,2.17
Operating Profit,78.61,92.03,90.9,102.24,88.38,105.63,107.79,123.31,109.56,125.08
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,85.71,86.9,87.92,88.69,125.36,139.01,139.12,139.29,139.42,149.3
Reserves,346.95,428.2,388.73,292.56,571.82,731.28,721.41,686.49,783.03,1182.67
Borrowings,420.21,463.68,657.9,1346.57,977.45,914.68,901.19,1274.36,1837.22,1735.36
Other Liabilities,372.41,461.11,515.02,518.37,356.71,433.28,549.03,601.29,780.02,855.21
Total,1225.28,1439.89,1649.57,2246.19,2031.34,2218.25,2310.75,2701.43,3539.69,3922.54
Net Block,684.7,827.72,970.21,1646.08,1382.38,1547.14,1553.0,1758.16,2441.89,2461.61
Capital Work in Progress,148.23,173.97,152.63,46.09,30.01,21.73,18.18,83.18,24.76,18.56
Investments,11.45,53.17,49.05,34.12,26.28,8.82,9.69,10.33,11.31,13.89
Other Assets,380.9,385.03,477.68,519.9,592.67,640.56,729.88,849.76,1061.73,1428.48
Total,1225.28,1439.89,1649.57,2246.19,2031.34,2218.25,2310.75,2701.43,3539.69,3922.54
Receivables,103.22,128.44,156.89,185.66,186.61,217.45,302.51,294.03,400.9,420.7
Inventory,18.77,24.03,26.77,23.26,21.11,29.97,38.29,42.67,53.02,59.82
Cash & Bank,85.22,28.8,20.87,32.02,40.85,197.51,196.64,303.07,347.7,540.92
No. of Equity Shares,85712986.0,86904473.0,87919033.0,88690629.0,125359284.0,139011992.0,139116062.0,139289687.0,139415370.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,91.28,97.81,98.5,130.14,120.52,220.12,251.59,284.58,317.11,347.1
Cash from Investing Activity,-209.8,-283.12,-238.2,-101.38,-171.1,124.59,-133.03,-225.73,-487.75,-177.47
Cash from Financing Activity,89.15,161.29,83.51,-58.43,112.24,-154.89,-140.07,-64.02,-42.44,240.67
Net Cash Flow,-29.37,-24.02,-56.18,-29.67,61.66,189.83,-21.51,-5.16,-213.08,410.3
PRICE:,228.04,287.37,218.65,73.64,189.33,268.24,260.84,335.77,538.77,525.2
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,9.08,9.2,9.31,9.39,13.27,14.72,14.73,14.75,14.76,14.93
