COMPANY NAME,KAYA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,242.95,,,,,,,,,
Market Capitalization,369.66,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,194.04,201.2,209.82,204.34,117.07,140.91,178.31,210.32,217.42,222.48
Raw Material Cost,7.06,6.72,9.8,10.8,5.44,5.95,11.23,13.45,14.72,13.24
Change in Inventory,-0.12,-1.27,1.57,-0.28,-2.15,-0.91,-2.13,-0.55,-0.58,1.83
Power and Fuel,3.25,3.37,3.98,3.86,1.97,2.14,3.07,3.29,4.02,3.7
Other Mfr. Exp,79.48,75.3,76.27,68.7,39.04,48.93,56.28,67.02,77.65,86.02
Employee Cost,54.33,54.71,53.08,54.19,32.28,43.79,62.36,54.99,61.2,70.63
Selling and admin,63.41,64.59,62.94,27.91,17.04,23.06,27.49,32.93,28.5,58.83
Other Expenses,3.39,3.21,1.74,1.69,1.18,1.93,41.98,118.8,2.61,13.61
Other Income,11.33,9.51,4.9,8.56,12.51,8.91,3.86,4.61,15.4,7.23
Depreciation,10.66,13.14,15.27,44.5,32.23,34.86,29.82,35.25,37.64,44.01
Interest,1.91,2.11,2.71,13.84,12.37,13.72,33.3,27.37,32.41,37.63
Profit before tax,-18.24,-13.71,-9.5,-12.87,-14.12,-25.47,-85.49,-138.72,-26.51,-96.13
Tax,-2.54,-0.38,-5.55,21.07,,,,,,
Net profit,-15.69,-13.34,-3.96,-33.94,-14.12,-25.48,-85.49,-138.72,-26.51,-96.13
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,55.63,53.01,52.03,52.35,58.35,54.69,52.79,53.85,60.04,55.8
Expenses,43.78,133.66,39.78,46.71,57.41,48.79,49.05,57.18,71.48,68.48
Other Income,0.92,1.84,10.51,0.98,1.12,4.45,0.61,4.41,-3.53,5.74
Depreciation,8.95,9.05,9.1,9.39,9.7,9.45,9.92,10.91,11.56,11.62
Interest,6.7,6.91,7.17,7.86,7.76,7.87,8.49,8.92,9.02,9.2
Profit before tax,-2.88,-94.77,6.49,-10.63,-15.4,-6.97,-14.06,-18.75,-35.55,-27.76
Tax,,,,,,,,,,
Net profit,-2.88,-94.77,6.49,-10.63,-15.4,-6.97,-14.07,-18.75,-35.55,-27.77
Operating Profit,11.85,-80.65,12.25,5.64,0.94,5.9,3.74,-3.33,-11.44,-12.68
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,13.02,13.03,13.06,13.06,13.06,13.06,13.06,13.06,13.1,15.19
Reserves,187.05,175.05,149.86,101.89,88.89,77.05,2.81,-129.86,-152.55,-167.95
Borrowings,0.59,,,102.59,103.09,153.9,168.28,219.83,256.43,295.59
Other Liabilities,83.5,73.24,97.25,85.78,72.01,78.82,118.59,117.65,119.75,135.08
Total,284.16,261.32,260.17,303.32,277.05,322.83,302.74,220.68,236.73,277.91
Net Block,47.98,49.88,43.24,112.75,91.76,80.3,94.62,132.24,157.63,193.14
Capital Work in Progress,0.84,0.3,0.84,0.49,0.89,1.13,0.81,1.2,1.31,0.16
Investments,115.24,114.59,108.94,118.41,125.79,186.73,141.98,31.29,4.39,38.69
Other Assets,120.1,96.55,107.15,71.67,58.61,54.67,65.33,55.95,73.4,45.92
Total,284.16,261.32,260.17,303.32,277.05,322.83,302.74,220.68,236.73,277.91
Receivables,2.36,4.12,5.54,6.42,4.57,5.08,4.98,4.85,2.11,0.55
Inventory,33.58,33.77,34.02,29.62,22.83,20.73,21.38,20.46,25.75,20.13
Cash & Bank,2.35,3.75,4.61,1.26,2.46,7.69,15.76,8.46,6.63,1.56
No. of Equity Shares,13022564.0,13030854.0,13064091.0,13064091.0,13064091.0,13064091.0,13064091.0,13064091.0,13097541.0,15187090.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-18.75,10.96,-1.56,32.24,18.11,34.44,47.31,40.19,14.58,20.61
Cash from Investing Activity,14.47,-8.38,-0.13,-11.76,-7.07,-74.25,-1.46,-34.54,13.93,-62.39
Cash from Financing Activity,4.34,-0.6,2.37,-23.87,-9.88,39.52,-31.78,-12.96,-30.43,36.69
Net Cash Flow,0.06,1.99,0.69,-3.39,1.16,-0.29,14.06,-7.3,-1.93,-5.09
PRICE:,779.6,1048.25,718.1,116.6,296.25,350.3,254.3,309.95,234.65,238.25
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.3,1.3,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.52
