COMPANY NAME,RAINBOW CHILDRENS MEDICARE LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1490.8,,,,,,,,,
Market Capitalization,15153.16,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,321.29,401.83,542.79,719.39,650.05,973.76,1173.57,1296.9,1515.87,1703.08
Raw Material Cost,51.62,59.99,80.21,105.31,103.26,194.73,158.28,165.28,194.92,227.03
Change in Inventory,,,,,,,,,,
Power and Fuel,8.27,9.33,12.35,14.86,13.84,16.81,21.23,26.61,27.72,28.85
Other Mfr. Exp,10.95,14.71,45.83,65.58,56.7,65.6,86.85,95.72,115.32,126.46
Employee Cost,69.22,88.24,85.8,109.01,102.14,116.37,144.56,176.71,206.82,234.11
Selling and admin,35.55,46.36,163.36,216.75,202.75,266.44,350.18,395.45,469.57,525.36
Other Expenses,90.71,113.79,3.79,7.2,6.22,5.88,12.9,4.76,7.28,12.83
Other Income,11.07,9.6,8.35,10.35,10.26,18.85,30.87,37.06,51.01,42.25
Depreciation,21.89,28.08,60.32,69.41,73.34,83.26,90.27,112.08,138.44,150.57
Interest,2.9,4.27,41.96,48.26,46.37,56.17,58.39,62.53,76.81,81.89
Profit before tax,41.25,46.66,57.52,93.36,55.69,187.35,281.78,294.82,330.0,358.23
Tax,9.9,10.39,12.93,38.02,16.13,48.67,69.4,76.53,85.78,76.69
Net profit,31.35,36.27,44.59,55.73,40.02,138.27,210.83,217.0,243.42,278.32
Dividend Amount,2.32,4.4,4.4,8.79,,18.81,30.45,30.45,30.46,35.55
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,335.96,341.1,330.22,417.46,398.08,370.11,352.93,444.8,445.45,459.9
Expenses,217.88,235.56,236.49,270.38,263.72,255.39,249.31,295.94,298.47,315.19
Other Income,8.61,12.78,11.93,11.27,13.27,14.53,20.02,8.2,10.51,3.52
Depreciation,27.66,32.3,34.14,34.9,35.23,34.16,34.19,35.84,39.6,40.94
Interest,14.26,16.85,18.16,18.1,18.07,18.12,18.08,18.85,20.2,20.5
Profit before tax,84.77,69.17,53.36,105.35,94.33,76.97,71.37,102.37,97.69,86.79
Tax,22.19,18.11,13.62,26.34,25.39,20.42,17.57,26.74,23.8,8.57
Net profit,62.13,50.97,39.53,78.87,68.69,56.34,53.5,75.25,72.53,77.04
Operating Profit,118.08,105.54,93.73,147.08,134.36,114.72,103.62,148.86,146.98,144.71
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,9.28,43.96,43.96,43.96,43.96,94.05,101.5,101.5,101.55,101.56
Reserves,308.45,306.96,317.25,350.5,391.46,497.81,958.41,1157.43,1366.64,1546.51
Borrowings,26.37,24.08,476.24,501.16,529.41,591.85,570.32,765.31,763.58,890.98
Other Liabilities,54.64,72.6,88.94,123.26,116.44,112.03,140.49,146.16,145.22,235.79
Total,398.74,447.6,926.39,1018.88,1081.27,1295.74,1770.72,2170.4,2376.99,2774.84
Net Block,173.61,295.74,701.73,701.53,772.31,858.44,931.11,1252.98,1398.14,1755.89
Capital Work in Progress,7.34,11.65,22.63,42.75,28.77,5.76,22.79,19.9,28.46,79.22
Investments,5.51,0.14,3.19,9.9,18.27,22.1,58.14,307.5,570.73,404.5
Other Assets,212.28,140.07,198.84,264.7,261.92,409.44,758.68,590.02,379.66,535.23
Total,398.74,447.6,926.39,1018.88,1081.27,1295.74,1770.72,2170.4,2376.99,2774.84
Receivables,13.68,15.39,34.97,43.96,43.97,40.41,51.2,70.44,77.3,103.18
Inventory,6.74,5.98,7.0,15.98,10.1,14.82,18.76,23.98,27.57,41.63
Cash & Bank,88.22,36.0,76.53,97.24,94.67,185.22,47.06,10.13,20.28,33.89
No. of Equity Shares,9279671.0,43958924.0,43958924.0,43958924.0,43958924.0,94053928.0,101501687.0,101501687.0,101551673.0,101559156.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,35.53,47.91,127.24,170.41,142.71,223.73,328.78,321.4,395.66,419.66
Cash from Investing Activity,-33.34,-42.36,-116.89,-117.03,-82.88,-175.35,-465.2,-226.47,-267.8,-258.65
Cash from Financing Activity,-1.11,-7.48,-8.69,-51.81,-60.87,-44.06,143.41,-101.78,-117.72,-147.37
Net Cash Flow,1.08,-1.93,1.66,1.56,-1.04,4.32,6.99,-6.85,10.14,13.64
PRICE:,,,,,,,730.5,1297.55,1401.7,1163.1
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.93,4.4,4.4,4.4,4.4,9.41,10.15,10.15,10.16,10.16
