COMPANY NAME,HI-TECH PIPES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,76.14,,,,,,,,,
Market Capitalization,1546.46,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,637.43,1015.7,1360.42,1209.62,1340.63,1878.85,2385.85,2699.29,3067.64,4200.07
Raw Material Cost,568.45,929.11,1229.09,1115.34,1216.14,2.51,100.55,191.19,240.65,3958.99
Change in Inventory,5.78,15.77,-7.29,19.89,5.94,38.57,16.14,-16.27,44.85,65.36
Power and Fuel,11.97,14.94,17.56,16.21,16.68,24.77,30.91,38.39,37.22,
Other Mfr. Exp,0.88,1.03,1.49,1.04,1.33,1738.28,2093.71,2258.83,2591.18,
Employee Cost,10.58,12.12,13.68,17.79,18.78,21.99,26.4,31.46,33.19,35.74
Selling and admin,9.17,12.68,14.73,17.98,18.95,25.15,43.3,43.44,47.14,
Other Expenses,2.27,1.44,1.81,1.92,3.89,4.2,3.91,4.86,3.08,97.15
Other Income,2.39,1.31,1.38,1.25,0.8,0.94,-4.25,1.18,1.89,2.59
Depreciation,6.94,4.0,5.31,6.57,8.32,9.66,13.77,15.49,20.92,27.1
Interest,20.45,27.43,29.85,30.04,32.29,36.47,35.3,41.86,43.01,47.57
Profit before tax,14.89,30.03,40.99,23.87,30.99,55.33,49.89,58.68,97.99,101.47
Tax,4.51,9.02,13.64,3.48,8.19,15.0,12.2,14.76,25.04,25.31
Net profit,10.38,21.01,27.35,20.39,22.8,40.33,37.68,43.93,72.95,76.16
Dividend Amount,0.26,0.26,0.27,0.27,,0.61,0.32,0.37,0.51,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,681.03,866.98,705.9,761.02,733.74,791.36,858.77,1069.59,1480.36,1412.8
Expenses,645.69,824.3,663.72,720.78,698.81,750.33,814.44,1027.71,1434.04,1363.42
Other Income,-0.27,0.53,0.97,0.38,0.01,0.93,1.15,0.25,0.25,0.56
Depreciation,5.94,5.13,5.28,6.26,4.26,6.17,6.64,6.67,7.61,7.79
Interest,14.26,14.08,13.56,8.77,6.6,7.82,11.77,12.25,15.73,15.67
Profit before tax,14.87,24.0,24.31,25.59,24.08,27.97,27.07,23.21,23.23,26.48
Tax,3.74,5.95,6.2,6.44,6.45,7.04,6.81,5.82,5.63,6.44
Net profit,11.13,18.05,18.11,19.15,17.63,20.92,20.26,17.39,17.6,20.04
Operating Profit,35.34,42.68,42.18,40.24,34.93,41.03,44.33,41.88,46.32,49.38
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,10.3,10.5,10.7,10.93,11.21,12.27,12.78,14.99,20.31,20.31
Reserves,66.58,103.07,136.08,162.68,193.99,246.35,405.33,561.39,1237.04,1313.17
Borrowings,179.54,254.79,272.07,312.08,316.99,393.41,273.47,402.29,191.52,267.51
Other Liabilities,103.12,80.22,86.3,82.06,77.1,117.29,223.94,200.03,306.79,422.63
Total,359.54,448.58,505.15,567.75,599.29,769.32,915.52,1178.7,1755.66,2023.62
Net Block,81.23,123.99,169.19,173.02,202.5,238.97,287.1,354.9,392.48,633.73
Capital Work in Progress,7.67,17.4,3.69,29.4,29.88,28.97,36.41,62.3,193.71,102.89
Investments,,,,,,,1.7,2.55,3.81,4.53
Other Assets,270.64,307.19,332.27,365.33,366.91,501.38,590.31,758.95,1165.66,1282.47
Total,359.54,448.58,505.15,567.75,599.29,769.32,915.52,1178.7,1755.66,2023.62
Receivables,95.86,103.93,137.4,137.28,120.61,167.41,185.52,280.18,302.69,448.96
Inventory,124.37,154.34,151.23,178.77,188.47,259.41,306.76,346.66,384.26,565.58
Cash & Bank,16.42,12.8,16.01,18.77,16.93,17.07,21.17,25.99,182.64,87.0
No. of Equity Shares,10301100.0,10501100.0,10701000.0,10926000.0,11206000.0,12271000.0,127811000.0,149886000.0,203107734.0,
New Bonus Shares,,,,,,,34069950.0,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,24.41,-5.8,49.0,24.95,64.12,-17.32,133.74,-95.19,69.83,3.32
Cash from Investing Activity,-39.4,-52.99,-40.27,-38.86,-39.63,-46.45,-98.18,-153.38,-390.07,-40.61
Cash from Financing Activity,13.52,58.67,-8.8,13.79,-24.58,64.03,-34.58,249.02,353.73,23.13
Net Cash Flow,-1.48,-0.11,-0.07,-0.11,-0.09,0.27,0.99,0.44,33.48,-14.16
PRICE:,12.92,36.0,22.77,7.21,39.72,50.39,79.85,139.75,102.5,70.93
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,10.3,10.3,10.7,10.93,11.21,12.27,12.78,14.99,20.31,20.31
