COMPANY NAME,ESTER INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,88.53,,,,,,,,,
Market Capitalization,916.12,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,884.3,927.58,894.83,768.13,991.76,1110.25,1114.14,1063.45,1282.14,1375.19
Raw Material Cost,644.9,662.65,625.81,499.22,517.12,702.72,716.96,761.11,792.45,903.33
Change in Inventory,-4.28,3.86,-3.74,10.69,6.61,27.29,3.38,6.27,-2.49,19.47
Power and Fuel,64.87,58.6,60.26,62.93,75.86,88.91,88.91,127.92,120.58,
Other Mfr. Exp,33.73,37.32,35.88,39.82,46.79,55.08,58.26,64.33,69.58,
Employee Cost,32.24,38.78,41.24,44.6,68.94,60.58,54.68,63.77,71.22,82.96
Selling and admin,55.1,49.33,50.83,53.54,51.38,52.51,96.13,64.36,65.62,
Other Expenses,6.81,10.33,5.52,8.1,6.79,6.5,10.0,10.84,12.79,315.34
Other Income,4.87,4.85,2.53,4.6,7.71,59.5,136.83,26.0,16.48,17.53
Depreciation,28.59,30.3,32.11,32.36,35.23,36.82,43.93,68.03,68.75,69.93
Interest,26.47,34.87,37.1,36.01,18.57,24.88,36.34,70.36,67.33,64.91
Profit before tax,-7.82,14.11,4.87,6.84,185.4,169.04,149.14,-135.0,27.81,-24.28
Tax,-2.54,5.74,1.04,2.27,47.91,32.32,12.24,-13.95,14.11,3.19
Net profit,-5.28,8.37,3.84,4.56,137.49,136.71,136.9,-121.05,13.7,-27.47
Dividend Amount,,3.14,,,28.36,27.52,4.17,,,2.44
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,267.76,276.73,286.15,331.16,345.58,319.26,338.2,354.19,338.98,343.82
Expenses,287.26,270.75,274.97,291.34,286.06,282.8,317.89,339.91,322.55,301.82
Other Income,4.62,3.22,6.21,2.62,5.41,2.66,8.65,3.05,4.53,1.31
Depreciation,17.18,17.75,17.29,17.24,17.13,17.09,17.29,17.34,17.64,17.66
Interest,17.92,17.98,16.76,18.46,16.44,15.66,15.48,17.23,15.99,16.21
Profit before tax,-49.98,-26.53,-16.66,6.74,31.36,6.37,-3.81,-17.24,-12.67,9.44
Tax,-5.16,-2.8,-0.56,3.72,6.54,4.41,3.34,-1.45,-0.27,1.56
Net profit,-44.82,-23.72,-16.1,3.02,24.82,1.96,-7.16,-15.78,-12.41,7.87
Operating Profit,-19.5,5.98,11.18,39.82,59.52,36.46,20.31,14.28,16.43,42.0
BALANCE SHEET,,,,,,,,,,
Report Date,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,31.45,31.45,31.32,41.7,41.7,41.7,41.7,46.98,47.02,48.79
Reserves,226.29,231.62,240.63,250.48,470.32,580.01,701.74,670.57,725.5,733.94
Borrowings,334.8,363.31,375.63,316.24,207.79,638.69,815.71,772.53,660.18,729.01
Other Liabilities,59.92,72.11,66.74,80.06,141.89,167.8,155.39,152.98,140.22,162.12
Total,652.46,698.49,714.32,688.48,861.7,1428.2,1714.54,1643.06,1572.92,1673.86
Net Block,375.52,389.99,399.33,384.99,376.79,389.63,978.66,988.79,977.29,978.41
Capital Work in Progress,5.11,18.08,12.09,23.48,76.4,434.91,78.77,82.82,39.22,36.18
Investments,0.02,0.12,0.02,0.41,1.33,,153.93,69.27,74.81,78.36
Other Assets,271.81,290.3,302.88,279.6,407.18,603.66,503.18,502.18,481.6,580.91
Total,652.46,698.49,714.32,688.48,861.7,1428.2,1714.54,1643.06,1572.92,1673.86
Receivables,109.02,124.24,117.92,112.2,151.16,193.46,151.53,147.31,170.34,184.94
Inventory,122.7,124.11,127.67,128.37,136.64,203.47,172.23,144.63,161.42,208.71
Cash & Bank,14.26,8.25,22.91,7.81,27.57,60.91,51.73,116.88,68.04,104.86
No. of Equity Shares,62893706.0,62893706.0,62643759.0,83393759.0,83393759.0,83393759.0,83393759.0,93954009.0,94041889.0,
New Bonus Shares,,,,,,,,,,
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,22.69,52.07,67.69,81.47,145.51,61.87,57.74,43.78,112.19,88.54
Cash from Investing Activity,-27.44,-57.26,-35.64,-20.19,-147.26,-391.6,-199.33,41.71,-56.48,-116.43
Cash from Financing Activity,4.38,-2.06,-18.45,-75.41,3.33,384.05,113.81,-13.88,-133.11,6.49
Net Cash Flow,-0.37,-7.25,13.6,-14.13,1.58,54.33,-27.79,71.61,-77.4,-21.39
PRICE:,10.4,10.7,16.4,52.45,116.75,142.95,86.9,84.95,120.18,70.67
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,6.29,6.29,6.26,8.34,8.34,8.34,8.34,9.4,9.4,9.76
