COMPANY NAME,TCPL PACKAGING LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,3226.5,,,,,,,,,
Market Capitalization,2949.51,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,612.89,698.05,815.81,889.78,903.82,1076.02,1431.85,1490.79,1696.38,1736.15
Raw Material Cost,325.63,412.34,494.12,532.38,522.19,658.37,872.69,859.22,979.94,1038.74
Change in Inventory,4.91,5.49,2.98,11.91,-0.9,10.02,4.72,-4.56,-1.65,17.8
Power and Fuel,14.21,15.52,17.53,20.42,19.55,21.79,25.95,28.68,30.64,
Other Mfr. Exp,87.75,77.18,81.73,92.71,94.38,94.3,119.69,140.09,147.94,
Employee Cost,55.33,66.93,74.43,87.06,90.29,99.63,115.48,135.96,156.09,177.81
Selling and admin,33.76,39.05,41.92,35.33,38.09,48.79,57.87,61.3,76.47,
Other Expenses,4.5,7.18,4.46,7.82,4.69,6.66,9.22,11.92,16.53,253.82
Other Income,0.57,2.35,1.12,2.11,2.54,2.38,27.26,11.48,14.7,13.77
Depreciation,29.09,35.13,35.72,48.4,51.5,55.26,60.95,69.16,72.77,79.57
Interest,21.87,25.45,28.32,37.4,37.16,33.39,43.62,53.93,56.38,76.96
Profit before tax,46.23,27.11,41.68,42.28,47.61,70.23,158.36,137.45,172.67,140.82
Tax,13.76,6.89,12.73,5.77,13.87,20.98,40.82,35.91,31.41,43.63
Net profit,32.47,20.22,28.95,36.52,33.74,49.26,117.54,101.54,141.27,97.18
Dividend Amount,5.44,3.37,4.78,3.64,6.69,9.1,18.2,20.02,27.3,22.75
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,354.42,383.92,390.63,438.51,457.6,409.63,409.47,437.7,452.92,436.06
Expenses,295.6,317.58,321.3,362.39,387.36,339.13,338.15,370.69,374.31,369.4
Other Income,2.05,4.67,2.85,0.54,11.71,2.03,2.77,9.53,-8.32,9.79
Depreciation,17.23,18.27,18.02,18.43,18.63,17.69,18.96,20.69,20.4,19.52
Interest,13.94,13.85,12.56,13.35,14.55,17.41,25.85,19.03,14.9,17.19
Profit before tax,29.7,38.89,41.6,44.88,48.77,37.43,29.28,36.82,34.99,39.74
Tax,8.91,9.79,9.65,9.08,10.56,2.12,6.54,8.48,10.05,18.57
Net profit,20.79,29.1,31.95,35.81,38.21,35.3,22.73,28.33,24.95,21.17
Operating Profit,58.82,66.34,69.33,76.12,70.24,70.5,71.32,67.01,78.61,66.66
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,8.7,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1
Reserves,169.68,206.73,231.62,260.2,291.62,335.06,443.33,520.88,640.02,710.97
Borrowings,303.36,297.8,320.2,356.3,320.52,421.16,459.12,484.47,613.64,598.77
Other Liabilities,119.0,123.47,155.32,173.55,217.6,240.3,249.54,288.06,304.84,338.13
Total,600.74,637.1,716.24,799.15,838.84,1005.62,1161.09,1302.51,1567.6,1656.97
Net Block,365.39,357.92,417.73,452.04,448.18,504.14,496.07,643.81,703.05,827.05
Capital Work in Progress,3.99,6.01,0.4,1.3,10.87,5.09,44.06,6.93,64.13,9.73
Investments,,,,,4.4,28.38,46.9,44.97,52.97,60.3
Other Assets,231.36,273.17,298.11,345.81,375.39,468.01,574.06,606.8,747.45,759.89
Total,600.74,637.1,716.24,799.15,838.84,1005.62,1161.09,1302.51,1567.6,1656.97
Receivables,103.22,132.47,148.13,162.08,177.16,228.77,290.59,342.76,443.83,422.66
Inventory,95.57,108.93,124.3,133.73,144.84,174.41,229.34,197.65,205.8,234.57
Cash & Bank,10.51,14.86,6.12,15.89,6.13,6.13,4.79,21.06,19.72,19.06
No. of Equity Shares,8700000.0,9100000.0,9100000.0,9100000.0,9100000.0,9100000.0,9100000.0,9100000.0,9100000.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,80.49,47.7,81.19,86.17,115.29,76.58,118.68,235.9,140.12,285.27
Cash from Investing Activity,-112.22,-32.52,-68.63,-71.72,-45.81,-137.71,-101.17,-181.97,-157.09,-141.99
Cash from Financing Activity,32.0,-15.4,-11.05,-15.99,-66.72,60.13,-18.03,-51.16,18.85,-140.46
Net Cash Flow,0.27,-0.22,1.52,-1.54,2.76,-1.01,-0.52,2.76,1.88,2.83
PRICE:,638.95,572.95,367.55,158.9,445.9,721.75,1408.8,2233.85,4565.35,2279.2
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.87,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
