COMPANY NAME,GSM FOILS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,277.5,,,,,,,,,
Market Capitalization,391.08,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2023-12-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,,27.18,40.83,133.8,258.15
Raw Material Cost,,,,,,,25.5,35.57,115.86,234.6
Change in Inventory,,,,,,,4.11,2.5,3.98,15.4
Power and Fuel,,,,,,,0.38,0.61,1.51,
Other Mfr. Exp,,,,,,,1.55,2.62,1.84,
Employee Cost,,,,,,,0.67,1.17,2.57,2.25
Selling and admin,,,,,,,0.67,0.63,0.79,
Other Expenses,,,,,,,0.49,,,6.92
Other Income,,,,,,,,,0.02,0.37
Depreciation,,,,,,,0.09,0.13,0.28,0.46
Interest,,,,,,,0.27,0.74,1.32,3.0
Profit before tax,,,,,,,1.67,1.86,13.63,26.69
Tax,,,,,,,0.42,0.49,3.98,6.85
Net profit,,,,,,,1.25,1.37,9.65,19.84
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,13.66,21.0,31.18,36.02,45.61,52.0,58.14,66.33,81.69,96.89
Expenses,12.81,18.85,27.98,31.97,39.81,46.18,51.5,58.45,72.26,85.38
Other Income,,,,,0.02,0.06,0.08,0.11,0.13,0.15
Depreciation,0.04,0.06,0.06,0.08,0.08,0.1,0.1,0.11,0.16,0.23
Interest,0.44,0.16,0.2,0.2,0.75,0.38,0.91,0.76,0.95,1.23
Profit before tax,0.37,1.93,2.94,3.77,4.99,5.4,5.71,7.12,8.45,10.2
Tax,0.1,0.53,0.82,1.05,1.57,1.57,1.31,1.79,2.16,2.58
Net profit,0.26,1.4,2.12,2.72,3.42,3.83,4.39,5.33,6.28,7.62
Operating Profit,0.85,2.15,3.2,4.05,5.8,5.82,6.64,7.88,9.43,11.51
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2023-12-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,,0.02,9.37,12.81,14.09
Reserves,,,,,,,1.25,1.66,18.43,60.37
Borrowings,,,,,,,14.13,5.42,17.82,44.39
Other Liabilities,,,,,,,6.68,3.52,12.34,46.18
Total,,,,,,,22.08,19.97,61.4,165.03
Net Block,,,,,,,0.86,0.84,2.12,5.09
Capital Work in Progress,,,,,,,,,,
Investments,,,,,,,,,2.99,9.83
Other Assets,,,,,,,21.22,19.13,56.29,150.11
Total,,,,,,,22.08,19.97,61.4,165.03
Receivables,,,,,,,7.01,7.23,33.77,94.31
Inventory,,,,,,,11.03,10.23,18.86,47.04
Cash & Bank,,,,,,,0.41,0.4,0.24,0.5
No. of Equity Shares,,,,,,,22000.0,9371649.0,12811600.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2023-12-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,-2.31,-13.72,,-36.79
Cash from Investing Activity,,,,,,,-0.16,-0.97,,-9.91
Cash from Financing Activity,,,,,,,2.6,15.08,,46.96
Net Cash Flow,,,,,,,0.12,0.4,,0.26
PRICE:,,,,,,,,,120.6,167.15
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,1.03,1.41,1.41
