COMPANY NAME,CENTRAL DEPOSITORY SERVICES (INDIA) LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1400.0,,,,,,,,,
Market Capitalization,29260.0,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,146.0,187.69,196.25,225.11,343.72,551.33,555.09,812.26,1082.28,1144.92
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.67,0.65,0.52,0.44,0.51,0.55,1.0,1.15,2.08,2.24
Other Mfr. Exp,9.74,9.72,13.98,15.36,19.91,26.43,38.4,63.32,136.87,188.6
Employee Cost,25.39,31.14,35.59,48.84,43.54,53.13,83.17,99.29,126.34,160.45
Selling and admin,17.15,21.49,19.8,34.31,27.42,37.88,52.12,75.26,87.2,95.8
Other Expenses,13.63,14.32,17.43,37.1,40.52,67.89,61.49,84.93,104.92,115.76
Other Income,40.85,37.99,49.19,59.15,56.92,54.57,65.85,95.05,119.12,93.28
Depreciation,3.7,6.95,9.92,11.73,9.2,11.46,19.48,27.23,48.98,66.19
Interest,,,,0.03,0.02,0.01,0.13,0.11,0.1,0.17
Profit before tax,116.57,141.41,148.2,136.45,259.52,408.55,365.15,556.02,694.91,608.99
Tax,29.98,37.78,33.38,29.73,58.25,96.74,89.19,136.45,168.58,153.91
Net profit,85.78,103.18,113.51,106.16,200.34,311.18,275.94,419.11,526.64,456.13
Dividend Amount,31.35,36.58,41.8,47.02,94.05,156.75,167.2,229.9,261.25,266.48
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,240.78,257.39,322.26,278.13,224.45,258.84,318.89,304.36,262.85,292.76
Expenses,92.89,102.95,122.46,117.47,115.07,128.71,142.58,144.56,147.31,154.86
Other Income,28.55,30.01,36.84,20.7,32.16,36.3,22.48,29.25,5.53,47.99
Depreciation,8.01,9.8,11.93,12.97,14.28,15.2,16.1,17.08,17.81,19.18
Interest,0.02,0.02,0.02,0.01,0.05,0.05,0.04,0.04,0.04,0.04
Profit before tax,168.41,174.63,224.69,168.38,127.21,151.18,182.65,171.93,103.22,166.67
Tax,38.98,40.47,62.73,38.57,26.81,48.78,42.72,38.99,23.43,49.0
Net profit,129.26,134.2,162.03,130.1,100.31,102.36,140.22,133.33,80.22,117.51
Operating Profit,147.89,154.44,199.8,160.66,109.38,130.13,176.31,159.8,115.54,137.9
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,209.0,209.0
Reserves,428.82,494.25,563.64,619.49,772.72,988.42,1109.23,1358.84,1551.34,1750.78
Borrowings,,,,,0.28,0.29,2.37,1.36,2.98,2.2
Other Liabilities,73.18,91.59,115.65,138.34,206.48,232.36,240.81,316.71,398.79,456.78
Total,606.5,690.34,783.79,862.33,1083.98,1325.57,1456.91,1781.41,2162.11,2418.76
Net Block,5.22,76.09,75.24,74.35,73.43,106.18,124.59,341.53,446.39,500.01
Capital Work in Progress,0.26,,,,22.78,3.8,174.29,3.82,7.13,7.49
Investments,502.9,521.04,593.25,664.59,709.42,925.49,936.69,1149.28,1351.45,1487.08
Other Assets,98.12,93.21,115.3,123.39,278.35,290.1,221.34,286.78,357.14,424.18
Total,606.5,690.34,783.79,862.33,1083.98,1325.57,1456.91,1781.41,2162.11,2418.76
Receivables,13.27,18.85,19.14,26.03,37.48,45.83,37.67,66.83,52.84,64.61
Inventory,,,,,,,,,,
Cash & Bank,48.32,41.95,55.5,53.7,207.68,205.85,71.02,52.86,174.18,83.07
No. of Equity Shares,104500000.0,104500000.0,104500000.0,104500000.0,104500000.0,104500000.0,104500000.0,104500000.0,209000000.0,209000000.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,42.74,79.3,85.7,82.17,192.56,283.41,248.83,385.94,543.47,466.62
Cash from Investing Activity,18.19,-67.09,-66.78,-32.66,-107.23,-145.53,-126.28,-249.24,-299.11,-185.0
Cash from Financing Activity,-31.44,-37.73,-20.09,-50.54,-47.16,-94.18,-157.78,-168.58,-230.59,-262.47
Net Cash Flow,29.49,-25.52,-1.17,-1.02,38.17,43.7,-35.23,-31.88,13.77,19.15
PRICE:,,141.33,121.28,107.2,328.03,740.18,454.38,855.98,1220.05,1119.4
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9
