COMPANY NAME,INDIAN ENERGY EXCHANGE LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,116.54,,,,,,,,,
Market Capitalization,10396.21,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,254.08,257.13,317.85,431.04,400.85,449.15,537.26,615.65
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,0.46,0.5,0.29,0.19,0.2,0.18,0.19,0.18
Other Mfr. Exp,,,1.86,1.25,1.11,1.66,8.0,11.3,12.89,15.4
Employee Cost,,,25.21,33.76,45.36,42.38,35.21,39.6,46.83,49.74
Selling and admin,,,18.84,14.64,15.75,18.02,15.01,14.03,12.78,20.04
Other Expenses,,,4.82,4.81,4.71,5.14,5.95,7.09,10.9,10.23
Other Income,,,40.01,40.26,38.38,60.79,86.4,112.5,134.74,151.1
Depreciation,,,10.42,15.24,16.51,17.23,18.59,20.47,21.25,23.32
Interest,,,0.73,1.57,2.05,1.97,2.46,2.83,2.62,2.28
Profit before tax,,,231.75,225.62,270.45,405.24,401.83,466.15,564.54,645.56
Tax,,,66.71,49.9,65.02,96.61,95.94,115.36,135.36,152.64
Net profit,,,165.04,175.72,206.09,309.26,305.89,350.78,429.17,492.92
Dividend Amount,,,,74.58,119.4,179.56,89.09,222.72,267.27,311.82
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,121.28,123.56,139.4,132.05,142.25,141.75,153.92,145.67,174.3,157.88
Expenses,16.71,24.22,19.51,18.94,20.94,26.44,20.47,23.74,24.94,26.95
Other Income,30.09,34.49,31.26,32.42,36.58,49.11,33.87,41.57,26.55,52.65
Depreciation,5.22,5.24,5.33,5.41,5.27,5.45,5.69,6.05,6.13,6.01
Interest,0.72,0.67,0.66,0.67,0.61,0.58,0.53,0.52,0.65,0.77
Profit before tax,128.72,127.92,145.16,139.45,152.01,158.39,161.1,156.93,169.13,176.8
Tax,32.03,31.48,36.84,32.15,34.89,37.7,37.75,37.83,39.36,42.04
Net profit,96.69,96.44,108.32,107.29,117.11,120.7,123.35,119.11,129.77,134.76
Operating Profit,104.57,99.34,119.89,113.11,121.31,115.31,133.45,121.93,149.36,130.93
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,30.19,29.83,29.85,89.78,89.09,89.09,89.09,89.09
Reserves,,,340.08,358.12,496.26,613.63,710.01,883.08,1047.22,1275.47
Borrowings,,,,13.91,11.73,10.01,14.1,10.36,6.15,11.16
Other Liabilities,,,335.3,265.39,443.92,982.77,640.19,791.07,1053.92,1060.02
Total,,,705.57,667.25,981.76,1696.19,1453.39,1773.6,2196.38,2435.74
Net Block,,,111.37,118.98,121.47,109.87,110.2,100.79,86.84,96.68
Capital Work in Progress,,,1.25,3.83,6.64,4.88,3.79,4.2,4.13,5.3
Investments,,,474.65,508.57,712.81,1248.11,1218.84,1331.26,1633.49,1993.1
Other Assets,,,118.3,35.87,140.84,333.33,120.56,337.35,471.92,340.66
Total,,,705.57,667.25,981.76,1696.19,1453.39,1773.6,2196.38,2435.74
Receivables,,,45.89,0.19,3.2,87.37,7.03,86.27,2.62,1.98
Inventory,,,,,,,,,,
Cash & Bank,,,67.62,27.64,103.87,232.64,64.61,186.57,112.94,105.18
No. of Equity Shares,,,301919020.0,298324941.0,298505341.0,897788000.0,891692735.0,891692735.0,891692735.0,891692735.0
New Bonus Shares,,,,,,,1643540.0,1643540.0,,50540.0
Face value,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,138.27,126.02,306.36,762.32,-22.62,298.46,427.25,432.77
Cash from Investing Activity,,,-62.12,-2.52,-196.05,-448.42,70.26,-24.5,-196.37,-230.53
Cash from Financing Activity,,,-78.44,-161.45,-77.12,-135.77,-214.79,-183.09,-271.85,-271.82
Net Cash Flow,,,-2.29,-37.96,33.19,178.13,-167.15,90.88,-40.97,-69.58
PRICE:,,,55.0,42.65,110.93,224.7,127.95,134.35,175.77,114.75
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,90.99,89.87,89.87,89.87,89.17,89.17,89.17,89.17
