COMPANY NAME,PREMIER ENERGIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,1002.0,,,,,,,,,
Market Capitalization,45485.94,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,947.15,701.46,742.87,1428.53,3143.79,6518.75,7824.37
Raw Material Cost,,,,737.71,528.79,626.85,1267.34,2467.9,4075.26,5002.59
Change in Inventory,,,,26.13,8.08,39.79,93.41,124.3,62.28,315.46
Power and Fuel,,,,3.78,3.08,15.13,35.31,67.33,108.76,
Other Mfr. Exp,,,,78.85,66.92,44.56,44.72,87.15,152.86,
Employee Cost,,,,20.15,19.67,24.64,44.81,61.49,105.68,158.08
Selling and admin,,,,23.84,19.68,22.53,17.51,48.58,128.19,
Other Expenses,,,,14.88,17.71,19.38,34.05,57.78,229.36,601.92
Other Income,,,,18.51,35.43,25.34,35.9,28.79,134.02,206.65
Depreciation,,,,16.92,11.64,27.6,53.23,96.09,497.52,452.5
Interest,,,,34.84,21.66,43.0,68.63,121.18,177.45,158.18
Profit before tax,,,,60.82,55.82,-15.69,-7.76,289.38,1239.97,1973.21
Tax,,,,15.57,30.02,-1.29,5.58,58.01,302.84,463.52
Net profit,,,,37.26,23.48,-14.36,-12.81,231.36,937.13,1509.77
Dividend Amount,,,,,,,,,22.54,11.32
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1126.59,1657.37,1527.22,1713.32,1620.84,1820.74,1836.87,1936.46,2230.3,2462.59
Expenses,942.1,1299.06,1146.7,1199.81,1092.45,1272.46,1276.03,1343.34,1555.45,1748.23
Other Income,12.3,12.09,26.42,36.2,59.49,49.02,84.5,29.66,43.62,45.58
Depreciation,37.05,79.44,89.72,151.75,176.61,157.54,145.68,70.16,79.12,95.63
Interest,45.18,45.23,42.05,46.99,43.18,36.81,32.45,47.44,41.48,43.93
Profit before tax,114.56,245.73,275.17,350.97,368.09,402.95,467.21,505.18,597.87,620.38
Tax,10.61,47.58,69.22,95.75,90.29,95.16,113.77,113.56,141.03,148.46
Net profit,103.96,198.16,205.95,255.22,277.81,307.79,353.44,391.71,456.83,463.07
Operating Profit,184.49,358.31,380.52,513.51,528.39,548.28,560.84,593.12,674.85,714.36
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,24.88,24.95,26.35,26.35,26.35,45.08,45.3
Reserves,,,,205.82,197.12,368.27,384.87,620.5,2777.03,4262.42
Borrowings,,,,255.77,346.77,454.8,764.78,1401.5,1953.51,3707.15
Other Liabilities,,,,341.62,406.46,490.96,934.44,1488.58,2065.08,2829.99
Total,,,,828.09,975.3,1340.38,2110.44,3536.93,6840.7,10844.86
Net Block,,,,263.31,425.46,478.51,591.91,1203.16,978.32,1746.67
Capital Work in Progress,,,,20.96,0.09,114.2,349.33,19.79,242.01,2143.87
Investments,,,,5.5,9.14,54.74,58.77,9.08,845.43,669.63
Other Assets,,,,538.32,540.61,692.93,1110.43,2304.9,4774.94,6284.69
Total,,,,828.09,975.3,1340.38,2110.44,3536.93,6840.7,10844.86
Receivables,,,,191.9,162.0,145.18,59.46,608.98,800.94,982.78
Inventory,,,,109.99,62.64,216.93,632.86,1009.33,1325.64,2037.35
Cash & Bank,,,,74.88,79.42,159.68,193.47,402.69,2002.3,2089.47
No. of Equity Shares,,,,248783880.0,249508880.0,263458334.0,263458334.0,263458334.0,450774368.0,
New Bonus Shares,,,,,,,,,70606834.0,
Face value,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,-65.63,236.88,4.96,36.69,90.15,1348.05,1261.06
Cash from Investing Activity,,,,-55.95,-352.79,-217.93,-303.88,-446.63,-2410.29,-2155.87
Cash from Financing Activity,,,,134.33,109.14,278.61,251.66,548.91,1607.82,1558.75
Net Cash Flow,,,,12.74,-6.78,65.65,-15.53,192.43,545.58,663.94
PRICE:,,,,,,,,,937.95,891.65
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,24.88,24.95,26.35,26.35,26.35,45.08,45.3
