COMPANY NAME,WAAREE ENERGIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,2635.0,,,,,,,,,
Market Capitalization,75796.13,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,1995.78,1952.78,2854.27,6750.87,11397.61,14444.5,26536.77
Raw Material Cost,,,,1649.24,1684.54,2258.1,6157.99,9321.79,9537.03,20035.91
Change in Inventory,,,,19.51,73.08,-63.6,1006.9,561.99,-652.79,1954.97
Power and Fuel,,,,12.65,10.11,19.71,50.51,88.39,115.61,
Other Mfr. Exp,,,,133.67,137.6,267.74,412.53,167.26,219.48,
Employee Cost,,,,55.43,49.38,56.91,123.79,177.15,318.17,599.25
Selling and admin,,,,49.04,44.78,56.23,121.18,574.71,738.77,1947.94
Other Expenses,,,,22.49,14.62,26.03,55.96,55.87,141.01,
Other Income,,,,25.01,44.65,96.58,87.74,576.49,397.54,413.37
Depreciation,,,,27.13,28.66,43.27,164.13,276.81,402.45,989.72
Interest,,,,33.71,30.92,40.88,82.27,139.91,152.09,280.5
Profit before tax,,,,56.94,69.9,118.38,677.15,1734.2,2564.64,5051.79
Tax,,,,17.92,21.72,38.72,176.88,459.82,636.51,1167.64
Net profit,,,,41.71,49.21,75.64,482.76,1237.18,1867.39,3711.3
Dividend Amount,,,,,,,,,,57.53
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,2935.84,3408.9,3574.38,3457.29,4003.93,4425.83,6065.64,7565.05,8480.25,7931.79
Expenses,2517.5,2856.42,3049.53,2735.56,3081.35,3428.51,4659.24,5636.89,6903.5,6491.87
Other Income,363.83,87.51,89.09,87.98,132.97,171.35,160.9,-98.6,179.73,170.81
Depreciation,75.15,75.77,84.27,89.05,153.38,182.06,239.76,267.26,300.64,329.98
Interest,48.41,33.7,30.83,30.85,56.72,43.25,96.08,93.28,47.89,70.37
Profit before tax,658.61,530.52,498.84,689.81,845.45,943.36,1231.46,1469.02,1407.95,1210.38
Tax,183.45,129.41,123.18,182.93,200.99,170.47,353.25,362.23,281.69,318.51
Net profit,461.52,394.14,361.65,492.69,618.91,745.2,842.55,1062.46,1061.1,850.22
Operating Profit,418.34,552.48,524.85,721.73,922.58,997.32,1406.4,1928.16,1576.75,1439.92
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,197.14,197.14,197.14,243.37,262.96,287.28,287.65
Reserves,,,,100.88,147.85,230.51,1595.04,3824.85,9191.92,14149.69
Borrowings,,,,157.07,339.9,363.41,320.27,553.39,1198.99,3212.62
Other Liabilities,,,,483.18,595.64,1362.49,5246.97,6635.44,9027.85,12465.41
Total,,,,938.27,1280.53,2153.55,7405.65,11276.64,19706.04,30115.37
Net Block,,,,151.75,284.71,624.62,1105.27,1449.85,4050.95,7328.57
Capital Work in Progress,,,,40.22,2.84,123.76,537.19,1341.44,1884.14,3476.15
Investments,,,,85.46,115.44,143.16,31.06,71.15,64.68,952.84
Other Assets,,,,660.84,877.54,1262.01,5732.13,8414.2,13706.27,18357.81
Total,,,,938.27,1280.53,2153.55,7405.65,11276.64,19706.04,30115.37
Receivables,,,,140.24,116.72,92.52,312.61,971.39,1184.77,2492.32
Inventory,,,,243.11,368.0,538.17,2708.87,2585.53,2692.11,5855.64
Cash & Bank,,,,78.7,110.25,366.37,1736.42,3779.17,7747.82,6728.37
No. of Equity Shares,,,,197138492.0,197138492.0,197138492.0,243366071.0,262961550.0,287283199.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,83.24,67.28,697.96,1560.23,2305.04,3158.21,1626.95
Cash from Investing Activity,,,,-21.83,-249.69,-672.65,-2088.24,-3346.49,-6805.51,-3953.18
Cash from Financing Activity,,,,-49.78,161.33,101.06,642.48,909.19,4035.74,2573.11
Net Cash Flow,,,,11.64,-21.08,126.37,114.47,-132.26,388.44,246.88
PRICE:,,,,,,,,,2404.65,3109.8
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,19.71,19.71,19.71,19.71,19.71,28.73,28.77
