COMPANY NAME,WEBSOL ENERGY SYSTEM LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,74.53,,,,,,,,,
Market Capitalization,3235.82,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,296.08,183.27,68.56,195.54,153.6,213.22,17.22,25.86,520.51,974.15
Raw Material Cost,208.78,137.71,65.93,139.63,90.51,149.76,9.78,16.1,179.32,470.33
Change in Inventory,-10.82,7.55,8.68,-12.5,-1.47,3.34,0.65,2.68,1.85,58.45
Power and Fuel,10.88,11.34,7.59,10.29,10.36,10.86,1.8,1.76,18.89,28.91
Other Mfr. Exp,13.29,9.73,3.84,7.41,2.6,12.47,4.1,3.02,33.63,30.08
Employee Cost,7.86,8.8,9.5,9.5,9.07,10.49,6.87,2.26,17.58,36.47
Selling and admin,2.74,6.02,6.58,11.4,4.14,3.44,3.9,6.4,10.93,35.23
Other Expenses,13.09,0.47,8.34,2.01,1.68,3.11,4.22,0.32,9.34,3.04
Other Income,70.5,10.99,17.29,3.64,59.94,5.81,0.51,-110.43,1.97,8.52
Depreciation,15.15,14.24,15.49,15.47,15.36,15.33,15.34,36.02,40.9,61.57
Interest,5.11,8.7,6.15,6.25,9.1,3.07,3.9,4.91,19.27,15.99
Profit before tax,78.86,4.8,-28.89,-15.28,69.25,13.84,-31.53,-152.68,194.47,359.5
Tax,0.12,0.01,0.05,-19.39,19.86,4.17,-7.85,-31.72,39.73,56.49
Net profit,78.74,4.78,-28.95,4.11,49.39,9.67,-23.69,-120.96,154.74,303.01
Dividend Amount,,,,,,,,,,10.86
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,24.87,111.6,143.55,147.31,172.99,218.75,168.22,261.02,401.45,372.6
Expenses,28.03,67.63,80.89,79.79,94.51,115.27,95.93,154.57,255.14,247.02
Other Income,-3.98,0.23,0.29,0.39,1.06,2.18,3.28,-2.64,5.69,4.38
Depreciation,24.45,7.74,8.56,14.74,9.86,10.61,10.99,16.14,23.84,21.82
Interest,4.65,4.65,5.78,5.05,3.79,4.09,4.73,3.67,3.5,4.17
Profit before tax,-36.24,31.81,48.61,48.12,65.89,90.96,59.85,84.0,124.66,103.97
Tax,22.33,8.93,6.63,6.56,17.62,23.78,13.53,19.02,0.16,26.18
Net profit,-58.57,22.88,41.98,41.56,48.27,67.18,46.32,64.98,124.5,77.79
Operating Profit,-3.16,43.97,62.66,67.52,78.48,103.48,72.29,106.45,146.31,125.58
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,21.97,26.68,29.03,30.59,31.14,36.64,38.8,42.21,42.21,43.42
Reserves,36.05,73.94,94.84,93.78,142.78,154.95,152.48,65.51,235.84,587.29
Borrowings,84.18,80.7,75.97,77.68,35.21,36.47,27.51,183.62,153.37,130.74
Other Liabilities,174.61,187.42,151.87,108.67,75.09,57.84,48.28,61.41,83.06,168.9
Total,316.81,368.74,351.71,310.72,284.22,285.9,267.07,352.75,514.48,930.35
Net Block,282.79,304.04,286.92,254.24,239.34,224.98,210.13,269.85,284.91,458.72
Capital Work in Progress,,,0.91,,,,5.61,30.12,17.06,0.06
Investments,,,,,,,,,5.0,52.38
Other Assets,34.02,64.7,63.88,56.48,44.88,60.92,51.33,52.78,207.51,419.19
Total,316.81,368.74,351.71,310.72,284.22,285.9,267.07,352.75,514.48,930.35
Receivables,1.3,21.34,9.66,17.75,19.87,27.09,1.73,0.76,4.56,93.04
Inventory,4.23,18.17,33.9,12.04,17.75,22.42,13.61,19.3,34.27,159.86
Cash & Bank,3.21,0.07,0.08,0.52,1.66,3.77,0.09,0.93,86.92,100.09
No. of Equity Shares,21973086.0,26675733.0,29027067.0,30594623.0,31143268.0,36640538.0,38797418.0,42206347.0,42206347.0,434163470.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,142.05,10.27,4.95,0.68,36.17,-2.96,-8.41,34.9,167.26,254.7
Cash from Investing Activity,28.17,-1.2,5.89,13.35,-0.28,-0.98,-5.76,-223.42,-85.91,-233.47
Cash from Financing Activity,-167.74,-12.04,-10.84,-13.58,-34.76,6.05,10.49,189.32,-34.55,-2.76
Net Cash Flow,2.47,-2.97,,0.44,1.14,2.11,-3.68,0.8,46.8,18.47
PRICE:,5.39,8.81,2.54,1.24,4.26,9.42,7.73,48.53,119.41,64.86
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,21.97,26.68,29.03,30.59,31.14,36.64,38.8,42.21,42.21,43.42
