COMPANY NAME,INSOLATION ENERGY LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,90.24,,,,,,,,,
Market Capitalization,1989.36,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,215.37,279.36,737.17,1333.76,2146.02
Raw Material Cost,,,,,,180.05,245.27,606.06,1082.38,1934.19
Change in Inventory,,,,,,2.36,10.3,2.68,-2.08,218.74
Power and Fuel,,,,,,0.89,1.19,2.93,4.2,
Other Mfr. Exp,,,,,,11.38,10.85,17.92,28.2,
Employee Cost,,,,,,5.77,7.22,15.69,25.69,50.54
Selling and admin,,,,,,5.6,6.1,15.89,28.55,
Other Expenses,,,,,,0.15,0.27,0.4,1.35,92.91
Other Income,,,,,,0.06,0.69,4.15,9.05,17.5
Depreciation,,,,,,1.97,2.35,7.09,9.17,35.8
Interest,,,,,,2.63,3.31,10.49,7.57,23.54
Profit before tax,,,,,,9.35,13.79,67.53,153.62,245.28
Tax,,,,,,2.41,3.11,12.06,27.43,44.66
Net profit,,,,,,6.95,10.68,55.47,126.2,200.22
Dividend Amount,,,,,,,,,2.2,
Quarters,,,,,,,,,,
Report Date,,,,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,,,,324.96,396.77,361.89,414.86,575.34,793.93,740.7
Expenses,,,,300.66,339.39,305.14,369.91,500.57,683.28,668.55
Other Income,,,,5.43,-0.31,1.06,11.04,6.95,-1.55,4.71
Depreciation,,,,2.94,2.98,2.79,6.26,11.8,14.96,16.92
Interest,,,,4.22,0.88,2.97,4.75,7.97,7.85,12.44
Profit before tax,,,,22.57,53.21,52.05,44.98,61.95,86.29,47.5
Tax,,,,4.02,10.81,8.93,8.04,11.24,16.45,9.48
Net profit,,,,18.54,42.39,42.97,36.95,50.72,70.07,37.04
Operating Profit,,,,24.3,57.38,56.75,44.95,74.77,110.65,72.15
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,15.0,20.83,20.83,22.03,22.04
Reserves,,,,,,7.14,32.05,87.5,594.46,785.1
Borrowings,,,,,,31.26,67.92,96.03,108.09,887.91
Other Liabilities,,,,,,16.12,38.49,58.42,122.81,460.08
Total,,,,,,69.52,159.29,262.78,847.39,2155.13
Net Block,,,,,,9.04,37.86,46.22,77.29,524.89
Capital Work in Progress,,,,,,2.18,,1.4,46.1,72.93
Investments,,,,,,,,5.49,49.71,35.53
Other Assets,,,,,,58.3,121.43,209.67,674.29,1521.78
Total,,,,,,69.52,159.29,262.78,847.39,2155.13
Receivables,,,,,,16.51,28.39,51.96,110.09,281.59
Inventory,,,,,,23.42,48.03,73.79,76.98,379.05
Cash & Bank,,,,,,8.4,23.38,54.76,313.93,520.94
No. of Equity Shares,,,,,,15000000.0,20832000.0,20832000.0,220343000.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10.0,10.0,10.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,8.79,-1.4,30.27,113.1,-73.13
Cash from Investing Activity,,,,,,-3.13,-28.99,-33.47,-553.57,-185.57
Cash from Financing Activity,,,,,,2.5,45.36,28.09,394.43,697.8
Net Cash Flow,,,,,,8.16,14.97,24.89,-46.04,439.1
PRICE:,,,,,,,12.6,163.79,259.0,82.18
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,15.0,20.83,20.83,22.03,22.04
