COMPANY NAME,INVENTURUS KNOWLEDGE SOLUTIONS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,1846.4,,,,,,,,,
Market Capitalization,31695.03,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,529.0,552.56,763.63,1031.3,1817.93,2663.99,3193.79
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,-0.71,-0.75,-1.39
Power and Fuel,,,,2.33,1.29,1.19,3.46,5.7,7.8,
Other Mfr. Exp,,,,8.06,13.57,25.75,44.1,126.55,193.36,
Employee Cost,,,,287.72,301.0,373.47,491.93,963.08,1496.31,1627.28
Selling and admin,,,,64.06,27.58,59.84,92.48,191.33,185.88,
Other Expenses,,,,5.12,4.59,5.49,7.34,9.28,8.51,482.99
Other Income,,,,30.61,16.16,1.09,-2.05,40.01,39.0,17.19
Depreciation,,,,40.5,30.34,23.31,24.55,58.55,112.66,124.15
Interest,,,,7.12,7.68,7.15,6.05,61.08,91.43,70.25
Profit before tax,,,,144.7,182.67,268.52,359.34,441.66,606.29,904.92
Tax,,,,7.22,17.28,35.55,54.11,71.18,120.23,183.36
Net profit,,,,137.47,165.38,232.97,305.23,370.49,486.06,721.55
Dividend Amount,,,,,19.46,916.14,168.4,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,567.1,619.96,640.09,642.78,657.16,723.96,740.1,781.09,814.95,857.65
Expenses,404.83,494.15,467.1,453.69,475.7,497.78,502.34,510.75,535.74,562.83
Other Income,5.95,14.63,3.58,5.17,26.99,3.26,3.11,3.66,5.55,4.87
Depreciation,18.98,27.38,28.25,28.33,27.76,28.33,27.9,30.14,32.05,34.06
Interest,25.56,32.2,25.98,22.23,20.54,21.02,18.08,16.15,23.34,12.68
Profit before tax,123.68,80.86,122.34,143.7,160.15,180.09,194.89,227.71,229.37,252.95
Tax,22.15,17.3,26.86,30.7,30.48,32.29,43.34,46.99,46.05,46.99
Net profit,101.54,63.57,95.49,113.0,129.68,147.8,151.54,180.72,183.33,205.97
Operating Profit,162.27,125.81,172.99,189.09,181.46,226.18,237.76,270.34,279.21,294.82
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,8.05,8.11,16.81,16.84,16.92,17.02,
Reserves,,,,275.28,448.67,630.26,811.8,1140.94,1772.67,
Borrowings,,,,,76.03,65.19,52.35,1311.1,855.62,
Other Liabilities,,,,150.89,52.81,75.26,107.31,410.65,274.04,
Total,,,,434.22,585.62,787.52,988.3,2879.61,2919.35,
Net Block,,,,36.32,87.05,75.93,58.63,1832.79,1790.05,
Capital Work in Progress,,,,,0.11,,0.35,2.72,13.05,
Investments,,,,0.75,13.67,16.11,31.81,195.43,113.74,
Other Assets,,,,397.15,484.79,695.48,897.51,848.67,1002.51,
Total,,,,434.22,585.62,787.52,988.3,2879.61,2919.35,
Receivables,,,,74.57,74.91,95.56,160.63,361.89,532.06,
Inventory,,,,,,,,0.75,,
Cash & Bank,,,,122.14,224.47,347.01,522.96,331.81,192.3,
No. of Equity Shares,,,,8053963.0,8265031.0,171150620.0,170884663.0,170884663.0,171573159.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,162.96,174.96,233.05,287.98,209.77,317.89,673.59
Cash from Investing Activity,,,,-79.01,-166.56,-82.25,-157.85,-1137.24,241.24,-210.0
Cash from Financing Activity,,,,-40.76,-36.57,-58.51,-152.19,780.37,-389.49,-411.8
Net Cash Flow,,,,43.19,-28.17,92.3,-22.06,-147.1,169.64,51.78
PRICE:,,,,,,,,,1528.95,1328.4
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.82,0.83,17.12,17.09,17.09,17.16,17.17
