COMPANY NAME,SAGILITY LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,43.88,,,,,,,,,
Market Capitalization,20527.48,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,923.41,4218.41,4753.56,5569.92,7192.85
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,5.59,33.12,44.6,41.85,37.13
Other Mfr. Exp,,,,,,49.08,278.96,275.58,316.36,399.58
Employee Cost,,,,,,505.71,2494.2,2937.64,3498.9,4510.28
Selling and admin,,,,,,163.17,340.24,386.19,383.17,459.63
Other Expenses,,,,,,6.88,32.5,21.46,22.65,21.5
Other Income,,,,,,17.6,5.48,27.95,47.2,60.7
Depreciation,,,,,,147.21,644.34,689.21,466.86,487.37
Interest,,,,,,65.22,214.85,185.15,127.1,99.16
Profit before tax,,,,,,-1.85,185.68,241.68,760.23,1238.9
Tax,,,,,,2.82,42.1,13.41,221.11,314.13
Net profit,,,,,,-4.67,143.57,228.27,539.12,924.77
Dividend Amount,,,,,,,,,,70.19
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1283.19,1223.33,1325.05,1453.07,1568.48,1538.94,1658.5,1971.15,2024.26,1963.48
Expenses,975.9,1029.39,1023.9,1060.84,1195.45,1192.84,1243.36,1460.05,1539.6,1525.32
Other Income,4.57,24.43,15.34,43.95,10.12,9.89,58.17,-24.4,24.78,-0.77
Depreciation,176.05,109.99,126.36,116.17,114.34,118.19,121.51,123.52,124.15,128.03
Interest,42.94,37.37,29.71,30.19,29.83,27.41,24.99,24.66,22.1,21.89
Profit before tax,92.87,71.01,160.42,289.82,238.98,210.39,326.81,338.52,363.19,287.47
Tax,12.67,48.72,43.08,72.9,56.41,61.83,75.98,70.86,105.46,70.67
Net profit,80.21,22.29,117.34,216.91,182.57,148.56,250.83,267.66,257.73,216.81
Operating Profit,307.29,193.94,301.15,392.23,373.03,346.1,415.14,511.1,484.66,438.16
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,1918.67,1918.67,4285.28,4679.27,4679.27
Reserves,,,,,,2107.94,4288.0,2157.85,3656.78,4979.82
Borrowings,,,,,,4787.78,2895.84,2531.71,1401.94,1110.54
Other Liabilities,,,,,,1270.64,1426.54,1553.99,1178.93,1680.05
Total,,,,,,10085.03,10529.05,10528.83,10916.92,12449.68
Net Block,,,,,,8620.88,8606.86,8667.13,8997.32,9352.05
Capital Work in Progress,,,,,,5.35,0.31,5.7,0.01,42.95
Investments,,,,,,,,,,335.87
Other Assets,,,,,,1458.8,1921.88,1856.0,1919.59,2718.81
Total,,,,,,10085.03,10529.05,10528.83,10916.92,12449.68
Receivables,,,,,,926.2,1068.58,1181.34,1266.76,1839.03
Inventory,,,,,,,,,,
Cash & Bank,,,,,,373.8,585.29,344.13,343.76,567.92
No. of Equity Shares,,,,,,1920726066.0,1920726066.0,4287336495.0,4681328413.0,4681328413.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,-31.89,856.78,973.26,1214.07,1202.97
Cash from Investing Activity,,,,,,-7710.66,-100.68,-463.08,-958.37,-687.41
Cash from Financing Activity,,,,,,8116.35,-544.62,-751.34,-256.07,-501.4
Net Cash Flow,,,,,,373.8,211.49,-241.16,-0.37,14.16
PRICE:,,,,,,,,,42.91,39.95
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,192.07,192.07,428.73,468.13,468.13
