COMPANY NAME,INDEGENE LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,545.25,,,,,,,,,
Market Capitalization,13142.11,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,553.28,642.93,966.27,1664.61,2306.1,2589.6,2839.3,3510.5
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,2.12,,,,,,,
Other Mfr. Exp,,,61.23,74.18,139.08,248.03,249.3,234.6,241.9,392.1
Employee Cost,,,367.45,369.92,535.6,1014.34,1464.8,1651.6,1815.2,2197.7
Selling and admin,,,70.79,49.55,54.82,99.74,174.9,176.3,201.8,255.8
Other Expenses,,,9.67,5.62,6.44,15.58,21.0,21.7,32.6,45.9
Other Income,,,6.55,-101.79,-2.63,-21.01,58.0,78.7,93.7,51.7
Depreciation,,,16.6,19.34,25.55,33.45,59.8,76.1,80.2,126.4
Interest,,,6.25,8.84,6.96,5.96,31.3,49.4,22.0,19.3
Profit before tax,,,25.72,13.69,195.19,226.5,363.0,458.6,539.3,525.0
Tax,,,11.62,26.12,45.78,63.68,96.9,121.9,132.6,123.9
Net profit,,,14.09,-6.3,149.41,164.76,266.1,336.7,406.7,401.1
Dividend Amount,,,,,,,,,47.9,54.11
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,673.0,676.5,686.8,720.4,755.6,760.8,804.2,942.1,1003.4,1063.1
Expenses,534.3,547.6,560.7,588.6,608.1,605.5,663.6,782.6,839.8,888.9
Other Income,25.6,22.5,21.4,37.7,25.6,22.1,19.7,19.4,-9.5,29.0
Depreciation,18.5,20.1,19.4,20.0,20.7,21.6,23.4,39.6,41.8,44.1
Interest,12.3,11.7,4.0,3.2,3.1,3.7,3.8,4.6,7.2,6.4
Profit before tax,133.5,119.6,124.1,146.3,149.3,152.1,133.1,134.7,105.1,152.7
Tax,38.7,31.9,32.4,36.6,31.7,35.7,31.0,31.8,25.4,36.5
Net profit,94.8,87.7,91.7,109.7,117.6,116.4,102.1,102.9,79.7,116.2
Operating Profit,138.7,128.9,126.1,131.8,147.5,155.3,140.6,159.5,163.6,174.2
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,0.31,0.31,0.31,0.35,44.3,44.4,47.9,48.1
Reserves,,,73.4,-104.99,324.21,763.55,1019.5,1384.7,2567.7,3090.6
Borrowings,,,147.12,482.87,51.38,65.75,502.5,489.6,101.6,144.4
Other Liabilities,,,108.1,222.06,220.14,523.82,637.6,626.9,608.7,1337.2
Total,,,328.93,600.25,596.04,1353.47,2203.9,2545.6,3325.9,4620.3
Net Block,,,104.41,119.26,85.92,137.73,664.1,645.8,677.6,1811.6
Capital Work in Progress,,,,,,,,,3.6,11.8
Investments,,,,13.16,,119.86,614.0,796.5,1289.7,1099.5
Other Assets,,,224.52,467.83,510.12,1095.88,925.8,1103.3,1355.0,1697.4
Total,,,328.93,600.25,596.04,1353.47,2203.9,2545.6,3325.9,4620.3
Receivables,,,90.39,223.59,285.4,443.91,642.0,648.0,751.4,981.8
Inventory,,,,,,,,,,
Cash & Bank,,,36.81,180.34,139.9,517.31,85.8,191.0,374.6,381.9
No. of Equity Shares,,,1565930.0,1566978.0,1566965.0,1754085.0,221475114.0,222062383.0,239635254.0,240528646.0
New Bonus Shares,,,,,,,,,,
Face value,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,64.58,22.27,172.03,297.04,130.2,507.7,441.9,650.8
Cash from Investing Activity,,,-18.3,-15.78,-81.03,-157.6,-896.0,-326.5,-677.0,-508.4
Cash from Financing Activity,,,-21.24,136.36,-131.51,233.48,333.1,-66.2,287.5,-82.6
Net Cash Flow,,,25.04,142.85,-40.5,372.92,-432.7,115.0,52.4,59.8
PRICE:,,,,,,,,,578.5,434.6
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,0.16,0.16,0.16,0.18,22.18,22.24,24.0,24.09
