   Profit & Loss Statement
                                                                                     ₹ Cr
                   PARTICULARS           Q1 FY27   Q4 FY26   Q1 FY26
    Revenue                               428        407       313

     Recurring Revenue                    395        372       307

     One Time Revenue                      33        35         7

    Expenses                              342        327      248

     Purchase of Traded Goods              27        26        10

     Employee Benefit Expense              24        24        20

     Other expenses                        291       276       218

    EBITDA                                 87        80        65

          EBITDA Margin %                 20%       20%        21%

     Less : Finance Cost                   11         9        10

     Less: Depreciation & Amortization     40        41        30

     Add: Other Income                     8          8        0

    Profit Before Tax                      43        38        25

          PBT Margin %                    10%        9%        8%

     Less: Tax Expenses                    8          9        6

    PAT                                    35        30       18.5

          PAT Margin %                     8%        7%        6%



9 | IGAAP Equivalent                                                 ©2026 INDIQUBE SPACES LIMITED

