AARTI DRUGS LTD,,,,,,,,,SCREENER.IN,
Narration,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,23.86,23.58,23.58,23.3,93.2,92.6,92.6,91.94,91.27,91.27
Reserves,376.28,431.85,519.86,629.19,820.22,943.76,1099.83,1189.61,1277.73,1457.59
Borrowings,479.5,546.25,507.21,388.64,350.76,542.82,608.91,564.28,615.08,576.63
Other Liabilities,311.4,387.74,404.84,535.37,501.83,628.78,620.06,586.54,590.6,689.77
Total,1191.04,1389.42,1455.49,1576.5,1766.01,2207.96,2421.4,2432.37,2574.68,2815.26
Net Block,581.09,602.39,624.86,643.81,665.4,689.93,676.23,811.09,866.11,1086.4
Capital Work in Progress,14.28,28.45,32.75,12.21,19.26,76.74,210.35,260.87,330.18,213.81
Investments,11.94,10.76,12.44,13.36,17.3,19.48,18.8,19.97,22.41,27.31
Other Assets,583.73,747.82,785.44,907.12,1064.05,1421.81,1516.02,1340.44,1355.98,1487.74
Total,1191.04,1389.42,1455.49,1576.5,1766.01,2207.96,2421.4,2432.37,2574.68,2815.26
Working Capital,272.33000000000004,360.08000000000004,380.6000000000001,371.75,562.22,793.03,895.96,753.9000000000001,765.38,797.97
Debtors,296.81,374.94,458.54,488.63,555.23,749.9,864.84,704.55,751.18,829.87
Inventory,209.63,278.21,246.61,325.4,415,525.94,516.29,485.89,472.93,490.78
Debtor Days,90.64455265778089,110.04326045528009,107.22199443924814,98.74920408174565,94.05087758379045,109.98473067727483,116.2226763130281,101.70164677407872,114.86269548350877,118.0763923268533
Inventory Turnover,5.701330916376473,4.4701125049423105,6.329589229958233,5.550368776889981,5.192240963855422,4.731813514849602,5.260706192256291,5.204017370186667,5.047322013828685,5.22700599046416
Return on Equity,0.20442845004248514,0.18073029883846037,0.16515162667451788,0.2167083020429432,0.3069891178209367,0.19784630823266047,0.1394714993752254,0.1337599001209473,0.12283418553688824,0.1258473974406983
Return on Capital Emp,,0.1731443879829056,0.17008960547280408,0.21293826310606273,0.34290399122026965,0.20669911653818018,0.15460935004082213,0.1499354293877171,0.1309743570997752,0.12030455741111601
