GRANULES INDIA LTD,,,,,,,,,SCREENER.IN,
Narration,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,22.87,25.38,25.42,25.42,24.77,24.8,24.2,24.24,24.25,24.78
Reserves,880.73,1278.79,1504.05,1818.3,2148.51,2561.74,2810.71,3201.31,3691.32,5060.22
Borrowings,656.5,978.44,991.18,892.11,849.21,1106.31,1136.24,1315.06,1454.75,1512.04
Other Liabilities,318.62,387.67,457.94,487.28,690.19,818.68,931.99,957.28,1050.89,1085.87
Total,1878.72,2670.28,2978.59,3223.11,3712.68,4511.53,4903.14,5497.89,6221.21,7682.91
Net Block,644.34,776.73,944.25,1203.97,1332,1541.17,1910.92,2095.62,2426.47,3250.12
Capital Work in Progress,267.43,514.52,495.95,294.2,239.08,356.23,239.39,271.7,440.19,409.54
Investments,108.23,156.56,210.42,19.34,18.99,19.67,21.21,21.52,22.04,0.84
Other Assets,858.72,1222.47,1327.97,1705.6,2122.61,2594.46,2731.62,3109.05,3332.51,4022.41
Total,1878.72,2670.28,2978.59,3223.11,3712.68,4511.53,4903.14,5497.89,6221.21,7682.91
Working Capital,540.1,834.8,870.03,1218.32,1432.42,1775.7800000000002,1799.6299999999999,2151.7700000000004,2281.62,2936.54
Debtors,417.7,628.25,673.54,662.04,765.42,924.95,948.54,985.83,942.22,909.37
Inventory,269.18,279.95,384.21,438.43,782.18,978.55,1149.41,1300.55,1342.82,1673.03
Debtor Days,108.0850867740472,136.12046040056512,107.86332923832923,92.98851326650376,86.2933894253044,89.67169289121682,76.73387382755013,79.84873634433036,76.73811420449348,61.860290664301
Inventory Turnover,5.240211011219258,6.017574566886944,5.932172509825356,5.927171954473918,4.139123986806106,3.847447754330387,3.9254226081206878,3.464972511629695,3.3374614617000042,3.2071391427529696
Return on Equity,0.18207171314741036,0.10166619382442472,0.15456988368519814,0.1819148243768034,0.25282522270485164,0.1595799794319825,0.18222800723832505,0.12565608965912792,0.13497794416469075,0.11701474926253687
Return on Capital Emp,,0.11921274309016294,0.14739156322997296,0.181927830030743,0.25377193348059846,0.17309920272093446,0.19392223382045926,0.15344652574790643,0.15722695972476372,0.15285161667527805
