GRANULES INDIA LTD,,,,,,,,,,,,SCREENER.IN,
Narration,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,Trailing,Best Case,Worst Case
Sales,1410.56,1684.62,2279.2,2598.65,3237.54,3764.92,4511.92,4506.37,4481.61,5365.64,5632.299999999999,6424.051314059011,5700.566083886773
Expenses,1111.72,1406.14,1894.8,2073.09,2381.92,3037.91,3596.7300000000005,3648.0699999999997,3533.8900000000003,4177.4400000000005,4354.98,4967.174154732651,4532.661472020541
Operating Profit,298.8399999999999,278.4799999999998,384.39999999999986,525.56,855.6199999999999,727.0100000000002,915.1899999999996,858.3000000000002,947.7199999999993,1188.1999999999998,1277.32,1456.8771593263598,1167.904611866233
Other Income,34.65,26.77,75.06,89.54,26.49,12.83,12.41,2.08,41.19,7.27,22.17,0,0
Depreciation,71.51,76.2,105.48,136.95,151.46,158.63,184.49,207.33,225.5,296.14,306.95000000000005,306.95000000000005,306.95000000000005
Interest,32.26,33.06,28.46,27.02,26.28,23.21,55.93,105.82,103.24,114.35,111.69,111.69,111.69
Profit before tax,229.72,195.99,325.52,451.13,704.37,558,687.18,547.23,660.17,784.98,880.85,1038.2371593263597,749.2646118662328
Tax,65.2,63.4,89.11,115.73,154.9,145.25,170.58,141.92,158.65,189.96,218.51999999999998,0.2480785604813532,0.2480785604813532
Net profit,164.52,132.59,236.41,335.4,549.46,412.76,516.6,405.31,501.52,595.02,662.35,780.6727794024271,563.388125534838
EPS,7.1937035417577615,5.224192277383767,9.300157356412273,13.19433516915814,22.182478805006056,16.643548387096775,21.34710743801653,16.720709570957098,20.681237113402062,24.012106537530265,24.28149156661518,28.619158314102915,20.65358801072741
Price to earning,19.301601628981278,19.76382080096538,12.306243390719514,10.887248062015507,13.67971553889273,18.41554414187421,13.617770034843206,25.725582887172777,23.516484885946724,25.836966824644552,36.05626934400241,36.05626934400241,19.918840685459845
Price,138.85,103.25,114.45,143.65,303.45,306.5,290.7,430.15,486.35,620.4,875.5,1031.9000805719406,411.3955291688028
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.12509117432530997,0.19141715061467682,0.1075250623916078,0.07579010137149673,0.06763003676336767,0.0901250121135769,0.07026713124274099,0.08970911154425008,0.0725394799808582,0.07287150011764311,,,
OPM,0.2118591197822141,0.1653073096603387,0.1686556686556686,0.20224347257229713,0.2642809046374716,0.19310104862785935,0.20283825954360885,0.19046372135443831,0.21146864631237422,0.22144609030795948,0.22678479484402467,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.16003207134314645,0.13010779542183615,0.10632130936157247,0.059465242243270655,0.19725723568092732,0.19725723568092732,0.059465242243270655
,,,,,,OPM,0.20623840350012984,0.21139122446793,0.20487519917845237,0.2086038225897021,0.22678479484402467,0.22678479484402467,0.20487519917845237
,,,,,,Price to Earning,19.918840685459845,20.966947714924014,23.861436353080645,27.783825985441617,36.05626934400241,36.05626934400241,19.918840685459845
