COMPANY NAME,LAXMI ORGANIC INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,27.79146095152603,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,178.24,,,,,,,,,
Market Capitalization,4953.55,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1075.93,1375.52,1568.52,1534.12,1768.45,3084.19,2796.64,2865.01,2985.44,2846.67
Raw Material Cost,736.86,977.12,1138.02,1062.12,1174.51,2187.18,1832.59,1910.17,1956.02,1894.48
Change in Inventory,-5,8.73,42.38,-28.55,0.25,74.71,-22.64,-14.58,8.38,-15.56
Power and Fuel,69.87,85.57,100.36,101.9,100.47,192.9,257.19,235.17,238.88,247.68
Other Mfr. Exp,26.11,47.9,58.99,74.12,100.85,117.81,134.83,189.94,199.79,176.8
Employee Cost,44.18,53.05,64.99,69.27,93.79,125.64,117.24,149.2,148.21,173.63
Selling and admin,67.27,53.08,69.4,69.62,66.8,135.2,164.36,73.72,129.15,132.46
Other Expenses,7.47,13.98,24.36,11.96,12.26,28.98,19.64,36.52,35.37,33.86
Other Income,1.84,3.02,5.8,30.15,3.92,14.88,12.05,28.23,18.6,14.5
Depreciation,27.97,31.29,44.06,48.89,46.52,49.28,72.41,106.59,124.03,76.64
Interest,10.96,11.97,18.93,17.04,19.01,18.89,14.87,6.55,20.45,22.09
Profit before tax,82.08,113.31,97.59,80.8,158.41,317.9,172.92,170.8,160.52,87.97
Tax,10.39,37.62,25.2,10.56,31.34,61.44,48.3,50.26,47.02,8.61
Net profit,71.57,75.7,72.39,70.1,127.03,256.37,124.57,120.54,113.5,79.36
Dividend Amount,,,,7.88,13.18,18.46,13.26,16.55,13.85,8.31
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,792.06,718.17,771.25,786.34,709.69,692.93,699.75,718.68,735.31,968.34
Expenses,702.05,646.98,696.56,711.57,650.7,662.18,662.66,668.75,681.67,854.01
Other Income,7.9,11.98,6.65,5.63,1.1,5.51,3.93,3.15,2.71,3.44
Depreciation,30.55,25.87,27.46,31.19,39.51,17.15,19.82,20.47,19.2,21.71
Interest,-0.63,3.32,7.64,2.16,7.34,4.92,5.7,6.8,4.68,4.3
Profit before tax,67.99,53.98,46.24,47.05,13.24,14.19,15.5,25.81,32.47,91.76
Tax,23.68,19.64,18.16,17.74,-8.52,-7.2,4.48,0.41,10.92,24.04
Net profit,44.31,34.35,28.09,29.31,21.76,21.39,11.02,25.41,21.55,67.72
Operating Profit,90.01,71.19,74.69,74.77,58.99,30.75,37.09,49.93,53.64,114.33
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,10.01,10.01,50.05,45.02,52.73,52.73,53.04,55.16,55.41,55.43
Reserves,295.46,369.31,399.8,381.9,981.86,1247.94,1358.74,1742.47,1851.27,1930.17
Borrowings,103.79,215.06,175.33,158.85,149.45,139.13,405.72,142.79,257.56,543.02
Other Liabilities,240.08,300.36,389.3,483.6,653.58,825.26,594.7,886.81,880.34,914.55
Total,649.34,894.74,1014.48,1069.37,1837.62,2265.06,2412.2,2827.23,3044.58,3443.17
Net Block,202.41,293.33,345.68,337.65,325.06,394.39,714.6,878.74,1166.48,1480.65
Capital Work in Progress,60.93,29.95,31.48,67.49,147.93,373.78,447.06,444.16,398.44,651.72
Investments,,,,,3.25,5.25,22.77,125.85,148.16,36.95
Other Assets,386,571.46,637.32,664.23,1361.38,1491.64,1227.77,1378.48,1331.5,1273.85
Total,649.34,894.74,1014.48,1069.37,1837.62,2265.06,2412.2,2827.23,3044.58,3443.17
Receivables,231.56,324.18,326.18,359.37,434.64,668.42,570.25,583.44,537.95,523.55
Inventory,74.62,145.83,170.75,151.89,203.3,373.62,294.21,283.34,377.99,365.13
Cash & Bank,23.41,5.24,46.74,36.33,539.39,182.25,130.85,317.08,118.26,61.33
No. of Equity Shares,10009081,50045405,250227025,45016395,263662773,263662773,265176208,275780785,277023813,277147873
New Bonus Shares,,,,,,160145296,160145296,160145296,,
Face value,10,2,2,10,2,2,2,2,2,2
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,150.46,-6.75,187.65,195.53,106.17,45.68,199.06,561.29,107.96,174.9
Cash from Investing Activity,-37.24,-85.03,-122.55,-55.91,-641.03,94.92,-384.11,-489.54,-267.58,-403.61
Cash from Financing Activity,-106.82,84.72,-62.7,-123.16,527.37,-124.19,232.46,-41.62,90.12,247.22
Net Cash Flow,6.4,-7.05,2.41,16.47,-7.49,16.41,47.4,30.13,-69.5,18.5
PRICE:,,,,,174.5,399.4,222.75,235.2,175.25,108.11
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1,1,5,4.5,26.37,26.37,26.52,27.58,27.7,27.71
