LAXMI ORGANIC INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
Narration,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,792.06,718.17,771.25,786.34,709.69,692.93,699.75,718.68,735.31,968.34
Expenses,702.05,646.98,696.56,711.57,650.7,662.18,662.66,668.75,681.67,854.01
Operating Profit,90.01,71.19,74.69,74.77,58.99,30.75,37.09,49.93,53.64,114.33
Other Income,7.9,11.98,6.65,5.63,1.1,5.51,3.93,3.15,2.71,3.44
Depreciation,30.55,25.87,27.46,31.19,39.51,17.15,19.82,20.47,19.2,21.71
Interest,-0.63,3.32,7.64,2.16,7.34,4.92,5.7,6.8,4.68,4.3
Profit before tax,67.99,53.98,46.24,47.05,13.24,14.19,15.5,25.81,32.47,91.76
Tax,23.68,19.64,18.16,17.74,-8.52,-7.2,4.48,0.41,10.92,24.04
Net profit,44.31,34.35,28.09,29.31,21.76,21.39,11.02,25.41,21.55,67.72
OPM,0.11364038077923391,0.09912694765863236,0.09684278768233387,0.09508609507337792,0.0831207992221956,0.04437677687500902,0.05300464451589854,0.06947459230812045,0.07294882430539501,0.11806803395501579
