IOL CHEMICALS & PHARMACEUTICALS LTD,,,,,,,,,SCREENER.IN,
Narration,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,0,0,0,0,0,58.71,58.71,58.71,58.71,58.71
Reserves,0,0,0,0,0,1333.57,1449.01,1552.8,1628.95,1739.84
Borrowings,0,0,0,0,0,43.95,79.81,32.76,117.04,135.42
Other Liabilities,0,0,0,0,0,526.07,434.6,600.13,577.37,652.98
Total,0,0,0,0,0,1962.3,2022.13,2244.4,2382.07,2586.95
Net Block,0,0,0,0,0,560.64,751.81,933.13,1170.71,1181.57
Capital Work in Progress,0,0,0,0,0,105.2,89.64,100.87,21.93,95.54
Investments,0,0,0,0,0,2.37,19.97,20.29,20.71,20.92
Other Assets,0,0,0,0,0,1294.09,1160.71,1190.11,1168.72,1288.92
Total,0,0,0,0,0,1962.3,2022.13,2244.4,2382.07,2586.95
Working Capital,0,0,0,0,0,768.0199999999999,726.11,589.9799999999999,591.35,635.94
Debtors,0,0,0,0,0,469.8,505.28,471.23,513.69,603.13
Inventory,0,0,0,0,0,409.89,325.52,424.84,360.62,371.07
Debtor Days,0,0,0,0,0,78.51439089385629,83.1836038807276,80.64504709793276,90.17696625160518,94.92744905263339
Inventory Turnover,0,0,0,0,0,5.328307594720535,6.810979356107152,5.020219376706525,5.765653596583662,6.249656399062172
Return on Equity,,,,,,0.12042836211106961,0.0922850396625368,0.08341865703594765,0.059887655096405666,0.07652831447554974
Return on Capital Emp,,,,,,0.32465552174790946,0.13567214329179567,0.12237762237762237,0.08855977291771165,0.10640682381702585
