IOL CHEMICALS & PHARMACEUTICALS LTD,,,,,,,,,SCREENER.IN,
Narration,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,503.92,502.38,525.75,523.3,527.78,551.69,567.53,580.39,619.45,756.26
Expenses,454.4,451.27,484.18,476.43,465.02,489.55,510.45,523.11,526.98,652.77
Operating Profit,49.52,51.11,41.57,46.87,62.76,62.14,57.08,57.28,92.47,103.49
Other Income,7.52,7.38,6.43,4.07,4.52,7.37,6.88,-5.92,1.84,8.18
Depreciation,16.43,16.82,17.94,18.68,18.55,19.77,19.99,20.18,20.29,21.34
Interest,3.41,2.15,4.12,4.46,4.03,4.23,3.48,3.63,3.21,3.64
Profit before tax,37.2,39.52,25.94,27.8,44.7,45.51,40.49,27.55,70.81,86.69
Tax,9.58,9.55,6.79,7.27,13.28,11.58,10.52,6.97,17.65,22.29
Net profit,27.62,29.97,19.15,20.53,31.42,33.93,29.97,20.58,53.16,64.4
OPM,0.09826956659787268,0.10173573788765476,0.0790679980979553,0.08956621440856105,0.1189131835234378,0.11263571933513385,0.10057618099483728,0.09869225865366392,0.14927758495439503,0.13684447147806308
