IOL CHEMICALS & PHARMACEUTICALS LTD,,,,,,,,,SCREENER.IN,
Narration,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,56.21,56.21,56.89,56.89,58.71,58.71,58.71,58.71,58.71,58.71
Reserves,132.49,159.53,417.45,756.65,1201.72,1331.56,1447.84,1552.62,1628.7,1739.67
Borrowings,446.51,421.88,284,59.49,2.73,43.95,79.81,32.76,117.04,135.42
Other Liabilities,182.28,214.49,183.54,296.76,346.93,526.07,434.25,599.88,577.33,652.92
Total,817.49,852.11,941.88,1169.79,1610.09,1960.29,2020.61,2243.97,2381.78,2586.72
Net Block,373.88,405.64,411.72,469.04,512.36,560.64,751.31,932.69,1170.34,1181.26
Capital Work in Progress,21.26,6.95,27.02,19.19,48.27,105.2,89.64,100.87,21.93,95.54
Investments,0.1,0.06,0.06,0.05,1.22,2.47,20.27,20.59,21.01,21.12
Other Assets,422.25,439.46,503.08,681.51,1048.24,1291.98,1159.39,1189.82,1168.5,1288.8
Total,817.49,852.11,941.88,1169.79,1610.09,1960.29,2020.61,2243.97,2381.78,2586.72
Working Capital,239.97,224.96999999999997,319.53999999999996,384.75,701.31,765.91,725.1400000000001,589.9399999999999,591.17,635.88
Debtors,112.77,146.14,199.16,272.42,300.31,469.8,505.28,471.23,513.69,603.13
Inventory,262.63,207.45,188.86,187.52,295.15,409.89,325.52,424.84,360.62,371.07
Debtor Days,57.920284246816294,54.247025322892306,43.13303625996096,52.486077900415424,55.72662152131694,78.51439089385629,83.1836038807276,80.64504709793276,90.17696625160518,94.92744905263339
Inventory Turnover,2.705898031451091,4.739937334297421,8.923700095308693,10.102762372013652,6.66434016601728,5.328307594720535,6.810979356107152,5.020219376706525,5.765653596583662,6.249656399062172
Return on Equity,0.024748277689454156,0.1283952906276073,0.4990091495551714,0.4440961722840918,0.35270502923605435,0.11915671056701216,0.09291427433540207,0.08404237493250917,0.05985504412087163,0.07658003314093795
Return on Capital Emp,,0.15029501190261071,0.5552737900799449,0.6793921673194921,0.5404200937182554,0.17137370337141966,0.13637116050559828,0.1230416814994815,0.08853021858525635,0.10646157961613055
