COMPANY NAME,IOL CHEMICALS & PHARMACEUTICALS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,29.35274427762737,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,203.15,,,,,,,,,
Market Capitalization,5963.01,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,710.65,983.3,1685.33,1894.47,1966.98,2184.02,2217.11,2132.79,2079.21,2319.06
Raw Material Cost,496.35,617.01,995.94,1044.05,1119.95,1622.81,1565.29,1435.2,1358.34,1505.63
Change in Inventory,18.95,-78.27,-51.31,-20.96,17.11,52.3,18.2,38.25,-33.51,18.53
Power and Fuel,37.45,45.66,63.94,65.12,51.46,78.18,131.98,149.05,114.93,154.93
Other Mfr. Exp,16.77,22.57,25.68,28.37,28.13,36.86,43.07,47.67,47.39,58.85
Employee Cost,43.18,56.1,78.43,97.2,115.55,141.3,168.21,201.02,216.57,248.26
Selling and admin,22,27.2,39.88,51.31,55.26,71.96,68.37,60.24,70.29,60.92
Other Expenses,11.45,16.39,20.48,13.58,21.75,27.84,31.28,46.3,35.83,39.14
Other Income,1.05,5.76,10.35,16.02,24.15,17.02,24.98,30.03,22.22,9.3
Depreciation,29.84,30.21,32.45,35.73,38.92,43.26,46.13,62.85,71.92,80.17
Interest,67.68,64.35,51.42,20.93,5.83,8.29,16.47,16.1,14.76,14.55
Profit before tax,5.93,31.3,336.15,533.24,571.39,222.84,189.49,182.64,137.89,184.44
Tax,1.26,3.6,99.45,171.95,126.83,57.18,49.51,47.22,36.89,46.72
Net profit,4.67,27.7,236.7,361.29,444.56,165.66,139.98,135.42,101,137.72
Dividend Amount,,,,17.07,35.23,23.48,23.48,29.36,23.48,29.36
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,503.92,502.38,525.75,523.3,527.78,551.69,567.53,580.39,619.45,756.26
Expenses,453.84,451.58,484.19,476.43,464.84,489.54,510.43,523.12,526.88,652.71
Other Income,7.52,7.38,6.43,4.07,4.52,7.37,6.88,-5.92,1.74,8.18
Depreciation,16.42,16.8,17.93,18.66,18.53,19.75,19.98,20.17,20.27,21.32
Interest,3.41,2.15,4.12,4.46,4.03,4.23,3.48,3.63,3.21,3.64
Profit before tax,37.77,39.23,25.94,27.82,44.9,45.54,40.52,27.55,70.83,86.77
Tax,9.58,9.55,6.79,7.27,13.28,11.58,10.52,6.97,17.65,22.29
Net profit,28.19,29.68,19.15,20.55,31.62,33.96,30,20.58,53.18,64.48
Operating Profit,50.08,50.8,41.56,46.87,62.94,62.15,57.1,57.27,92.57,103.55
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,56.21,56.21,56.89,56.89,58.71,58.71,58.71,58.71,58.71,58.71
Reserves,132.49,159.53,417.45,756.65,1201.72,1331.56,1447.84,1552.62,1628.7,1739.67
Borrowings,446.51,421.88,284,59.49,2.73,43.95,79.81,32.76,117.04,135.42
Other Liabilities,182.28,214.49,183.54,296.76,346.93,526.07,434.25,599.88,577.33,652.92
Total,817.49,852.11,941.88,1169.79,1610.09,1960.29,2020.61,2243.97,2381.78,2586.72
Net Block,373.88,405.64,411.72,469.04,512.36,560.64,751.31,932.69,1170.34,1181.26
Capital Work in Progress,21.26,6.95,27.02,19.19,48.27,105.2,89.64,100.87,21.93,95.54
Investments,0.1,0.06,0.06,0.05,1.22,2.47,20.27,20.59,21.01,21.12
Other Assets,422.25,439.46,503.08,681.51,1048.24,1291.98,1159.39,1189.82,1168.5,1288.8
Total,817.49,852.11,941.88,1169.79,1610.09,1960.29,2020.61,2243.97,2381.78,2586.72
Receivables,112.77,146.14,199.16,272.42,300.31,469.8,505.28,471.23,513.69,603.13
Inventory,262.63,207.45,188.86,187.52,295.15,409.89,325.52,424.84,360.62,371.07
Cash & Bank,16.81,17.32,29.6,154.65,364.74,137.88,20.9,142.62,207.94,198.25
No. of Equity Shares,56205502,56205502,56887502,56887502,58705502,58705502,58705502,58705502,293527510,293527510
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,2,2
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,83.34,119.72,273.17,470.8,379.78,91.04,123.14,290.46,178.68,214.42
Cash from Investing Activity,-22.78,-50.38,-63.04,-184.23,-317.25,-120.62,-119.19,-191.39,-154.23,-198.12
Cash from Financing Activity,-59.78,-70.36,-197.46,-271.89,-58.28,-1.64,-4.11,-92.5,46.04,-29.03
Net Cash Flow,0.78,-1.02,12.67,14.68,4.25,-31.22,-0.16,6.57,70.49,-12.73
PRICE:,12.59,15.92,38.14,35.18,110.17,70.74,56.57,72.29,61.15,72.77
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,28.1,28.1,28.44,28.44,29.35,29.35,29.35,29.35,29.35,29.35
