IOL CHEMICALS & PHARMACEUTICALS LTD,,,,,,,,,,,,SCREENER.IN,
Narration,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,Trailing,Best Case,Worst Case
Sales,710.65,983.3,1685.33,1894.47,1966.98,2184.02,2217.11,2132.79,2079.21,2319.06,2523.63,2586.5782117246454,2357.163393709418
Expenses,608.25,863.2,1275.6600000000003,1320.59,1374.9900000000002,1926.6499999999999,1990,1901.23,1876.86,2049.2,2213.14,2268.34349864928,2103.1616112130273
Operating Profit,102.39999999999998,120.09999999999991,409.6699999999996,573.8800000000001,591.9899999999998,257.3700000000001,227.11000000000013,231.55999999999995,202.35000000000014,269.8600000000001,310.49,318.2347130753657,254.00178249639075
Other Income,1.05,5.76,10.35,16.02,24.15,17.02,24.98,30.03,22.22,9.3,10.879999999999999,0,0
Depreciation,29.84,30.21,32.45,35.73,38.92,43.26,46.13,62.85,71.92,80.17,81.74000000000001,81.74000000000001,81.74000000000001
Interest,67.68,64.35,51.42,20.93,5.83,8.29,16.47,16.1,14.76,14.55,13.96,13.96,13.96
Profit before tax,5.93,31.3,336.15,533.24,571.39,222.84,189.49,182.64,137.89,184.44,225.67000000000002,222.53471307536566,158.30178249639073
Tax,1.26,3.6,99.45,171.95,126.83,57.18,49.51,47.22,36.89,46.72,57.43,0.254486639783755,0.254486639783755
Net profit,4.67,27.7,236.7,361.29,444.56,165.66,139.98,135.42,101,137.72,168.24,165.9026017095738,118.01609379710541
EPS,0.16619217081850532,0.9857651245551601,8.322784810126581,12.703586497890296,15.146848381601362,5.644293015332197,4.769335604770016,4.61396933560477,3.4412265758091993,4.692333901192504,5.731661694345641,5.6520303566990355,4.020615336026934
Price to earning,75.75567451820129,16.149891696750903,4.582600760456274,2.7692966868720417,7.273460275328415,12.533013400941687,11.86119088441206,15.667637719686903,17.769826732673266,15.508274034272436,35.44347360912981,35.44347360912981,14.853271667914578
Price,12.59,15.92,38.14,35.18,110.17,70.74,56.57,72.29,61.15,72.77,203.15,200.3275887856628,59.7192918581917
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0,0,0,0.04724736361371751,0.07924689580709014,0.14173608595919354,0.16773824832118875,0.21680697090533158,0.2324752475247525,0.2131861748475167,,,
OPM,0.1440934355871385,0.12213973355028976,0.24307999026896787,0.3029237728757912,0.3009639142238354,0.11784232745121387,0.10243515206733095,0.10857140177889053,0.09732061696509739,0.11636611385647638,0.1230330912217718,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.14044124058100405,0.04665574581398024,0.03348078924789011,0.015098645090372953,0.11535631321511532,0.11535631321511532,0.015098645090372953
,,,,,,OPM,0.164326371326127,0.15913054528838072,0.10869276878649203,0.10775739313373331,0.1230330912217718,0.1230330912217718,0.10775739313373331
,,,,,,Price to Earning,19.574030938065913,14.853271667914578,18.130569396852696,21.097303023940604,35.44347360912981,35.44347360912981,14.853271667914578
