COMPANY NAME,ENVIRO INFRA ENGINEERS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,203.13,,,,,,,,,
Market Capitalization,3577.58,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,107.75,124.12,223.53,338.1,728.92,1066.06,1145.6
Raw Material Cost,,,,41.39,42.58,88.89,180.28,407.78,545.78,747.65
Change in Inventory,,,,-1.14,-0.88,,,,,
Power and Fuel,,,,2.34,3.18,4.15,8.31,16.57,15.43,
Other Mfr. Exp,,,,42.46,51.63,60.84,35.98,90.42,164.21,
Employee Cost,,,,7.76,8.43,14.48,21.81,34.77,48.63,65.41
Selling and admin,,,,2.39,2.73,4.95,9.0,7.91,9.32,
Other Expenses,,,,0.3,0.13,0.2,0.99,4.97,14.92,55.72
Other Income,,,,1.5,2.07,2.1,3.51,9.09,19.41,33.62
Depreciation,,,,1.22,1.27,1.72,2.3,6.08,9.44,24.8
Interest,,,,3.14,3.73,4.33,8.35,22.52,37.18,36.01
Profit before tax,,,,7.11,11.63,46.07,74.59,146.99,240.56,249.63
Tax,,,,1.9,3.02,11.52,19.25,40.53,63.4,61.24
Net profit,,,,5.21,8.61,34.55,54.98,108.43,176.3,182.95
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,300.35,205.18,213.01,247.45,392.92,240.92,227.35,250.02,427.31,359.18
Expenses,214.49,153.9,157.39,193.51,293.49,176.7,162.41,182.26,347.4,283.49
Other Income,3.4,2.28,8.54,5.34,10.75,3.32,10.49,8.48,11.33,6.01
Depreciation,1.92,1.96,2.24,2.52,2.72,3.25,4.98,7.98,8.6,8.71
Interest,9.02,8.48,12.18,8.44,8.08,7.05,7.37,10.0,11.59,14.46
Profit before tax,78.32,43.12,49.74,48.32,99.38,57.24,63.08,58.26,71.05,58.53
Tax,21.31,13.15,13.38,11.59,25.28,14.76,13.58,16.13,16.77,13.31
Net profit,57.57,30.78,35.58,36.7,73.24,41.9,48.72,40.41,51.92,39.83
Operating Profit,85.86,51.28,55.62,53.94,99.43,64.22,64.94,67.76,79.91,75.69
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,2.44,2.44,2.44,25.62,136.85,175.53,175.53
Reserves,,,,26.34,34.63,69.18,100.89,155.33,818.98,1057.18
Borrowings,,,,25.73,30.43,17.36,64.54,234.36,234.11,422.3
Other Liabilities,,,,56.18,44.63,58.53,156.53,234.65,269.72,387.22
Total,,,,110.69,112.13,147.51,347.58,761.19,1498.34,2042.23
Net Block,,,,7.83,7.9,10.2,18.34,46.91,70.18,255.31
Capital Work in Progress,,,,,,,0.26,1.38,0.16,114.25
Investments,,,,,,,,,9.45,67.05
Other Assets,,,,102.86,104.23,137.31,328.98,712.9,1418.55,1605.62
Total,,,,110.69,112.13,147.51,347.58,761.19,1498.34,2042.23
Receivables,,,,59.16,51.01,39.45,56.52,104.11,205.67,165.27
Inventory,,,,1.62,2.8,8.37,9.82,35.27,42.13,33.39
Cash & Bank,,,,9.36,12.44,24.91,92.27,148.52,555.15,335.24
No. of Equity Shares,,,,2440000.0,2440000.0,2440000.0,25620000.0,136850000.0,175530000.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,-1.61,5.08,41.6,101.09,-102.17,-46.6,-63.09
Cash from Investing Activity,,,,-1.22,-3.15,-26.05,-141.0,-106.18,-263.13,-122.03
Cash from Financing Activity,,,,1.06,-1.27,-15.69,42.05,206.84,471.23,74.71
Net Cash Flow,,,,-1.77,0.66,-0.14,2.14,-1.51,161.5,-110.41
PRICE:,,,,,,,,,222.01,140.39
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.24,0.24,0.24,2.56,13.68,17.55,17.55
