COMPANY NAME,JITF INFRA LOGISTICS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,348.4,,,,,,,,,
Market Capitalization,892.83,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,542.95,399.91,580.88,844.14,927.97,1233.92,1589.14,2535.18,2264.81,2808.02
Raw Material Cost,335.56,174.1,272.18,524.08,541.31,728.4,783.43,1096.49,836.11,1065.75
Change in Inventory,-24.29,-28.03,19.8,-2.24,-1.34,21.29,9.17,-4.95,1.17,10.67
Power and Fuel,3.79,3.68,3.3,4.17,3.37,4.66,5.62,4.1,7.27,6.04
Other Mfr. Exp,104.62,114.27,139.62,116.18,194.83,248.88,386.23,803.64,766.98,878.51
Employee Cost,51.44,50.99,52.49,61.15,63.14,79.67,98.73,124.82,155.73,210.1
Selling and admin,17.5,19.24,55.61,31.21,30.13,34.18,51.55,61.0,74.53,77.69
Other Expenses,10.1,45.07,12.11,13.79,4.43,7.37,10.7,44.63,19.2,21.97
Other Income,5.76,13.07,4.88,6.71,8.33,6.54,11.31,113.47,214.55,0.59
Depreciation,25.66,32.53,23.32,23.49,22.62,32.59,57.99,74.8,78.83,102.54
Interest,118.7,133.6,165.1,200.48,216.41,253.04,312.55,298.24,352.19,401.29
Profit before tax,-142.95,-188.53,-118.17,-125.94,-141.28,-127.04,-97.18,135.98,189.69,55.39
Tax,-29.57,-32.02,-4.38,10.33,-5.85,1.72,9.95,45.15,44.9,65.32
Net profit,-110.87,-156.78,-110.55,-135.95,-150.72,-143.85,-127.66,35.41,52.39,-48.13
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,618.73,653.04,464.98,480.59,531.71,787.52,550.16,537.53,822.0,898.33
Expenses,504.33,577.6,363.16,407.89,431.11,658.76,420.21,421.84,668.5,739.07
Other Income,26.69,63.76,31.27,149.92,18.81,16.83,9.47,10.83,0.3,-19.79
Depreciation,22.16,17.79,17.71,17.95,20.76,22.42,24.2,24.52,24.67,29.16
Interest,74.98,77.95,80.73,84.81,86.74,99.91,100.93,101.5,94.93,103.93
Profit before tax,43.95,43.46,34.65,119.86,11.91,23.26,14.29,0.5,34.2,6.38
Tax,13.34,2.51,11.54,6.55,7.54,19.28,19.0,16.5,15.6,14.22
Net profit,13.66,32.56,9.64,146.35,-7.97,-29.55,-11.13,-17.93,-1.25,-17.83
Operating Profit,114.4,75.44,101.82,72.7,100.6,128.76,129.95,115.69,153.5,159.26
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14
Reserves,-101.31,-265.3,-374.39,-477.07,-629.26,-771.36,-896.32,-560.63,-515.92,-518.42
Borrowings,1144.35,1341.38,1812.96,2010.5,2424.48,2931.42,3301.57,3772.12,3503.53,3946.04
Other Liabilities,236.63,188.02,300.56,444.27,442.18,585.89,939.73,1048.75,1197.69,1530.66
Total,1284.81,1269.24,1744.27,1982.84,2242.54,2751.09,3350.12,4265.38,4190.44,4963.42
Net Block,633.98,621.79,614.33,603.22,592.62,1235.15,1606.46,1550.71,1888.47,1838.97
Capital Work in Progress,35.12,49.32,315.72,459.36,635.77,306.36,78.63,414.09,42.72,206.17
Investments,11.36,10.6,12.33,13.04,11.08,13.36,19.48,22.17,1.45,0.76
Other Assets,604.35,587.53,801.89,907.22,1003.07,1196.22,1645.55,2278.41,2257.8,2917.52
Total,1284.81,1269.24,1744.27,1982.84,2242.54,2751.09,3350.12,4265.38,4190.44,4963.42
Receivables,191.51,152.88,206.92,241.04,267.3,344.16,593.48,691.17,837.48,1271.07
Inventory,114.46,66.53,113.19,104.09,99.67,108.47,169.0,197.59,36.42,63.76
Cash & Bank,94.44,60.88,84.27,26.95,110.46,144.62,185.81,337.21,339.35,436.78
No. of Equity Shares,25703706.0,25703706.0,25703706.0,25703706.0,25703706.0,25703706.0,25703706.0,25703706.0,25703706.0,25703706.0
New Bonus Shares,,,,,,,,,,
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-162.88,4.37,-52.1,72.92,21.22,84.18,190.2,185.34,185.02,198.76
Cash from Investing Activity,-8.87,-54.87,-261.03,-95.08,-184.54,-327.92,-205.6,-400.63,187.24,-218.03
Cash from Financing Activity,167.35,52.42,324.39,-0.37,198.46,257.16,61.31,283.76,-405.74,85.84
Net Cash Flow,-4.4,1.92,11.27,-22.54,35.14,13.42,45.91,68.47,-33.48,66.57
PRICE:,73.9,34.55,16.8,3.3,7.95,98.8,81.1,568.2,382.0,276.85
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57
