COMPANY NAME,HBL ENGINEERING LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,695.75,,,,,,,,,
Market Capitalization,19285.84,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1407.22,1592.92,1261.34,1077.09,908.95,1221.5,1349.75,2208.59,1946.13,3251.8
Raw Material Cost,896.12,1027.43,811.09,673.72,552.09,757.48,826.49,1203.18,988.48,1365.03
Change in Inventory,11.95,-34.87,-7.41,-7.15,-11.89,8.29,-0.16,60.01,17.1,2.74
Power and Fuel,52.79,61.81,53.47,45.54,36.46,42.44,49.02,62.17,65.91,
Other Mfr. Exp,123.25,132.37,104.59,97.57,87.98,111.03,119.72,298.44,218.61,
Employee Cost,96.45,94.31,84.17,86.85,78.65,94.97,104.33,149.55,169.96,247.81
Selling and admin,90.96,88.76,84.16,70.95,53.41,65.64,77.21,97.53,93.52,
Other Expenses,29.54,27.51,20.9,16.91,20.19,23.14,25.12,39.21,35.72,539.59
Other Income,14.41,12.96,19.45,21.35,4.09,25.01,19.17,-11.52,24.83,27.57
Depreciation,48.18,46.03,44.35,40.25,38.43,34.67,34.31,39.41,42.44,48.1
Interest,46.22,40.55,30.6,21.87,14.49,7.27,6.23,12.42,11.76,13.59
Profit before tax,50.07,52.24,40.05,37.63,19.45,118.16,126.33,355.17,361.66,1067.99
Tax,16.21,22.58,14.95,13.56,4.87,28.76,30.79,91.38,94.16,271.2
Net profit,33.86,29.66,25.11,24.07,14.58,89.4,95.54,263.79,267.5,796.79
Dividend Amount,6.93,6.93,8.32,8.32,9.7,11.09,12.47,13.86,27.72,27.72
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,604.28,511.23,520.48,454.66,459.76,587.68,1203.16,863.65,597.31,619.54
Expenses,472.96,403.25,411.15,359.54,381.88,399.1,665.83,562.53,522.23,480.65
Other Income,-18.68,5.09,12.31,1.45,6.71,16.54,-7.96,9.78,9.21,20.43
Depreciation,10.27,10.43,10.73,10.63,10.65,10.94,11.57,11.7,13.89,11.72
Interest,3.98,1.58,2.47,4.34,3.37,6.05,3.18,2.31,2.05,5.14
Profit before tax,98.39,101.06,108.44,81.6,70.57,188.13,514.62,296.89,68.35,142.46
Tax,27.8,26.8,27.94,20.12,19.29,48.4,132.42,79.2,11.18,36.99
Net profit,70.58,74.25,80.5,61.48,51.27,139.73,382.2,217.69,57.17,105.47
Operating Profit,131.32,107.98,109.33,95.12,77.88,188.58,537.33,301.12,75.08,138.89
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72
Reserves,711.68,732.9,749.41,755.08,765.43,844.29,928.0,1177.62,1430.6,2144.64
Borrowings,476.5,364.68,230.74,157.64,67.44,60.64,81.48,55.75,62.54,55.15
Other Liabilities,258.8,221.23,160.11,166.19,182.56,201.68,255.77,362.67,416.57,650.08
Total,1474.7,1346.53,1167.98,1106.63,1043.15,1134.33,1292.97,1623.76,1937.43,2877.59
Net Block,416.41,363.11,320.37,301.34,277.01,262.66,316.62,345.18,383.59,427.37
Capital Work in Progress,33.36,26.01,37.21,26.96,42.86,80.63,49.22,17.99,68.18,127.48
Investments,8.43,3.44,3.44,3.43,3.45,5.14,8.09,93.25,265.63,365.83
Other Assets,1016.5,953.97,806.96,774.9,719.83,785.9,919.04,1167.34,1220.03,1956.91
Total,1474.7,1346.53,1167.98,1106.63,1043.15,1134.33,1292.97,1623.76,1937.43,2877.59
Receivables,488.67,466.51,379.32,317.18,273.8,307.66,323.54,355.86,386.03,656.56
Inventory,404.36,364.11,320.76,302.61,283.55,301.54,331.23,428.92,520.59,550.74
Cash & Bank,22.6,18.55,30.63,73.95,67.37,102.78,143.9,232.05,136.95,537.17
No. of Equity Shares,277194946.0,277194946.0,277194946.0,277194946.0,277194946.0,277194946.0,277194946.0,277194946.0,277194946.0,
New Bonus Shares,,,,,,,,,,
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,42.45,157.39,164.54,147.1,113.22,60.98,122.0,284.52,227.42,712.87
Cash from Investing Activity,60.86,-6.28,2.43,-2.85,-24.26,-16.84,-48.25,-146.42,-309.83,-200.31
Cash from Financing Activity,-114.07,-148.57,-163.14,-113.83,-103.31,-21.81,8.41,-47.49,-25.2,-110.4
Net Cash Flow,-10.76,2.54,3.83,30.42,-14.34,22.32,82.16,90.62,-107.61,402.16
PRICE:,42.8,44.15,25.6,11.0,33.35,63.4,95.25,454.0,472.5,614.8
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,25.3,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72
