COMPANY NAME,KABRA EXTRUSION TECHNIK LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,579.15,,,,,,,,,
Market Capitalization,2025.45,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,276.08,268.38,245.14,220.19,276.23,405.9,670.01,607.77,476.85,451.05
Raw Material Cost,178.57,178.23,157.5,165.32,143.13,288.49,492.24,442.45,320.52,289.95
Change in Inventory,3.47,11.01,7.97,30.5,-33.36,14.93,6.07,18.65,29.35,9.58
Power and Fuel,1.57,1.48,1.52,1.7,1.87,2.22,2.91,3.16,3.6,4.09
Other Mfr. Exp,1.51,0.53,1.34,1.75,1.08,2.21,2.48,5.43,14.96,17.98
Employee Cost,31.37,37.04,34.81,32.11,27.51,37.99,47.84,55.4,64.82,78.65
Selling and admin,26.55,26.02,29.72,29.02,17.98,23.59,34.72,42.95,35.74,45.09
Other Expenses,10.12,8.03,7.67,8.32,10.54,11.4,22.12,16.4,16.9,14.44
Other Income,1.89,2.57,19.94,2.94,3.24,2.5,3.17,9.13,22.02,23.43
Depreciation,6.99,7.93,7.23,7.72,9.67,11.25,13.62,15.63,20.7,30.25
Interest,1.93,1.48,2.5,1.46,2.7,2.68,9.06,9.78,11.17,11.39
Profit before tax,22.83,21.22,30.76,6.23,31.63,43.5,54.26,44.35,39.81,-7.78
Tax,2.4,1.22,6.39,-1.18,7.07,13.23,16.76,10.54,7.61,-2.41
Net profit,20.42,20.0,24.37,7.41,24.56,30.27,37.5,33.82,32.2,-5.37
Dividend Amount,6.38,6.38,,4.78,7.98,9.62,11.76,12.24,8.74,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,167.98,88.2,128.0,121.17,139.54,85.97,134.6,110.34,120.15,124.49
Expenses,140.04,83.26,106.04,107.14,135.19,88.94,125.63,108.85,117.21,118.29
Other Income,3.39,5.38,2.01,2.85,16.17,4.05,1.15,1.41,16.83,0.44
Depreciation,4.08,5.05,5.31,4.94,5.4,6.25,7.99,8.1,7.92,8.16
Interest,2.53,2.42,2.38,3.02,3.36,2.66,2.68,2.97,3.09,3.82
Profit before tax,24.72,2.85,16.28,8.92,11.76,-7.83,-0.55,-8.17,8.76,-5.34
Tax,5.75,0.84,3.95,1.88,0.93,-0.21,-0.88,-3.19,1.87,-3.6
Net profit,18.97,2.01,12.33,7.04,10.83,-7.61,0.33,-4.98,6.9,-1.74
Operating Profit,27.94,4.94,21.96,14.03,4.35,-2.97,8.97,1.49,2.94,6.2
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,15.95,15.95,15.95,15.95,15.95,16.04,16.8,17.49,17.49,17.49
Reserves,210.38,217.32,230.17,216.2,262.18,312.88,366.7,434.39,444.9,424.0
Borrowings,8.37,4.07,9.43,26.72,23.97,58.45,73.98,85.57,128.22,145.06
Other Liabilities,68.2,99.61,87.04,110.5,97.04,181.15,177.31,178.68,196.48,180.6
Total,302.9,336.95,342.59,369.37,399.14,568.52,634.79,716.13,787.09,767.15
Net Block,113.25,108.42,120.14,134.07,139.99,157.45,169.03,184.97,203.99,246.46
Capital Work in Progress,0.57,,0.96,7.23,0.51,,7.38,24.33,50.35,12.21
Investments,62.93,56.55,51.09,42.22,85.45,54.75,42.99,71.81,79.93,39.92
Other Assets,126.15,171.98,170.4,185.85,173.19,356.32,415.39,435.02,452.82,468.56
Total,302.9,336.95,342.59,369.37,399.14,568.52,634.79,716.13,787.09,767.15
Receivables,35.26,44.13,35.43,16.28,22.05,55.92,109.58,99.15,90.91,79.99
Inventory,65.51,102.31,106.16,125.21,111.68,204.09,209.46,238.67,290.91,286.16
Cash & Bank,2.1,1.23,2.72,6.34,8.4,32.22,53.62,44.67,7.97,3.08
No. of Equity Shares,31902320.0,31902320.0,31902320.0,31902320.0,31902320.0,32082768.0,33591106.0,34972836.0,34972836.0,34972836.0
New Bonus Shares,,,,,,,,,,
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,18.41,12.0,5.98,28.45,38.1,-62.2,-3.73,32.84,43.45,8.96
Cash from Investing Activity,-7.17,1.19,0.66,-39.16,-32.33,7.21,-28.77,-51.65,-67.51,-6.04
Cash from Financing Activity,-10.7,-13.46,-5.17,9.36,-4.67,53.22,34.3,23.34,19.99,-3.29
Net Cash Flow,0.54,-0.27,1.47,-1.34,1.1,-1.76,1.8,4.53,-4.07,-0.37
PRICE:,111.0,118.65,85.7,42.35,177.15,526.5,484.25,294.05,292.0,183.0
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.19,3.19,3.19,3.19,3.19,3.21,3.36,3.5,3.5,3.5
