COMPANY NAME,KITEX GARMENTS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,153.35,,,,,,,,,
Market Capitalization,3059.33,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,545.9,557.25,606.8,739.21,455.39,788.33,557.0,616.92,982.8,666.95
Raw Material Cost,210.96,254.05,282.81,317.06,195.25,374.31,240.26,297.43,439.24,298.74
Change in Inventory,15.76,37.36,36.45,-4.4,0.38,6.89,-24.27,42.28,16.8,-34.85
Power and Fuel,18.85,22.07,25.57,26.89,19.28,31.65,28.76,32.93,40.91,
Other Mfr. Exp,48.17,52.91,51.03,81.82,36.63,63.01,41.77,59.71,103.0,
Employee Cost,91.99,98.52,105.09,121.49,77.26,114.26,109.07,119.48,158.62,149.67
Selling and admin,8.85,13.84,24.83,31.19,10.51,21.61,20.35,11.01,19.45,
Other Expenses,12.65,18.95,15.16,24.14,16.56,19.63,31.65,38.13,37.61,155.31
Other Income,3.12,2.43,22.39,39.12,4.31,26.89,44.06,14.25,18.54,69.83
Depreciation,21.83,23.4,27.26,26.45,23.1,21.44,21.21,20.71,15.75,44.58
Interest,9.27,5.81,3.88,7.02,2.56,3.62,4.47,7.33,14.02,45.23
Profit before tax,142.21,107.49,130.01,137.87,78.93,172.58,79.25,86.72,189.54,8.4
Tax,49.99,37.47,48.73,34.5,24.65,47.46,22.33,30.89,53.8,21.61
Net profit,83.46,63.55,71.45,103.37,54.27,125.12,57.55,56.33,138.73,5.91
Dividend Amount,7.12,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,164.13,173.05,190.44,215.88,276.32,300.17,196.69,122.1,181.99,166.17
Expenses,131.54,138.54,150.06,161.04,221.92,249.03,162.5,138.06,173.5,164.5
Other Income,2.5,3.24,2.71,3.1,8.04,4.68,0.72,29.89,5.01,34.2
Depreciation,5.2,5.08,4.69,4.23,3.66,3.16,3.17,7.98,13.19,20.24
Interest,1.89,2.84,2.09,3.41,3.53,4.98,3.54,8.24,12.68,20.76
Profit before tax,28.0,29.83,36.31,50.3,55.25,47.68,28.2,-2.29,-12.37,-5.13
Tax,13.03,10.09,9.63,13.57,14.73,15.87,8.89,3.92,4.63,4.16
Net profit,15.07,20.13,27.32,37.34,41.03,33.05,20.76,-1.55,-9.39,-3.91
Operating Profit,32.59,34.51,40.38,54.84,54.4,51.14,34.19,-15.96,8.49,1.67
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,4.75,6.65,6.65,6.65,6.65,6.65,6.65,6.65,19.95,19.95
Reserves,439.84,492.05,556.84,634.73,689.12,805.5,851.68,897.94,1013.04,1009.88
Borrowings,8.29,8.02,90.01,96.13,,73.07,25.0,681.2,1082.5,1199.38
Other Liabilities,101.86,93.23,104.18,97.59,91.67,108.4,250.65,339.33,471.13,812.86
Total,554.74,599.95,757.68,835.1,787.44,993.62,1133.98,1925.12,2586.62,3042.07
Net Block,172.84,171.64,214.39,233.61,227.44,243.08,263.76,244.16,231.75,1141.7
Capital Work in Progress,15.65,34.02,39.87,20.63,20.09,11.62,292.21,885.97,1391.28,946.42
Investments,0.65,9.02,0.07,0.02,0.03,0.02,0.03,0.09,0.07,0.07
Other Assets,365.6,385.27,503.35,580.84,539.88,738.9,577.98,794.9,963.52,953.88
Total,554.74,599.95,757.68,835.1,787.44,993.62,1133.98,1925.12,2586.62,3042.07
Receivables,131.15,123.01,165.32,251.57,177.65,314.15,203.46,256.81,339.54,124.63
Inventory,40.5,87.82,128.88,130.33,134.29,154.53,116.93,164.09,190.66,150.92
Cash & Bank,134.53,96.87,98.95,107.29,151.4,133.86,100.81,69.23,67.7,152.26
No. of Equity Shares,47500000.0,66500000.0,66500000.0,66500000.0,66500000.0,66500000.0,66500000.0,66500000.0,199500000.0,
New Bonus Shares,,19000000.0,19000000.0,19000000.0,19000000.0,19000000.0,,,,
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,44.66,28.62,8.56,51.19,116.11,-9.93,295.33,-38.26,54.28,345.78
Cash from Investing Activity,-40.51,-51.29,-79.25,-25.89,-7.55,-46.45,-414.68,-607.32,-454.92,-341.24
Cash from Financing Activity,-119.91,-15.13,72.07,-24.82,-98.77,59.91,57.02,649.87,390.22,63.56
Net Cash Flow,-115.76,-37.8,1.38,0.48,9.78,3.52,-62.33,4.29,-10.42,68.11
PRICE:,101.71,74.82,34.07,28.77,32.92,83.03,45.72,60.65,180.14,142.25
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95
