COMPANY NAME,MONTE CARLO FASHIONS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,541.65,,,,,,,,,
Market Capitalization,1122.95,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,622.02,904.32,1117.71,1061.91,1100.41,1275.91
Raw Material Cost,,,,,317.89,566.21,754.4,588.1,641.29,703.1
Change in Inventory,,,,,-13.1,79.57,161.57,-21.99,68.27,60.03
Power and Fuel,,,,,4.99,6.56,6.53,6.87,6.84,
Other Mfr. Exp,,,,,53.13,62.41,73.85,69.54,71.57,
Employee Cost,,,,,59.89,81.18,96.61,106.13,122.49,147.25
Selling and admin,,,,,44.39,75.83,226.66,246.75,126.59,52.74
Other Expenses,,,,,12.96,7.86,-98.26,-121.82,11.82,205.64
Other Income,,,,,20.06,23.36,20.83,27.5,35.17,36.2
Depreciation,,,,,34.2,37.25,41.77,51.22,60.17,65.6
Interest,,,,,13.51,17.47,26.34,39.96,49.17,50.62
Profit before tax,,,,,88.02,152.48,172.21,80.67,113.91,147.19
Tax,,,,,21.73,38.54,39.69,20.73,32.74,35.13
Net profit,,,,,66.3,113.94,132.52,59.94,81.17,112.06
Dividend Amount,,,,,31.1,41.46,41.46,41.46,41.46,41.46
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,504.19,206.52,126.0,219.7,548.78,205.93,138.53,248.7,608.38,280.3
Expenses,382.32,216.41,128.4,191.35,393.91,200.25,144.4,207.17,442.64,254.48
Other Income,5.66,8.36,7.28,9.17,5.87,12.85,10.44,9.24,8.49,8.02
Depreciation,13.94,13.12,13.57,14.61,15.89,16.1,15.21,16.05,17.1,17.24
Interest,10.88,9.67,9.05,12.0,14.78,11.76,10.93,12.94,15.11,11.64
Profit before tax,102.71,-24.32,-17.74,10.91,130.07,-9.33,-21.57,21.78,142.02,4.96
Tax,25.44,-6.56,-4.47,2.87,33.33,1.01,-5.35,5.52,35.03,-0.07
Net profit,77.27,-17.76,-13.27,8.04,96.74,-10.34,-16.22,16.26,106.99,5.03
Operating Profit,121.87,-9.89,-2.4,28.35,154.87,5.68,-5.87,41.53,165.74,25.82
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,20.73,20.73,20.73,20.73,20.73,20.73
Reserves,,,,,583.36,666.53,755.67,774.07,813.31,885.14
Borrowings,,,,,118.33,155.71,331.44,381.97,514.41,579.66
Other Liabilities,,,,,214.18,273.55,388.58,339.3,367.06,434.94
Total,,,,,936.6,1116.52,1496.42,1516.07,1715.51,1920.47
Net Block,,,,,224.84,231.83,280.91,331.56,389.64,389.29
Capital Work in Progress,,,,,1.16,3.1,19.37,0.08,0.3,23.55
Investments,,,,,177.52,217.24,233.92,225.32,245.7,252.15
Other Assets,,,,,533.08,664.35,962.22,959.11,1079.87,1255.48
Total,,,,,936.6,1116.52,1496.42,1516.07,1715.51,1920.47
Receivables,,,,,229.5,259.91,380.18,370.08,416.18,499.05
Inventory,,,,,201.54,289.08,460.42,434.62,503.18,570.88
Cash & Bank,,,,,40.85,48.02,14.69,8.2,35.47,2.74
No. of Equity Shares,,,,,20732064.0,20732064.0,20732064.0,20732064.0,20732064.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,112.11,70.55,-5.29,81.46,72.81,99.84
Cash from Investing Activity,,,,,-82.2,-48.19,-46.34,3.53,-28.54,-14.15
Cash from Financing Activity,,,,,-30.81,-22.38,52.92,-85.22,-44.77,-85.08
Net Cash Flow,,,,,-0.9,-0.02,1.29,-0.23,-0.5,0.61
PRICE:,,,,,226.25,484.1,621.75,626.45,525.25,466.9
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,2.07,2.07,2.07,2.07,2.07,2.07
