COMPANY NAME,KARNIKA INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,119.75,,,,,,,,,
Market Capitalization,742.42,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,,,2026-03-31 00:00:00
Sales,,,,,,,,,,248.48
Raw Material Cost,,,,,,,,,,175.9
Change in Inventory,,,,,,,,,,10.94
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,,,,,,
Employee Cost,,,,,,,,,,7.74
Selling and admin,,,,,,,,,,
Other Expenses,,,,,,,,,,38.52
Other Income,,,,,,,,,,8.69
Depreciation,,,,,,,,,,1.66
Interest,,,,,,,,,,5.41
Profit before tax,,,,,,,,,,38.88
Tax,,,,,,,,,,10.49
Net profit,,,,,,,,,,27.96
Dividend Amount,,,,,,,,,,0.62
Quarters,,,,,,,,,,
Report Date,,,,,,,,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,,,,,,,,73.69,71.74,73.77
Expenses,,,,,,,,63.55,64.05,61.05
Other Income,,,,,,,,0.51,7.15,1.71
Depreciation,,,,,,,,0.43,0.41,0.25
Interest,,,,,,,,1.37,1.3,1.4
Profit before tax,,,,,,,,8.85,13.13,12.78
Tax,,,,,,,,2.24,3.81,3.64
Net profit,,,,,,,,6.53,8.97,8.99
Operating Profit,,,,,,,,10.14,7.69,12.72
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,,,2026-03-31 00:00:00
Equity Share Capital,,,,,,,,,,62.0
Reserves,,,,,,,,,,34.42
Borrowings,,,,,,,,,,75.53
Other Liabilities,,,,,,,,,,42.99
Total,,,,,,,,,,214.94
Net Block,,,,,,,,,,6.4
Capital Work in Progress,,,,,,,,,,0.91
Investments,,,,,,,,,,19.92
Other Assets,,,,,,,,,,187.71
Total,,,,,,,,,,214.94
Receivables,,,,,,,,,,87.68
Inventory,,,,,,,,,,58.03
Cash & Bank,,,,,,,,,,0.29
No. of Equity Shares,,,,,,,,,,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,,,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,,,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,,,,16.17
Cash from Investing Activity,,,,,,,,,,-21.66
Cash from Financing Activity,,,,,,,,,,5.45
Net Cash Flow,,,,,,,,,,-0.03
PRICE:,,,,,,,,,,105.6
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,,6.2
