COMPANY NAME,KCP SUGAR & INDUSTRIES CORPORATION LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,21.71,,,,,,,,,
Market Capitalization,246.16,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,442.17,351.41,359.44,392.62,328.55,319.4,289.52,345.68,310.46,259.95
Raw Material Cost,242.86,295.63,362.04,264.27,168.74,174.02,204.18,190.83,178.03,192.46
Change in Inventory,-50.27,-6.93,159.91,-33.6,-87.14,-47.08,8.72,-55.61,-37.63,10.81
Power and Fuel,3.68,2.6,2.39,2.76,2.56,2.91,5.68,3.8,3.95,
Other Mfr. Exp,25.52,24.47,29.56,20.61,15.21,21.21,26.66,22.85,19.5,
Employee Cost,48.79,41.35,42.7,36.53,38.38,32.0,34.06,34.88,36.27,33.8
Selling and admin,8.14,14.26,19.08,9.26,10.54,14.5,16.07,11.85,14.1,
Other Expenses,3.61,6.83,16.74,20.3,5.81,13.68,6.21,6.55,9.14,43.63
Other Income,35.61,61.85,15.55,13.85,47.67,16.04,84.62,76.63,31.36,28.56
Depreciation,9.71,9.4,8.7,8.04,6.36,5.18,5.5,5.88,6.07,5.95
Interest,11.53,14.79,19.76,21.86,24.36,19.7,14.29,11.19,9.11,7.75
Profit before tax,73.67,-3.0,33.93,-10.76,17.12,5.16,70.21,78.87,28.02,15.73
Tax,16.51,-14.5,17.63,-4.5,-6.19,1.58,12.03,12.7,13.63,4.6
Net profit,57.17,11.5,16.31,-6.26,23.3,3.58,58.17,66.16,14.39,11.13
Dividend Amount,10.21,1.13,1.13,1.13,1.13,1.13,2.27,2.27,1.13,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,82.65,73.69,88.67,73.74,84.06,63.99,59.37,67.2,64.58,68.8
Expenses,86.26,73.33,72.75,75.11,116.9,33.86,59.63,64.29,61.51,73.64
Other Income,4.59,21.71,47.64,32.49,4.53,-53.29,27.7,1.21,8.55,-8.91
Depreciation,1.34,3.04,0.82,0.85,1.52,2.89,0.81,1.16,1.66,2.32
Interest,1.78,2.68,2.96,2.11,1.75,2.29,2.11,2.03,0.99,2.62
Profit before tax,-2.14,16.35,59.78,28.16,-31.58,-28.34,24.52,0.93,8.97,-18.69
Tax,2.17,4.5,5.67,7.91,6.19,-6.13,5.37,0.51,2.21,-3.49
Net profit,-4.32,11.84,54.12,20.26,-37.77,-22.22,19.15,0.42,6.75,-15.2
Operating Profit,-3.61,0.36,15.92,-1.37,-32.84,30.13,-0.26,2.91,3.07,-4.84
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34
Reserves,270.62,270.45,285.76,277.88,301.96,303.94,361.51,427.34,438.94,448.17
Borrowings,139.87,208.65,220.5,265.24,270.35,189.56,183.6,146.67,99.33,127.71
Other Liabilities,125.85,99.12,179.79,121.46,59.54,72.91,71.42,80.42,69.08,72.54
Total,547.68,589.56,697.39,675.92,643.19,577.75,627.87,665.77,618.69,659.76
Net Block,107.56,100.39,98.82,91.84,91.13,91.54,99.49,100.5,98.91,99.22
Capital Work in Progress,0.92,0.29,0.3,1.55,3.11,1.44,0.71,0.65,1.1,
Investments,147.39,187.51,148.19,141.37,178.27,180.38,203.84,263.25,273.65,292.76
Other Assets,291.81,301.37,450.08,441.16,370.68,304.39,323.83,301.37,245.03,267.78
Total,547.68,589.56,697.39,675.92,643.19,577.75,627.87,665.77,618.69,659.76
Receivables,32.96,28.75,28.43,37.12,46.3,29.31,22.11,29.2,48.62,57.4
Inventory,225.15,219.84,378.69,344.67,261.58,215.48,230.29,204.75,133.38,155.78
Cash & Bank,16.0,21.83,17.7,19.29,13.54,26.11,49.19,46.91,47.93,39.35
No. of Equity Shares,113385050.0,113385050.0,113385050.0,113385050.0,113385050.0,113385050.0,113385050.0,113385050.0,113385050.0,
New Bonus Shares,,,,,,,,,,
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,49.66,-70.18,-52.09,26.96,17.44,114.31,7.17,42.46,47.79,-30.89
Cash from Investing Activity,-92.72,7.4,29.12,-1.1,-10.91,0.84,26.75,-7.07,3.33,6.09
Cash from Financing Activity,35.9,68.6,17.39,-23.33,-11.15,-101.62,-15.2,-50.38,-53.94,19.51
Net Cash Flow,-7.16,5.83,-5.58,2.53,-4.62,13.53,18.73,-14.99,-2.81,-5.29
PRICE:,38.05,25.35,16.4,13.1,14.7,25.05,23.55,32.75,34.3,23.26
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34
