COMPANY NAME,MARSONS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,108.5,,,,,,,,,
Market Capitalization,1867.25,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2011-03-31 00:00:00,2012-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,105.71,115.53,103.08,99.99,16.7,0.35,6.46,168.36,245.43
Raw Material Cost,,93.67,93.32,50.61,91.42,60.49,0.71,2.97,139.35,185.9
Change in Inventory,,12.75,-1.24,-5.2,0.7,,,,10.72,-4.99
Power and Fuel,,0.66,0.72,0.49,0.71,0.55,0.4,0.86,1.2,1.55
Other Mfr. Exp,,4.53,3.58,0.23,0.9,0.32,0.01,0.07,5.92,
Employee Cost,,1.85,2.02,0.82,1.16,1.26,0.69,0.36,1.16,3.45
Selling and admin,,0.68,0.81,1.15,1.51,0.03,,0.61,1.57,
Other Expenses,,4.52,2.5,31.78,2.33,1.34,17.81,0.42,4.7,7.21
Other Income,,-0.94,2.67,1.42,1.43,-8.28,-0.91,0.16,3.36,2.03
Depreciation,,0.93,1.62,3.11,1.71,31.99,3.14,0.7,0.37,0.75
Interest,,5.11,9.08,7.68,10.09,4.98,0.02,,0.15,1.36
Profit before tax,,5.57,3.31,3.43,-7.71,-92.54,-23.34,0.63,28.02,42.25
Tax,,0.4,1.11,-0.72,1.81,-0.96,-1.76,,,-4.07
Net profit,,5.17,2.2,4.15,-9.94,-91.57,-21.58,0.63,28.02,46.33
Dividend Amount,,1.25,0.25,,,,,,,0.86
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,0.65,3.77,29.88,38.51,44.17,55.8,47.03,59.8,45.94,92.65
Expenses,0.33,3.17,24.83,32.7,40.0,45.67,39.72,51.23,39.07,73.59
Other Income,0.01,0.03,0.36,1.81,2.37,-1.18,0.99,0.93,0.64,-0.01
Depreciation,0.18,0.18,0.14,0.14,0.18,-0.09,0.17,0.22,0.23,0.14
Interest,,,0.03,0.01,0.04,0.06,0.1,0.09,0.8,0.37
Profit before tax,0.15,0.45,5.24,7.47,6.32,8.98,8.03,9.19,6.48,18.54
Tax,,,,,,,,,,-4.07
Net profit,0.15,0.45,5.24,7.47,6.32,8.99,8.03,9.2,6.48,22.62
Operating Profit,0.32,0.6,5.05,5.81,4.17,10.13,7.31,8.57,6.87,19.06
BALANCE SHEET,,,,,,,,,,
Report Date,,2011-03-31 00:00:00,2012-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,25.0,25.0,25.0,25.0,25.0,25.0,14.0,17.21,17.21
Reserves,,25.85,27.35,28.05,17.68,-74.06,-94.02,0.22,105.3,200.4
Borrowings,,38.1,36.88,71.29,76.26,86.2,84.28,9.02,2.59,0.7
Other Liabilities,,47.9,43.45,102.48,43.73,36.33,22.79,6.43,27.34,72.47
Total,,136.85,132.68,226.82,162.67,73.47,38.05,29.67,152.44,290.78
Net Block,,28.66,26.91,58.44,56.16,24.16,20.88,12.64,14.19,64.89
Capital Work in Progress,,0.02,1.3,,0.12,0.14,0.14,,,25.41
Investments,,10.26,10.35,9.98,9.92,,,,37.3,
Other Assets,,97.91,94.12,158.4,96.47,49.17,17.03,17.03,100.95,200.48
Total,,136.85,132.68,226.82,162.67,73.47,38.05,29.67,152.44,290.78
Receivables,,60.67,36.6,105.0,39.46,41.52,9.71,14.63,68.28,107.34
Inventory,,26.31,45.36,47.81,49.78,0.39,,0.81,14.95,58.01
Cash & Bank,,4.21,2.84,1.42,1.12,1.11,0.04,0.26,1.31,11.07
No. of Equity Shares,,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,140000000.0,172100000.0,
New Bonus Shares,,,,,,,,,,
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,2011-03-31 00:00:00,2012-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,-15.11,5.03,27.14,4.24,-6.58,0.85,-4.2,-35.02,1.62
Cash from Investing Activity,,-0.27,-1.53,-24.59,-0.55,1.33,-0.01,-0.12,-37.61,12.1
Cash from Financing Activity,,10.22,-4.87,-3.3,-3.99,5.25,-1.91,4.47,73.68,-3.97
Net Cash Flow,,-5.16,-1.37,-0.75,-0.3,-0.01,-1.07,0.16,1.05,9.75
PRICE:,,13.85,6.82,10.17,12.7,3.29,1.33,36.72,188.25,122.97
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,2.5,2.5,2.5,2.5,2.5,2.5,14.0,17.21,17.21
