COMPANY NAME,SALZER ELECTRONICS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,605.75,,,,,,,,,
Market Capitalization,1071.13,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2006-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,40.98,584.35,625.74,803.48,1036.91,1166.06,1418.1,1758.38
Raw Material Cost,,,20.95,412.36,471.5,605.52,775.6,809.99,999.83,1380.96
Change in Inventory,,,0.99,9.22,12.31,15.34,19.79,7.47,33.69,30.2
Power and Fuel,,,0.84,8.05,8.17,8.87,11.2,13.58,15.18,
Other Mfr. Exp,,,3.47,53.03,43.91,74.91,94.86,137.78,176.69,
Employee Cost,,,2.69,30.0,28.33,33.77,39.6,46.92,59.23,71.75
Selling and admin,,,8.25,20.62,17.88,27.29,36.55,44.37,59.88,
Other Expenses,,,0.02,2.72,5.25,2.22,2.99,3.91,4.6,188.81
Other Income,,,0.97,1.08,2.35,2.48,1.72,1.95,2.86,1.49
Depreciation,,,2.17,14.76,16.01,16.33,16.6,20.11,23.42,27.32
Interest,,,1.67,21.22,21.34,19.88,26.12,34.09,41.14,47.76
Profit before tax,,,2.88,31.89,28.01,32.51,54.9,64.73,74.68,73.47
Tax,,,0.56,4.48,6.63,8.3,15.28,17.66,22.2,18.45
Net profit,,,2.32,27.11,20.52,22.59,38.71,45.88,50.84,52.94
Dividend Amount,,,0.75,,2.56,2.88,3.56,4.34,4.42,4.42
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,270.35,326.57,356.9,344.23,341.46,375.73,441.12,418.92,424.2,474.14
Expenses,239.32,293.49,323.45,308.92,305.48,346.58,399.36,382.36,386.74,442.87
Other Income,0.67,0.25,1.27,15.63,1.72,2.48,0.76,0.34,0.22,0.17
Depreciation,4.88,5.42,5.61,5.66,6.18,5.97,6.16,7.15,7.26,6.74
Interest,8.71,9.06,9.73,10.16,10.56,10.68,12.1,11.23,12.03,12.39
Profit before tax,18.11,18.85,19.38,35.12,20.96,14.98,24.26,18.52,18.39,12.31
Tax,4.63,5.54,4.63,7.84,5.68,4.05,6.9,4.93,4.97,1.64
Net profit,13.2,12.9,14.35,26.82,14.99,10.17,17.28,13.0,12.39,10.27
Operating Profit,31.03,33.08,33.45,35.31,35.98,29.15,41.76,36.56,37.46,31.27
BALANCE SHEET,,,,,,,,,,
Report Date,,,2006-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,5.0,15.98,15.98,15.98,16.18,17.38,17.68,17.68
Reserves,,,21.56,294.05,316.44,337.91,391.53,456.08,526.27,574.97
Borrowings,,,17.71,178.74,204.18,252.44,281.31,311.5,421.5,534.75
Other Liabilities,,,6.35,127.92,148.31,146.0,206.26,208.24,214.31,244.42
Total,,,50.62,616.69,684.91,752.33,895.28,993.2,1179.76,1371.82
Net Block,,,17.75,216.62,220.47,224.19,245.1,269.05,308.61,339.92
Capital Work in Progress,,,0.02,2.72,1.35,0.78,0.63,2.4,2.62,7.31
Investments,,,3.27,3.11,4.57,3.95,5.14,7.09,20.11,22.68
Other Assets,,,29.58,394.24,458.52,523.41,644.41,714.66,848.42,1001.91
Total,,,50.62,616.69,684.91,752.33,895.28,993.2,1179.76,1371.82
Receivables,,,8.51,152.1,188.44,218.39,287.27,343.17,405.48,445.53
Inventory,,,7.51,160.61,180.99,226.98,273.8,293.49,367.73,468.35
Cash & Bank,,,6.63,11.79,13.93,11.75,17.39,12.07,9.23,10.44
No. of Equity Shares,,,5001925.0,15982737.0,15982737.0,15982737.0,16182737.0,17382737.0,17682737.0,
New Bonus Shares,,,,,,,,,,
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2006-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,-0.96,31.54,13.78,-12.24,22.67,20.57,-11.29,46.48
Cash from Investing Activity,,,-9.48,-49.37,-16.05,-16.08,-34.85,-42.02,-78.96,-66.43
Cash from Financing Activity,,,10.65,12.37,4.41,26.13,17.82,17.42,90.51,20.72
Net Cash Flow,,,0.21,-5.46,2.14,-2.19,5.64,-4.03,0.27,0.77
PRICE:,,,101.05,59.9,122.5,184.3,253.95,838.4,1077.6,491.1
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,1.6,1.6,1.6,1.62,1.74,1.77,1.77
