COMPANY NAME,POONAWALLA FINCORP LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,479.4,,,,,,,,,
Market Capitalization,42214.8,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,2524.19,2290.37,2456.99,2513.43,2318.9,1540.01,2176.97,5417.98,4189.76,6790.18
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,6.96,7.17,8.59,7.37,4.61,3.75,7.03,5.89,6.82,8.59
Other Mfr. Exp,178.63,18.22,25.98,48.21,36.09,47.27,107.22,64.12,169.2,254.82
Employee Cost,293.64,369.07,439.24,448.92,383.2,412.2,516.46,448.59,641.36,1022.94
Selling and admin,216.14,114.29,121.18,95.48,48.15,70.59,102.15,186.9,321.29,473.6
Other Expenses,645.66,363.43,285.33,512.5,1477.64,89.5,104.95,174.55,1639.38,1449.83
Other Income,43.43,39.37,38.38,49.44,38.72,109.34,183.75,-1362.6,33.08,4.02
Depreciation,48.5,49.22,50.46,74.79,56.25,49.49,61.41,59.31,65.1,94.14
Interest,1131.3,1117.49,1122.23,1293.82,1100.45,508.64,595.28,950.3,1515.09,2766.67
Profit before tax,46.79,290.85,442.36,81.78,-748.77,467.91,866.22,2165.72,-135.4,723.61
Tax,34.06,53.96,138.35,54.73,-189.81,92.49,181.19,482.66,-37.06,181.8
Net profit,20.45,236.89,304.01,27.05,-558.96,375.13,683.97,1682.75,-98.34,541.81
Dividend Amount,18.96,18.96,21.54,,,30.6,153.59,154.11,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,915.0,977.59,988.87,1057.03,1166.27,1313.97,1542.3,1818.42,2115.49,2330.22
Expenses,241.27,271.6,1259.56,631.7,615.19,662.44,783.6,855.46,909.73,973.61
Other Income,6.73,18.27,7.63,0.14,7.04,0.04,0.47,0.06,4.9,6.7
Depreciation,13.93,14.51,15.8,15.27,19.52,22.04,22.47,24.1,25.53,30.4
Interest,281.06,320.1,351.59,385.02,458.38,546.09,637.81,738.71,844.06,921.65
Profit before tax,385.47,389.65,-630.45,25.18,80.22,83.44,98.89,200.21,341.07,411.26
Tax,53.77,98.01,-159.41,6.45,17.89,20.84,24.69,49.99,86.28,103.55
Net profit,331.7,291.64,-471.04,18.73,62.33,62.6,74.2,150.22,254.79,307.71
Operating Profit,673.73,705.99,-270.69,425.33,551.08,651.53,758.7,962.96,1205.76,1356.61
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,47.39,47.41,53.86,53.9,53.92,152.98,153.59,154.11,154.58,161.59
Reserves,2124.74,1924.61,2690.02,2694.1,2140.38,5902.97,6707.81,8012.97,8020.08,10186.65
Borrowings,10075.31,12126.65,13133.11,12047.2,10474.88,9973.42,11209.16,15215.72,26081.24,48435.8
Other Liabilities,1374.79,795.68,912.29,444.52,543.0,413.34,5150.05,704.1,774.04,1487.52
Total,13622.23,14894.35,16789.28,15239.72,13212.18,16442.71,23220.61,24086.9,35029.94,60271.56
Net Block,277.72,206.59,199.14,241.84,195.8,214.29,221.51,194.2,243.8,420.29
Capital Work in Progress,7.53,1.08,3.85,6.62,0.18,0.46,4.56,0.26,10.43,7.01
Investments,546.49,140.26,141.15,150.6,177.37,,310.91,878.33,1341.63,2490.46
Other Assets,12790.49,14546.42,16445.14,14840.66,12838.83,16227.96,22683.63,23014.11,33434.08,57353.8
Total,13622.23,14894.35,16789.28,15239.72,13212.18,16442.71,23220.61,24086.9,35029.94,60271.56
Receivables,6.75,2.16,8.68,7.99,10.17,10.18,18.64,22.39,18.39,38.48
Inventory,,,,,,,,,,
Cash & Bank,353.31,406.7,956.85,708.28,774.69,596.97,657.43,268.54,32.29,293.68
No. of Equity Shares,236959672.0,237028672.0,269324236.0,269515312.0,269616712.0,764923539.0,767947592.0,770550662.0,772934400.0,807987658.0
New Bonus Shares,,,,,,,,,,
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,2948.65,389.52,-923.27,998.24,1644.3,-2873.22,-5236.54,-7556.49,-10569.43,-21785.59
Cash from Investing Activity,-185.65,-35.62,-97.85,-280.7,81.35,-32.85,-110.45,2724.81,-481.91,-1340.32
Cash from Financing Activity,-2844.32,-386.99,1490.5,-1082.56,-1573.78,2902.96,5748.47,4330.67,10820.81,23387.26
Net Cash Flow,-81.32,-33.09,469.38,-365.02,151.86,-3.11,401.48,-501.01,-230.53,261.35
PRICE:,106.05,151.5,117.8,17.0,110.1,271.85,292.5,465.6,350.45,368.4
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,23.7,23.7,26.93,26.95,26.96,76.49,76.79,77.46,77.8,81.28
