COMPANY NAME,AARTI DRUGS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,405.7,,,,,,,,,
Market Capitalization,3708.44,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1195.17,1243.63,1560.94,1806.09,2154.78,2488.65,2716.05,2528.58,2387.03,2565.31
Raw Material Cost,765.89,821.92,1026.31,1210.6,1310.66,1750.06,1863.71,1626.1,1496.08,1619.09
Change in Inventory,0.43,54.87,-16.82,51.28,11.72,86.08,1.75,-25.51,-19.46,0.37
Power and Fuel,59.42,71.42,84.39,103.83,98.2,128.34,156.1,154.31,152.01,
Other Mfr. Exp,84.41,99.3,110.19,129.04,147.41,181.25,192.85,218.85,223.08,
Employee Cost,52.87,57.98,60.96,69.4,80.56,82.77,92.26,102.48,112.27,129.32
Selling and admin,36.82,41.76,48.25,72.11,83.75,90.77,92.83,69.02,80.82,
Other Expenses,5.7,4.24,3.1,6.88,5.53,8.95,10.59,11.29,13.08,508.08
Other Income,4.0,1.05,6.18,5.95,4.74,11.32,2.19,3.85,16.36,2.39
Depreciation,38.46,40.06,42.56,48.75,49.88,50.05,50.32,51.45,55.78,66.97
Interest,40.02,38.36,43.51,37.42,26.23,23.91,37.14,37.89,39.04,33.71
Profit before tax,116.01,124.51,131.03,185.29,369.02,269.95,224.19,235.53,211.77,210.9
Tax,34.21,42.2,41.27,43.89,88.61,64.96,57.83,63.93,43.67,15.96
Net profit,81.8,82.31,89.75,141.4,280.41,205.04,166.31,171.42,168.16,194.92
Dividend Amount,2.39,2.36,2.36,4.66,23.3,9.26,9.26,9.19,9.13,18.25
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,605.94,619.99,555.34,598.33,556.6,676.76,590.51,652.79,601.71,720.3
Expenses,535.8,534.18,490.38,531.28,494.87,583.43,516.43,568.51,546.68,624.5
Other Income,1.67,1.08,1.11,1.48,11.9,1.87,0.31,0.09,1.23,0.76
Depreciation,12.66,13.58,13.38,13.72,13.8,14.88,14.72,16.26,17.95,18.04
Interest,7.6,9.13,8.71,8.93,9.07,9.16,8.56,7.7,9.29,8.16
Profit before tax,51.55,64.18,43.98,45.88,50.76,71.16,51.11,60.41,29.02,70.36
Tax,14.84,16.87,10.71,10.92,13.67,8.39,-2.86,15.25,-11.53,15.1
Net profit,36.67,47.37,33.24,35.01,37.05,62.86,53.91,45.28,40.54,55.19
Operating Profit,70.14,85.81,64.96,67.05,61.73,93.33,74.08,84.28,55.03,95.8
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,23.86,23.58,23.58,23.3,93.2,92.6,92.6,91.94,91.27,91.27
Reserves,376.28,431.85,519.86,629.19,820.22,943.76,1099.83,1189.61,1277.73,1457.59
Borrowings,479.5,546.25,507.21,388.64,350.76,542.82,608.91,564.28,615.08,576.64
Other Liabilities,311.4,387.74,404.84,535.37,501.83,628.78,620.06,586.54,590.6,689.76
Total,1191.04,1389.42,1455.49,1576.5,1766.01,2207.96,2421.4,2432.37,2574.68,2815.26
Net Block,581.09,602.39,624.86,643.81,665.4,689.93,676.23,811.09,866.11,1086.4
Capital Work in Progress,14.28,28.45,32.75,12.21,19.26,76.74,210.35,260.87,330.18,213.81
Investments,11.94,10.76,12.44,13.36,17.3,19.48,18.8,19.97,22.41,27.31
Other Assets,583.73,747.82,785.44,907.12,1064.05,1421.81,1516.02,1340.44,1355.98,1487.74
Total,1191.04,1389.42,1455.49,1576.5,1766.01,2207.96,2421.4,2432.37,2574.68,2815.26
Receivables,296.81,374.94,458.54,488.63,555.23,749.9,864.84,704.55,751.18,829.87
Inventory,209.63,278.21,246.61,325.4,415.0,525.94,516.29,485.89,472.93,490.78
Cash & Bank,4.17,4.27,5.55,7.64,9.78,22.33,8.96,9.43,7.56,8.81
No. of Equity Shares,23857000.0,23582000.0,23582000.0,23300000.0,93200000.0,92600000.0,92600000.0,91935000.0,91270000.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,174.75,69.77,143.09,250.74,154.95,70.41,133.32,358.92,244.58,253.54
Cash from Investing Activity,-106.98,-73.54,-61.67,-33.21,-71.78,-149.64,-163.97,-223.65,-164.63,-173.41
Cash from Financing Activity,-68.23,3.92,-80.07,-215.41,-81.13,92.03,16.54,-136.03,-82.12,-77.44
Net Cash Flow,-0.45,0.15,1.35,2.13,2.04,12.8,-14.11,-0.76,-2.17,2.69
PRICE:,143.98,126.5,159.33,125.58,694.3,429.1,337.75,434.3,340.3,319.75
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,9.54,9.43,9.43,9.32,9.32,9.26,9.26,9.19,9.13,9.13
