COMPANY NAME,WANBURY LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,336.0,,,,,,,,,
Market Capitalization,1173.9,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00
Sales,420.23,432.23,370.0,391.01,367.44,392.34,511.07,485.44,557.06,599.51
Raw Material Cost,182.15,191.12,166.4,201.26,169.75,228.53,325.07,274.31,306.52,292.96
Change in Inventory,-0.25,-5.85,-7.69,5.06,-5.99,7.2,24.79,-29.13,3.89,-1.51
Power and Fuel,18.51,18.74,15.26,14.46,15.38,17.13,18.41,20.59,24.58,24.24
Other Mfr. Exp,14.66,15.04,10.21,7.98,13.77,9.98,12.66,8.54,10.95,11.23
Employee Cost,85.59,87.77,87.32,75.89,67.48,64.15,74.81,81.0,86.92,104.24
Selling and admin,70.43,76.62,64.45,63.7,55.36,45.49,55.13,59.28,76.53,64.02
Other Expenses,15.23,18.56,86.34,16.91,16.25,15.81,13.83,-13.62,-17.49,21.45
Other Income,0.37,89.69,76.45,8.99,83.76,1.97,77.24,-2.72,25.61,-0.05
Depreciation,9.05,10.32,10.3,9.97,9.68,9.75,11.45,12.38,13.03,13.31
Interest,31.87,35.51,30.86,39.88,32.87,23.07,20.61,21.39,29.18,36.95
Profit before tax,-7.14,62.39,-32.38,-24.99,64.67,-12.4,81.13,-10.28,56.34,29.55
Tax,,0.39,-0.38,-0.14,0.21,0.2,-0.35,0.11,0.38,-0.98
Net profit,-7.15,62.01,-32.01,-24.85,64.46,-12.61,81.47,-10.4,55.96,30.53
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00
Sales,132.98,146.29,144.46,145.5,139.41,131.11,161.19,133.45,172.0,163.18
Expenses,118.83,132.94,127.12,124.35,121.24,120.13,141.18,119.5,142.37,138.74
Other Income,-2.65,0.62,0.76,0.69,26.48,0.94,1.63,0.84,1.84,0.35
Depreciation,3.07,3.18,3.24,3.32,3.28,3.29,3.32,3.32,3.37,3.64
Interest,7.51,5.79,7.67,8.26,7.46,7.59,10.15,10.17,9.04,7.54
Profit before tax,0.92,5.0,7.19,10.26,33.91,1.04,8.17,1.3,19.06,13.61
Tax,-0.1,0.3,-0.18,-0.02,0.27,,0.15,0.07,-1.2,0.12
Net profit,1.02,4.69,7.36,10.27,33.63,1.04,8.02,1.22,20.26,13.49
Operating Profit,14.15,13.35,17.34,21.15,18.17,10.98,20.01,13.95,29.63,24.44
BALANCE SHEET,,,,,,,,,,
Report Date,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00
Equity Share Capital,19.97,23.22,23.72,23.72,25.0,25.02,32.67,32.71,32.75,32.77
Reserves,-208.74,-176.5,-208.4,-233.0,-168.45,-181.26,-56.09,-65.52,-4.8,26.5
Borrowings,361.92,299.74,250.39,259.65,190.29,192.22,100.26,94.93,116.48,178.83
Other Liabilities,214.72,265.46,207.01,235.68,231.85,253.2,275.71,241.4,199.06,175.81
Total,387.87,411.92,272.72,286.05,278.69,289.18,352.55,303.52,343.49,413.91
Net Block,180.27,186.34,178.33,172.36,163.9,167.38,167.11,167.11,166.82,200.6
Capital Work in Progress,14.42,9.58,10.05,8.97,13.89,11.01,2.35,1.61,3.01,5.38
Investments,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.15
Other Assets,193.17,215.97,84.32,104.7,100.89,110.78,183.08,134.79,173.63,207.78
Total,387.87,411.92,272.72,286.05,278.69,289.18,352.55,303.52,343.49,413.91
Receivables,74.94,84.66,29.46,44.41,50.79,34.47,62.8,68.98,89.44,114.16
Inventory,34.61,34.23,13.07,19.33,12.26,24.85,49.73,21.99,36.02,37.68
Cash & Bank,7.22,9.37,6.21,5.25,16.7,11.7,25.31,3.93,5.9,12.83
No. of Equity Shares,19969286.0,23220117.0,23720117.0,23720117.0,24995117.0,25015117.0,32665498.0,32705498.0,32745498.0,32770498.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00
Cash from Operating Activity,43.05,43.39,32.49,29.73,44.13,16.68,40.52,19.8,3.98,26.1
Cash from Investing Activity,-19.63,-13.06,-1.39,-3.07,63.66,8.04,0.59,-8.84,-16.63,-51.17
Cash from Financing Activity,-28.07,-26.93,-33.26,-26.78,-107.87,-17.39,-28.58,-31.99,14.55,25.73
Net Cash Flow,-4.65,3.39,-2.16,-0.13,-0.08,7.34,12.52,-21.03,1.91,0.66
PRICE:,46.2,57.9,31.9,21.7,18.3,82.35,84.55,37.3,146.25,234.42
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.0,2.32,2.37,2.37,2.5,2.5,3.27,3.27,3.27,3.28
