COMPANY NAME,NEOGEN CHEMICALS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,2209.8,,,,,,,,,
Market Capitalization,6050.8,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,110.07,161.15,239.06,306.13,336.41,487.25,686.18,690.67,777.56,861.96
Raw Material Cost,69.56,102.56,159.65,227.71,180.76,343.77,485.26,474.59,506.08,638.09
Change in Inventory,5.53,7.73,18.96,43.61,-16.87,68.8,96.75,92.1,83.02,171.64
Power and Fuel,5.08,6.21,7.64,8.97,9.49,20.3,33.79,31.91,31.83,
Other Mfr. Exp,9.72,14.31,21.15,22.87,29.37,47.51,54.82,60.69,74.89,
Employee Cost,5.45,8.7,11.15,17.25,20.07,31.5,46.82,62.0,64.84,90.08
Selling and admin,5.21,7.61,14.42,14.33,14.77,25.43,31.69,36.8,36.09,
Other Expenses,0.59,0.49,0.59,0.55,0.72,0.95,18.93,6.73,10.53,168.14
Other Income,0.35,0.7,0.61,0.21,0.52,1.25,4.55,7.65,-9.87,6.42
Depreciation,1.31,1.85,2.84,5.24,6.9,11.69,16.2,22.87,27.79,27.52
Interest,7.52,10.42,11.94,11.93,13.77,19.08,28.94,42.06,48.5,75.11
Profit before tax,11.51,17.43,29.25,41.1,44.21,57.07,71.03,52.77,50.16,41.08
Tax,3.83,6.44,8.31,12.45,12.88,12.44,21.06,17.12,15.33,12.33
Net profit,7.68,10.98,20.95,28.66,31.33,44.63,49.97,35.65,34.83,28.75
Dividend Amount,,2.0,3.01,4.67,5.25,6.86,7.48,5.28,2.64,5.28
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,199.65,179.95,193.36,201.43,202.82,186.73,208.66,220.02,246.56,250.29
Expenses,163.86,149.15,158.85,166.79,166.44,155.22,178.7,188.12,202.65,202.06
Other Income,2.23,1.59,0.84,1.14,-13.44,1.23,1.98,2.2,1.01,4.06
Depreciation,5.86,6.81,7.12,7.1,6.76,5.78,7.31,6.83,7.6,8.2
Interest,9.69,9.82,12.75,13.43,12.5,12.67,19.48,21.51,21.47,20.81
Profit before tax,22.47,15.76,15.48,15.25,3.68,14.29,5.15,5.76,15.85,23.28
Tax,5.54,4.29,4.52,5.24,1.27,4.03,1.78,2.07,4.46,6.17
Net profit,16.93,11.47,10.96,10.01,2.41,10.26,3.37,3.69,11.39,17.11
Operating Profit,35.79,30.8,34.51,34.64,36.38,31.51,29.96,31.9,43.91,48.23
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,20.0,20.0,20.08,23.33,23.33,24.94,24.94,26.38,26.38,26.38
Reserves,21.97,30.42,50.12,132.91,159.68,414.3,457.58,733.91,763.01,789.87
Borrowings,69.05,82.21,119.99,137.12,221.74,228.75,369.51,408.92,596.74,1395.09
Other Liabilities,41.3,47.78,56.24,61.48,87.21,131.44,201.77,292.19,361.18,690.53
Total,152.32,180.41,246.43,354.84,491.96,799.43,1053.8,1461.4,1747.31,2901.87
Net Block,56.32,67.05,82.82,110.54,126.71,285.13,347.45,495.62,403.85,474.8
Capital Work in Progress,1.26,1.38,0.39,2.69,114.65,10.62,35.84,108.91,156.19,857.12
Investments,0.49,0.42,0.53,0.6,0.75,81.73,76.81,0.45,0.45,0.45
Other Assets,94.25,111.56,162.69,241.01,249.85,421.95,593.7,856.42,1186.82,1569.5
Total,152.32,180.41,246.43,354.84,491.96,799.43,1053.8,1461.4,1747.31,2901.87
Receivables,32.16,41.36,60.66,75.23,78.55,109.5,177.38,281.69,200.22,380.36
Inventory,40.01,49.99,72.38,129.87,114.03,194.59,292.97,382.44,309.13,568.23
Cash & Bank,3.08,1.82,2.02,1.48,1.21,45.22,20.7,12.49,4.96,4.95
No. of Equity Shares,20000000.0,20000000.0,20078793.0,23334606.0,23334606.0,24939316.0,24939316.0,26381674.0,26381674.0,26381674.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,0.21,11.85,-3.68,-34.55,83.57,1.41,-30.35,-29.15,195.98,-231.48
Cash from Investing Activity,-32.92,-12.68,-20.09,-28.63,-134.57,-145.83,-94.46,-215.58,-316.59,-410.26
Cash from Financing Activity,33.32,-0.43,23.97,62.64,50.73,188.43,100.29,236.53,113.07,641.71
Net Cash Flow,0.61,-1.26,0.2,-0.54,-0.27,44.01,-24.52,-8.2,-7.54,-0.03
PRICE:,,,,341.15,860.8,1744.4,1286.2,1196.2,1543.35,1112.0
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.0,2.0,2.01,2.33,2.33,2.49,2.49,2.64,2.64,2.64
