COMPANY NAME,JYOTI CNC AUTOMATION LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,812.75,,,,,,,,,
Market Capitalization,18483.74,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,965.26,686.77,532.15,746.49,929.26,1338.47,1817.7,2093.13
Raw Material Cost,,,403.12,390.59,463.86,418.78,679.53,583.46,752.85,941.45
Change in Inventory,,,-145.55,2.11,183.23,-0.91,127.93,-90.24,-115.97,2.16
Power and Fuel,,,17.51,13.76,10.8,13.6,16.73,26.31,29.84,
Other Mfr. Exp,,,37.6,25.94,21.51,46.04,45.01,57.66,64.88,
Employee Cost,,,157.3,153.47,131.39,141.84,166.24,204.51,258.22,330.02
Selling and admin,,,55.64,47.07,24.44,34.72,46.84,57.47,73.64,
Other Expenses,,,56.9,51.08,38.53,17.93,25.99,17.88,31.44,297.07
Other Income,,,54.75,43.5,9.92,3.57,53.79,6.48,5.41,60.48
Depreciation,,,35.55,37.29,38.0,35.79,33.62,32.75,36.45,50.2
Interest,,,72.64,70.71,75.51,82.2,89.7,89.72,42.08,69.84
Profit before tax,,,38.2,-57.53,-78.74,-41.75,7.32,184.95,417.74,467.19
Tax,,,19.71,-7.21,-1.54,6.55,12.79,34.09,101.73,131.19
Net profit,,,18.48,-50.31,-77.2,-48.3,-5.46,150.86,316.01,336.0
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,377.92,450.13,361.84,430.67,449.51,575.68,410.17,507.9,575.9,599.16
Expenses,281.65,316.32,276.83,324.09,336.94,398.05,309.96,383.32,421.33,451.77
Other Income,3.1,2.99,3.98,11.07,-0.14,-0.43,20.5,9.13,6.05,24.8
Depreciation,8.65,8.48,8.41,9.21,8.58,10.24,12.25,10.47,13.23,14.25
Interest,23.55,20.7,11.02,9.02,10.72,11.33,12.18,14.19,23.64,19.83
Profit before tax,67.17,107.62,69.56,99.42,93.13,155.63,96.28,109.05,123.75,138.11
Tax,19.13,7.98,18.64,23.54,12.89,46.66,24.86,23.55,35.24,47.54
Net profit,48.04,99.64,50.92,75.88,80.24,108.97,71.42,85.5,88.51,90.57
Operating Profit,96.27,133.81,85.01,106.58,112.57,177.63,100.21,124.58,154.57,147.39
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,29.48,29.48,29.48,29.48,32.93,45.48,45.48,45.48
Reserves,,,216.0,160.21,76.84,11.68,49.12,1319.15,1640.67,1955.85
Borrowings,,,578.66,648.12,721.85,792.16,834.97,303.78,496.88,852.75
Other Liabilities,,,423.33,468.86,552.38,452.92,598.33,509.93,608.94,761.25
Total,,,1247.47,1306.67,1380.55,1286.24,1515.35,2178.34,2791.97,3615.33
Net Block,,,344.44,343.86,321.54,292.5,283.05,322.31,468.74,746.0
Capital Work in Progress,,,33.94,56.38,53.72,5.48,15.38,57.66,183.91,89.3
Investments,,,1.3,0.23,1.85,1.96,3.39,3.66,0.45,15.75
Other Assets,,,867.79,906.2,1003.44,986.3,1213.53,1794.71,2138.87,2764.28
Total,,,1247.47,1306.67,1380.55,1286.24,1515.35,2178.34,2791.97,3615.33
Receivables,,,175.06,197.59,217.89,200.19,145.88,249.1,486.54,599.1
Inventory,,,591.46,624.55,682.83,634.04,819.9,865.99,900.48,1165.97
Cash & Bank,,,23.61,20.85,22.46,22.57,28.29,385.62,125.31,137.12
No. of Equity Shares,,,29479366.0,29479366.0,29479366.0,29479366.0,32929366.0,227423000.0,227423000.0,
New Bonus Shares,,,,,,,,,,
Face value,,,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,144.49,24.57,28.05,38.55,42.15,-48.25,-105.43,54.39
Cash from Investing Activity,,,54.48,-35.5,-17.98,-31.06,-31.64,-170.49,-328.96,-302.05
Cash from Financing Activity,,,-191.33,-1.81,-3.11,-15.16,3.14,504.98,145.43,287.15
Net Cash Flow,,,7.64,-12.75,6.96,-7.67,13.65,286.24,-288.96,39.49
PRICE:,,,,,,,,821.45,1058.55,721.85
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,2.95,2.95,2.95,2.95,3.29,22.74,22.74,22.74
