COMPANY NAME,KILBURN ENGINEERING LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,431.6,,,,,,,,,
Market Capitalization,2415.32,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,,,329.48,424.46,628.8
Raw Material Cost,,,,,,,,161.07,181.15,266.94
Change in Inventory,,,,,,,,-4.34,0.23,-3.95
Power and Fuel,,,,,,,,1.53,2.88,
Other Mfr. Exp,,,,,,,,37.25,49.74,
Employee Cost,,,,,,,,27.63,50.39,71.92
Selling and admin,,,,,,,,17.03,31.46,
Other Expenses,,,,,,,,4.04,7.36,138.86
Other Income,,,,,,,,3.66,3.16,15.71
Depreciation,,,,,,,,3.46,7.33,11.66
Interest,,,,,,,,9.86,14.87,15.06
Profit before tax,,,,,,,,66.93,82.67,136.12
Tax,,,,,,,,16.39,20.28,39.93
Net profit,,,,,,,,50.54,62.39,96.2
Dividend Amount,,,,,,,,8.36,9.5,
Quarters,,,,,,,,,,
Report Date,,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,,121.52,85.48,103.77,108.27,126.94,129.25,153.6,156.78,189.18
Expenses,,90.89,67.03,80.65,84.79,90.98,95.94,113.82,120.69,151.48
Other Income,,1.26,0.65,0.5,1.15,0.86,2.53,3.61,2.15,7.42
Depreciation,,0.96,1.39,1.38,2.0,2.56,2.81,2.9,3.0,2.94
Interest,,2.52,2.98,3.22,3.12,4.84,3.38,3.06,3.24,5.12
Profit before tax,,28.41,14.73,19.02,19.51,29.42,29.65,37.43,32.0,37.06
Tax,,5.31,3.14,3.8,4.33,9.0,8.34,10.54,8.84,12.21
Net profit,,23.11,11.59,15.22,15.17,20.41,21.31,26.88,23.16,24.86
Operating Profit,,30.63,18.45,23.12,23.48,35.96,33.31,39.78,36.09,37.7
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,,,41.82,47.49,52.96
Reserves,,,,,,,,212.57,425.03,601.15
Borrowings,,,,,,,,85.05,87.74,89.99
Other Liabilities,,,,,,,,146.08,170.52,150.39
Total,,,,,,,,485.52,730.78,894.49
Net Block,,,,,,,,159.07,283.61,291.87
Capital Work in Progress,,,,,,,,4.97,5.08,4.63
Investments,,,,,,,,9.24,8.44,7.32
Other Assets,,,,,,,,312.24,433.65,590.67
Total,,,,,,,,485.52,730.78,894.49
Receivables,,,,,,,,78.39,105.48,202.23
Inventory,,,,,,,,30.9,47.98,46.32
Cash & Bank,,,,,,,,30.33,27.04,67.38
No. of Equity Shares,,,,,,,,41820358.0,47487858.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,,25.97,-9.82,-17.76
Cash from Investing Activity,,,,,,,,-99.91,-102.68,-23.91
Cash from Financing Activity,,,,,,,,73.92,116.89,68.15
Net Cash Flow,,,,,,,,-0.02,4.39,26.49
PRICE:,,,,,,,,335.05,406.75,452.3
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,4.18,4.75,5.3
