COMPANY NAME,RATNAMANI METALS & TUBES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,2350.25,,,,,,,,,
Market Capitalization,16473.36,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1411.84,1766.76,2754.9,2585.68,2298.13,3138.78,4474.4,5059.1,5186.47,4493.96
Raw Material Cost,918.91,1235.46,1937.29,1750.18,1359.84,2324.63,3086.08,3438.94,3268.94,2633.74
Change in Inventory,38.42,94.77,33.26,53.87,-111.54,220.75,140.42,109.31,-103.11,-46.48
Power and Fuel,21.92,34.32,40.21,39.88,42.78,57.7,82.6,84.09,94.93,94.99
Other Mfr. Exp,125.34,179.83,233.83,224.28,194.82,262.56,387.26,397.65,474.07,460.39
Employee Cost,98.31,109.25,129.2,145.71,141.97,159.67,209.95,258.58,314.14,365.79
Selling and admin,16.18,22.45,22.92,29.89,22.26,33.09,41.24,47.81,60.25,81.17
Other Expenses,12.54,14.31,18.17,23.07,25.11,27.07,32.01,44.21,47.51,53.68
Other Income,13.92,32.42,41.2,59.3,43.41,37.7,32.39,73.21,59.62,111.56
Depreciation,59.7,60.61,62.42,58.51,56.85,80.21,83.34,97.54,107.72,131.6
Interest,6.07,9.86,14.77,20.96,22.9,21.36,31.19,45.13,37.43,31.34
Profit before tax,205.21,227.86,370.55,406.37,363.47,430.94,693.54,827.67,737.99,706.34
Tax,61.16,76.09,117.62,98.82,87.46,108.3,181.26,202.57,196.42,171.87
Net profit,144.06,151.77,252.92,307.54,276.0,322.64,510.48,622.79,543.98,482.55
Dividend Amount,25.71,28.05,42.08,56.1,65.45,65.45,84.12,98.14,98.14,70.1
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1495.71,1183.7,971.33,1316.3,1715.15,1151.62,1191.69,1065.83,1084.82,971.63
Expenses,1250.04,1019.66,817.82,1112.46,1413.02,963.47,980.45,861.12,931.2,809.43
Other Income,38.81,12.28,19.54,18.69,9.11,30.29,26.91,12.97,41.39,17.59
Depreciation,24.96,26.24,25.89,26.94,28.64,31.67,32.04,33.22,34.69,36.21
Interest,11.73,9.72,13.57,7.47,6.67,10.99,6.67,7.38,6.29,6.17
Profit before tax,247.79,140.36,133.59,188.12,275.93,175.78,199.44,177.08,154.03,137.41
Tax,54.67,34.47,34.23,54.94,72.78,48.65,43.4,41.7,38.12,30.38
Net profit,192.16,105.13,100.39,131.31,207.14,131.82,136.22,109.85,104.65,82.16
Operating Profit,245.67,164.04,153.51,203.84,302.13,188.15,211.24,204.71,153.62,162.2
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,9.35,9.35,9.35,9.35,9.35,9.35,14.02,14.02,14.02,14.02
Reserves,1178.44,1299.49,1513.41,1699.81,1978.21,2238.97,2589.89,3126.51,3623.02,4096.61
Borrowings,,78.91,65.4,251.54,207.28,157.46,237.0,152.87,157.4,317.62
Other Liabilities,226.05,359.51,464.96,583.88,421.74,556.7,939.38,726.44,1108.5,956.66
Total,1413.84,1747.26,2053.12,2544.58,2616.58,2962.48,3780.29,4019.84,4902.94,5384.91
Net Block,448.11,445.38,440.02,499.92,865.11,874.63,1121.87,1163.89,1348.44,1610.61
Capital Work in Progress,38.31,46.91,178.6,371.46,76.32,106.79,101.08,166.53,189.88,302.05
Investments,73.83,,203.13,154.84,636.51,108.54,135.12,88.71,179.5,644.32
Other Assets,853.59,1254.97,1231.37,1518.36,1038.64,1872.52,2422.22,2600.71,3185.12,2827.93
Total,1413.84,1747.26,2053.12,2544.58,2616.58,2962.48,3780.29,4019.84,4902.94,5384.91
Receivables,425.43,558.19,462.07,370.18,402.57,600.76,1009.22,941.45,1265.1,1013.38
Inventory,339.1,574.0,590.03,859.21,536.89,1111.97,1259.17,1348.7,1506.0,1274.86
Cash & Bank,15.41,5.47,142.59,174.1,55.04,43.78,34.13,206.9,225.22,73.9
No. of Equity Shares,46728000.0,46728000.0,46728000.0,46728000.0,46728000.0,46728000.0,70092000.0,70092000.0,70092000.0,70092000.0
New Bonus Shares,,,,,,,,,,
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,134.48,-72.73,553.52,215.21,545.55,-283.0,310.47,511.23,536.22,936.01
Cash from Investing Activity,-103.76,21.17,-360.13,-357.83,-469.9,417.68,-204.05,-145.51,-387.72,-1146.55
Cash from Financing Activity,-27.61,41.62,-56.27,46.81,-78.79,-134.54,-116.08,-192.95,-130.18,59.22
Net Cash Flow,3.11,-9.94,137.13,-95.81,-3.14,0.14,-9.66,172.77,18.32,-151.32
PRICE:,504.6,567.47,605.63,604.93,1267.87,1728.9,1981.85,2794.2,2590.9,2201.8
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01
