COMPANY NAME,WELSPUN CORP LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,2306.05,,,,,,,,,
Market Capitalization,60831.43,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,5898.71,6347.01,8953.48,9956.76,7152.56,6505.11,9758.1,17339.6,13977.54,16770.14
Raw Material Cost,4212.76,4363.79,6287.46,7358.29,4243.97,4305.09,8892.99,10734.15,9608.06,10863.27
Change in Inventory,172.56,-35.9,10.71,823.49,-515.49,-452.95,1639.01,-1365.37,737.77,605.04
Power and Fuel,106.26,91.33,113.28,122.31,197.81,162.39,305.61,540.99,529.22,535.93
Other Mfr. Exp,666.91,699.2,949.58,1172.8,758.86,203.58,446.39,823.46,848.22,1038.39
Employee Cost,430.99,417.67,572.64,637.03,455.46,384.54,542.02,939.15,1006.2,1250.47
Selling and admin,120.18,115.38,156.43,141.17,111.12,479.57,666.66,1224.73,937.41,1259.83
Other Expenses,15.05,150.62,241.15,147.91,74.76,44.01,49.41,150.32,101.91,191.65
Other Income,138.59,128.41,-105.94,243.08,618.32,544.22,385.73,504.3,1248.31,477.59
Depreciation,386.08,258.16,259.73,233.29,246.47,254.75,302.97,347.87,351.07,354.55
Interest,235.71,170.15,177.37,144.02,84.95,101.89,243.16,304.38,319.65,212.17
Profit before tax,35.92,173.22,100.61,1066.51,1081.99,660.56,333.63,1413.48,2261.88,2146.51
Tax,25.8,20.21,122.25,412.45,255.34,216.39,134.46,277.48,359.6,526.02
Net profit,26.43,158.3,-13.26,635.47,767.58,438.81,206.69,1110.4,1908.14,1613.05
Dividend Amount,13.26,13.26,13.26,273.92,130.44,130.48,130.77,130.83,131.17,131.9
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,4461.17,3137.23,3301.83,3613.51,3924.97,3551.49,4373.61,4532.48,4312.56,4081.12
Expenses,4131.02,2763.28,2902.23,3179.06,3464.79,3026.48,3782.51,3916.75,3808.76,3388.78
Other Income,178.31,82.51,125.09,487.24,569.58,84.0,130.97,120.43,142.19,684.55
Depreciation,86.77,84.83,89.21,90.04,86.99,84.78,84.2,92.54,93.03,124.58
Interest,74.58,66.39,83.46,82.26,87.54,63.18,49.38,50.66,48.95,45.18
Profit before tax,347.11,305.24,352.02,749.39,855.23,461.05,588.49,592.96,504.01,1207.13
Tax,59.83,57.3,69.06,77.2,156.04,111.89,144.98,136.6,132.55,159.25
Net profit,267.84,248.18,286.95,674.7,698.31,350.42,439.68,452.59,370.36,1046.49
Operating Profit,330.15,373.95,399.6,434.45,460.18,525.01,591.1,615.73,503.8,692.34
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,132.61,132.61,132.61,130.44,130.44,130.48,130.77,130.83,131.17,131.9
Reserves,2676.82,2721.42,2665.03,3084.8,3952.31,4297.84,4582.37,5466.55,7312.64,9023.66
Borrowings,1842.98,1386.43,1304.7,1060.75,1021.0,2056.92,3380.66,1967.48,1122.47,2355.45
Other Liabilities,3594.53,3452.45,4097.39,3667.07,2587.93,2683.61,7179.85,4248.52,6634.93,8888.83
Total,8246.94,7692.91,8199.73,7943.06,7691.68,9168.85,15273.65,11813.38,15201.21,20399.84
Net Block,3355.89,3045.8,1567.38,1617.12,2599.04,2433.24,4909.98,4799.75,4706.71,6536.15
Capital Work in Progress,32.23,16.57,46.98,82.51,147.23,1261.27,86.9,86.69,787.13,1241.41
Investments,725.28,487.62,475.6,783.55,1712.61,2306.72,1537.17,1100.33,1401.57,1863.5
Other Assets,4133.54,4142.92,6109.77,5459.88,3232.8,3167.62,8739.6,5826.61,8305.8,10758.78
Total,8246.94,7692.91,8199.73,7943.06,7691.68,9168.85,15273.65,11813.38,15201.21,20399.84
Receivables,1465.19,1314.06,1180.69,1143.92,668.8,812.56,1140.47,1799.09,1769.13,1718.93
Inventory,1764.66,1511.86,2222.76,2268.2,1212.99,1019.46,5686.16,2315.56,4211.54,4655.66
Cash & Bank,229.62,628.19,670.42,513.59,258.89,701.48,1202.29,1071.76,1255.35,2971.93
No. of Equity Shares,265226109.0,265226109.0,265226109.0,260884395.0,260884395.0,260949395.0,261529395.0,261666895.0,262349395.0,263790645.0
New Bonus Shares,,,,,,,,,,
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,402.52,981.36,623.33,648.13,774.49,218.47,-185.13,1305.99,1503.67,3204.28
Cash from Investing Activity,618.1,184.19,-254.64,-48.89,-847.68,-200.8,-347.5,373.18,193.8,-3713.9
Cash from Financing Activity,-978.69,-760.88,-335.3,-743.09,-198.12,452.74,908.76,-1876.79,-1369.08,875.09
Net Cash Flow,41.92,404.68,33.39,-143.86,-271.31,470.41,376.13,-197.62,328.39,365.47
PRICE:,82.6,134.9,136.2,62.05,138.35,167.4,200.5,515.4,869.8,812.7
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,26.52,26.52,26.52,26.09,26.09,26.09,26.15,26.17,26.23,26.38
