COMPANY NAME,MAN INDUSTRIES (INDIA) LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,713.9,,,,,,,,,
Market Capitalization,5354.93,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1060.49,1607.52,2221.71,1759.28,2080.2,2138.63,2231.34,3142.18,3505.35,3563.9
Raw Material Cost,821.77,1351.36,1599.95,1266.74,1482.67,1611.01,1689.63,2530.74,2593.31,2509.61
Change in Inventory,2.28,142.21,-97.05,3.61,59.94,27.72,-83.33,127.26,162.6,280.99
Power and Fuel,19.07,30.08,43.45,26.21,31.36,28.91,27.18,43.36,40.53,
Other Mfr. Exp,53.98,91.26,83.68,83.41,62.22,144.41,106.12,125.79,404.21,
Employee Cost,46.35,46.28,56.04,55.92,54.89,54.12,59.94,68.81,77.06,92.05
Selling and admin,73.29,93.39,145.25,133.18,216.15,126.76,117.53,246.0,237.28,
Other Expenses,-0.01,12.85,18.1,29.48,87.77,20.55,10.66,13.57,14.15,803.93
Other Income,72.38,53.1,20.66,14.05,30.79,37.08,39.03,52.05,51.82,28.59
Depreciation,40.07,39.21,45.93,52.32,46.38,45.4,45.5,61.09,45.25,78.92
Interest,36.32,43.03,64.49,64.42,52.8,37.3,41.03,87.83,99.63,152.03
Profit before tax,44.31,95.37,88.43,65.26,136.69,134.97,89.45,144.3,208.35,236.94
Tax,10.74,31.68,29.6,9.75,35.85,33.39,22.41,39.16,55.18,66.46
Net profit,33.57,63.69,58.84,55.5,100.85,101.58,67.04,105.14,153.17,170.48
Dividend Amount,8.56,8.56,8.56,5.71,11.42,,,12.95,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,810.68,748.7,806.23,731.94,1218.49,742.13,834.09,830.38,1157.3,1053.13
Expenses,752.31,710.93,742.5,653.21,1097.29,693.01,712.99,702.75,1017.59,909.71
Other Income,14.34,20.09,10.73,5.54,15.46,31.49,-19.29,8.34,8.21,11.83
Depreciation,15.47,12.71,10.77,11.24,10.53,12.58,22.17,21.49,22.68,29.84
Interest,24.8,17.65,20.88,26.17,34.94,29.77,30.21,38.19,52.27,39.96
Profit before tax,32.44,27.5,42.81,46.86,91.19,38.26,49.43,76.29,72.97,85.45
Tax,8.31,8.45,10.95,12.74,23.04,10.64,12.45,21.25,22.12,24.02
Net profit,24.13,19.05,31.86,34.12,68.15,27.62,36.98,55.04,50.85,61.43
Operating Profit,58.37,37.77,63.73,78.73,121.2,49.12,121.1,127.63,139.71,143.42
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,28.55,28.55,28.55,28.55,28.55,29.59,30.05,32.37,32.37,37.5
Reserves,569.73,623.64,673.48,717.81,806.33,912.59,1102.24,1372.5,1574.9,2049.04
Borrowings,447.07,367.73,243.91,293.83,295.56,56.95,300.64,325.92,476.22,627.98
Other Liabilities,311.04,677.7,648.25,786.98,655.47,820.77,427.31,684.36,1695.66,2306.09
Total,1356.39,1697.62,1594.19,1827.17,1785.91,1819.9,1860.24,2415.15,3779.15,5020.61
Net Block,345.56,355.41,396.42,368.31,336.7,318.33,552.76,605.03,643.15,864.08
Capital Work in Progress,5.28,63.0,2.76,3.56,1.01,19.88,14.45,30.54,133.41,325.78
Investments,103.84,102.87,102.35,102.32,102.92,102.3,0.32,227.98,25.95,70.77
Other Assets,901.71,1176.34,1092.66,1352.98,1345.28,1379.39,1292.71,1551.6,2976.64,3759.98
Total,1356.39,1697.62,1594.19,1827.17,1785.91,1819.9,1860.24,2415.15,3779.15,5020.61
Receivables,340.61,382.71,555.25,449.99,655.95,544.34,493.93,355.1,895.89,1009.78
Inventory,108.92,418.3,216.63,379.6,331.56,318.34,406.81,645.63,1268.54,1535.0
Cash & Bank,154.76,66.66,47.25,221.6,102.16,240.12,170.21,254.85,379.18,657.21
No. of Equity Shares,57103055.0,57103055.0,57103055.0,57103055.0,57103055.0,59179055.0,60103055.0,64735188.0,64735188.0,
New Bonus Shares,,,,,,,,,,
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-74.78,131.99,137.35,214.31,-59.89,450.94,-120.3,344.91,67.99,514.91
Cash from Investing Activity,20.59,-104.92,0.16,-46.34,4.26,-119.06,-135.49,-279.31,-41.33,-593.92
Cash from Financing Activity,41.2,-115.17,-138.03,-36.86,-63.1,-267.22,210.68,86.03,29.63,136.0
Net Cash Flow,-12.99,-88.1,-0.52,131.11,-118.74,64.65,-45.1,151.63,56.29,56.99
PRICE:,39.23,104.29,55.53,34.8,79.65,95.7,93.1,362.75,266.61,318.35
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,5.71,5.71,5.71,5.71,5.71,5.92,6.01,6.47,6.47,7.5
