COMPANY NAME,NUCLEUS SOFTWARE EXPORTS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,773.4,,,,,,,,,
Market Capitalization,2032.62,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,372.39,411.81,484.03,520.83,513.53,497.19,634.46,826.45,832.25,876.03
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,4.69,4.7,4.64,4.52,2.78,2.72,2.99,3.44,3.83,4.06
Other Mfr. Exp,3.13,13.51,16.51,19.18,10.72,12.35,14.22,15.31,18.0,29.15
Employee Cost,244.55,276.97,314.82,323.77,332.26,395.76,396.42,494.27,537.65,591.92
Selling and admin,56.11,51.82,57.22,68.14,39.66,45.52,60.67,87.64,101.98,119.9
Other Expenses,10.03,6.09,11.59,11.0,-1.34,3.81,3.39,5.39,2.44,5.43
Other Income,32.14,28.69,27.48,37.23,39.45,34.66,34.06,50.9,66.26,42.21
Depreciation,11.22,7.04,9.93,13.55,13.87,15.38,18.73,14.55,14.81,16.49
Interest,0.55,0.51,0.51,1.12,1.22,0.81,1.02,0.95,0.75,1.41
Profit before tax,74.25,79.86,96.29,116.78,153.81,55.5,171.08,255.8,219.05,149.88
Tax,8.09,17.31,21.75,27.79,35.86,14.59,43.29,64.2,56.05,33.14
Net profit,66.16,62.55,74.54,88.99,117.95,40.91,127.79,191.6,163.0,116.74
Dividend Amount,16.2,23.23,26.14,26.14,26.14,18.74,26.77,33.46,32.91,32.91
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,204.13,210.26,195.39,202.2,205.7,228.96,217.72,213.51,220.03,224.77
Expenses,156.48,152.04,166.45,170.49,172.5,154.46,183.74,190.1,186.81,189.81
Other Income,12,14.21,15.05,19.02,15.57,16.62,17.96,16.16,-3.73,11.82
Depreciation,3.52,3.78,3.88,3.94,3.58,3.41,3.4,3.83,4.33,4.93
Interest,0.21,0.23,0.2,0.19,0.19,0.17,0.24,0.33,0.5,0.34
Profit before tax,55.92,68.42,39.91,46.6,45.0,87.54,48.3,35.41,24.66,41.51
Tax,14.61,16.28,9.71,13.54,10.03,22.77,13.1,9.12,3.96,6.96
Net profit,41.31,52.14,30.2,33.06,34.97,64.77,35.2,26.29,20.7,34.55
Operating Profit,47.65,58.22,28.94,31.71,33.2,74.5,33.98,23.41,33.22,34.96
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,32.39,29.04,29.04,29.04,29.04,26.77,26.77,26.77,26.33,26.33
Reserves,502.57,432.26,479.51,531.84,642.98,466.83,583.89,750.67,787.89,881.12
Borrowings,,,,6.32,6.3,2.33,6.26,4.59,2.0,8.55
Other Liabilities,130.53,184.09,176.74,195.83,206.34,241.01,257.26,331.99,336.73,350.13
Total,665.49,645.39,685.29,763.03,884.66,736.94,874.18,1114.02,1152.95,1266.13
Net Block,47.96,48.34,47.19,56.74,49.88,58.83,50.49,58.52,61.04,89.07
Capital Work in Progress,0.32,,0.02,0.26,0.52,0.46,0.81,0.68,0.25,0.08
Investments,440.91,386.73,424.43,474.75,634.51,479.57,525.26,648.79,640.68,643.78
Other Assets,176.3,210.32,213.65,231.28,199.75,198.08,297.62,406.03,450.98,533.2
Total,665.49,645.39,685.29,763.03,884.66,736.94,874.18,1114.02,1152.95,1266.13
Receivables,60.93,79.06,71.13,90.24,85.71,83.19,174.63,166.16,137.41,121.12
Inventory,,,,,,,,,,
Cash & Bank,62.21,69.55,82.94,88.34,44.9,56.0,51.11,73.94,122.67,123.11
No. of Equity Shares,32383724.0,29040724.0,29040724.0,29040724.0,29040724.0,26773324.0,26773324.0,26773324.0,26328106.0,26328106.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,95.11,76.93,56.09,74.73,114.9,57.67,49.84,222.03,150.94,117.46
Cash from Investing Activity,-77.81,60.51,-27.87,-28.41,-126.06,158.69,-12.45,-196.56,-20.48,-51.41
Cash from Financing Activity,-1.29,-134.71,-25.98,-34.07,-13.34,-212.88,-22.65,-30.16,-125.8,-36.5
Net Cash Flow,16.01,2.73,2.24,12.25,-24.5,3.48,14.74,-4.69,4.66,29.55
PRICE:,246.2,400.85,339.9,179.65,481.15,414.2,639.3,1184.9,802.7,722.7
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.24,2.9,2.9,2.9,2.9,2.68,2.68,2.68,2.63,2.63
