COMPANY NAME,ASHIANA HOUSING LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,383.6,,,,,,,,,
Market Capitalization,3846.51,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,382.25,321.32,337.53,303.59,241.98,221.74,409.68,943.8,528.72,1143.01
Raw Material Cost,24.5,22.75,57.81,40.85,68.01,335.94,135.86,187.1,485.69,1242.69
Change in Inventory,65.76,-1.76,-12.14,-7.28,97.98,491.77,279.36,-16.51,747.92,421.98
Power and Fuel,2.61,3.31,3.57,3.97,2.18,2.56,2.24,3.3,3.16,
Other Mfr. Exp,260.76,165.2,147.49,179.52,201.76,304.41,425.2,515.23,629.92,
Employee Cost,34.12,35.87,37.07,36.48,34.67,41.37,51.76,63.7,73.05,90.73
Selling and admin,26.14,27.65,34.33,36.56,25.6,28.34,34.55,48.75,52.45,
Other Expenses,8.62,10.39,10.94,11.95,6.87,9.86,9.15,12.63,14.87,102.05
Other Income,14.77,13.61,13.09,-3.66,17.33,7.6,15.5,22.72,23.73,44.42
Depreciation,7.88,7.32,8.15,9.15,8.89,8.38,8.41,9.48,12.63,13.31
Interest,6.67,11.94,15.17,13.56,9.01,4.88,3.04,2.05,2.41,1.67
Profit before tax,91.48,48.74,23.95,-39.39,0.3,-14.63,34.33,107.77,26.19,158.96
Tax,24.47,10.51,10.17,-9.15,-1.42,-7.59,6.44,24.37,7.95,41.07
Net profit,67.01,38.23,13.78,-30.24,1.72,-7.04,27.88,83.4,18.24,117.89
Dividend Amount,2.56,2.56,2.56,3.07,4.09,9.21,5.12,15.08,15.08,25.12
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,184.47,289.67,123.09,54.54,133.17,217.91,292.76,165.57,361.86,322.81
Expenses,151.74,269.39,128.86,66.27,116.04,200.04,280.91,136.43,293.55,302.59
Other Income,4.77,7.29,5.42,4.99,1.76,11.56,9.95,10.6,11.49,12.37
Depreciation,2.55,2.45,2.71,3.1,3.4,3.42,3.29,3.39,3.36,3.27
Interest,0.35,0.34,1.51,0.65,0.53,-0.28,0.46,0.2,0.4,0.62
Profit before tax,34.6,24.78,-4.57,-10.49,14.96,26.29,18.05,36.15,76.04,28.7
Tax,6.8,7.4,0.88,-2.94,4.07,5.95,5.33,8.61,19.38,7.72
Net profit,27.8,17.38,-5.45,-7.55,10.89,20.34,12.72,27.54,56.66,20.98
Operating Profit,32.73,20.28,-5.77,-11.73,17.13,17.87,11.85,29.14,68.31,20.22
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.11,20.11,20.1
Reserves,702.19,745.32,761.34,729.3,730.32,715.57,739.23,750.09,743.82,839.36
Borrowings,88.73,137.9,162.86,123.72,67.73,174.05,183.93,148.14,276.12,323.13
Other Liabilities,408.97,328.2,249.31,299.02,520.67,953.85,1256.46,1483.61,2447.6,3101.12
Total,1220.36,1231.89,1193.98,1172.51,1339.19,1863.94,2200.09,2401.95,3487.65,4283.71
Net Block,86.08,120.71,121.22,130.06,97.81,92.83,73.92,101.36,128.36,110.44
Capital Work in Progress,0.12,,,0.33,,,2.63,0.13,,
Investments,174.12,158.5,128.0,65.9,86.06,138.27,101.22,107.97,205.8,285.89
Other Assets,960.04,952.68,944.76,976.22,1155.32,1632.84,2022.32,2192.49,3153.49,3887.38
Total,1220.36,1231.89,1193.98,1172.51,1339.19,1863.94,2200.09,2401.95,3487.65,4283.71
Receivables,23.89,25.45,22.78,31.99,27.12,24.82,33.03,40.05,39.92,42.71
Inventory,669.7,637.6,624.9,619.85,740.81,1247.0,1528.93,1526.29,2284.52,2701.39
Cash & Bank,52.58,41.55,63.82,92.92,153.69,127.12,156.26,230.81,393.4,625.08
No. of Equity Shares,102352099.0,102352099.0,102352099.0,102352099.0,102352099.0,102352099.0,102352099.0,100524857.0,100524857.0,
New Bonus Shares,,,,,,,,,,
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-39.32,-54.28,-10.34,28.4,121.13,-61.22,11.59,212.31,233.51,342.19
Cash from Investing Activity,-23.72,11.04,30.72,63.86,12.24,-46.57,31.94,-9.91,-123.17,-52.32
Cash from Financing Activity,14.69,32.21,1.89,-63.16,-72.61,81.22,-14.38,-127.85,52.25,-58.19
Net Cash Flow,-48.35,-11.03,22.27,29.1,60.76,-26.57,29.15,74.55,162.59,231.68
PRICE:,226.5,152.85,116.15,49.8,131.6,136.65,169.1,273.95,293.2,279.7
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.05,10.05,10.05
