COMPANY NAME,KRSNAA DIAGNOSTICS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,545.5,,,,,,,,,
Market Capitalization,1769.52,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,39.14,61.02,455.45,487.12,619.64,717.16,772.77
Raw Material Cost,,,,11.38,14.54,,,,,179.05
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,1.27,1.89,6.34,9.08,12.17,15.41,
Other Mfr. Exp,,,,0.19,0.34,75.73,96.03,164.18,184.18,
Employee Cost,,,,9.06,12.51,54.47,74.83,111.89,137.18,140.48
Selling and admin,,,,6.23,9.08,146.33,128.52,128.97,123.4,61.71
Other Expenses,,,,2.13,4.04,40.85,56.36,58.14,66.83,179.73
Other Income,,,,3.2,2.34,14.66,19.38,16.75,25.5,43.39
Depreciation,,,,6.44,11.58,41.39,53.78,74.55,88.32,90.46
Interest,,,,8.95,9.28,18.49,7.7,16.49,24.65,34.36
Profit before tax,,,,-3.31,0.1,86.51,80.2,70.0,102.69,130.37
Tax,,,,1.61,0.18,18.12,18.09,13.17,25.08,28.93
Net profit,,,,-4.92,-0.07,68.39,62.11,56.84,77.61,101.43
Dividend Amount,,,,,,7.85,8.64,8.08,8.88,6.49
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,158.32,166.28,170.23,186.34,174.51,186.08,192.98,205.99,181.2,192.6
Expenses,120.92,122.58,127.56,136.93,129.44,133.1,141.59,146.83,134.84,137.73
Other Income,4.08,4.34,7.32,4.59,9.24,4.39,3.96,4.18,3.77,31.5
Depreciation,21.23,18.12,21.47,22.2,22.7,21.96,21.63,23.59,22.66,22.59
Interest,4.15,7.32,5.32,6.39,6.13,6.81,6.3,8.19,7.79,12.08
Profit before tax,16.1,22.6,23.2,25.41,25.48,28.6,27.42,31.56,19.68,51.7
Tax,3.13,3.88,5.29,5.81,6.07,7.93,6.9,7.62,4.44,9.99
Net profit,12.97,18.73,17.92,19.6,19.42,20.68,20.52,23.95,15.25,41.72
Operating Profit,37.4,43.7,42.67,49.41,45.07,52.98,51.39,59.16,46.36,54.87
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,5.16,5.16,15.7,15.7,16.15,16.15,16.22
Reserves,,,,5.8,5.57,668.71,723.04,793.66,866.63,964.17
Borrowings,,,,130.93,101.77,40.99,32.48,159.79,203.53,534.31
Other Liabilities,,,,44.15,79.77,149.97,137.28,200.68,191.96,309.02
Total,,,,186.04,192.27,875.37,908.5,1170.28,1278.27,1823.72
Net Block,,,,74.02,130.7,385.69,470.68,647.16,670.38,656.47
Capital Work in Progress,,,,20.05,5.78,28.26,25.48,9.85,2.96,208.07
Investments,,,,0.53,0.57,0.29,0.29,0.29,31.54,57.43
Other Assets,,,,91.44,55.22,461.13,412.05,512.98,573.39,901.75
Total,,,,186.04,192.27,875.37,908.5,1170.28,1278.27,1823.72
Receivables,,,,8.44,14.11,57.87,73.1,176.29,277.75,295.51
Inventory,,,,0.67,0.95,9.17,25.07,35.81,29.48,26.66
Cash & Bank,,,,37.72,7.2,241.88,108.8,175.19,68.44,360.72
No. of Equity Shares,,,,5162100.0,5162100.0,31397613.0,31397613.0,32289763.0,32289763.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,-22.55,64.02,128.42,76.3,24.35,87.33,143.1
Cash from Investing Activity,,,,-46.53,-53.98,-240.64,-108.89,-128.88,-99.61,-395.99
Cash from Financing Activity,,,,105.41,-40.57,175.99,-33.15,84.19,13.75,279.27
Net Cash Flow,,,,36.33,-30.53,63.78,-65.73,-20.35,1.47,26.38
PRICE:,,,,,,488.7,460.2,614.6,787.9,520.3
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.52,0.52,3.14,3.14,3.23,3.23,3.24
