COMPANY NAME,MAX ESTATES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,386.85,,,,,,,,,
Market Capitalization,6325.5,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,69.29,107.34,92.94,160.49,199.45
Raw Material Cost,,,,,,,10.16,,2.68,3.84
Change in Inventory,,,,,,-18.51,-11.39,,-1.87,
Power and Fuel,,,,,,,2.51,3.4,5.77,
Other Mfr. Exp,,,,,,0.75,2.59,6.64,4.53,
Employee Cost,,,,,,3.52,16.08,13.14,18.77,33.26
Selling and admin,,,,,,13.89,31.36,49.51,74.93,69.36
Other Expenses,,,,,,1.97,1.58,2.48,7.54,69.27
Other Income,,,,,,4.65,23.94,-17.12,89.19,97.35
Depreciation,,,,,,10.68,14.91,25.4,34.1,32.41
Interest,,,,,,16.17,18.62,42.99,61.87,65.41
Profit before tax,,,,,,8.45,22.08,-67.74,37.62,23.25
Tax,,,,,,3.53,3.61,-12.62,11.19,7.56
Net profit,,,,,,5.0,19.01,-42.16,40.81,12.51
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,24.17,30.01,40.49,40.18,40.04,39.78,51.47,48.77,49.77,49.43
Expenses,17.9,22.2,25.26,31.64,28.47,30.72,37.56,38.68,46.84,52.63
Other Income,6.3,8.55,7.21,12.6,31.85,37.52,28.66,25.86,21.68,21.15
Depreciation,6.89,8.45,8.77,8.41,8.16,8.76,8.41,8.04,8.02,7.93
Interest,13.88,14.21,16.55,13.94,14.83,16.55,17.32,16.28,15.63,16.19
Profit before tax,-8.2,-6.3,-2.88,-1.21,20.43,21.27,16.84,11.63,0.96,-6.17
Tax,-0.69,-1.57,-0.88,0.17,4.62,7.28,4.9,3.82,0.93,-2.09
Net profit,-3.14,-1.45,1.57,2.15,19.75,17.34,11.45,7.27,-1.19,-5.01
Operating Profit,6.27,7.81,15.23,8.54,11.57,9.06,13.91,10.09,2.93,-3.2
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,77.91,,147.13,161.0,163.45
Reserves,,,,,,530.96,1211.2,1023.77,2117.47,2256.46
Borrowings,,,,,,315.12,861.64,961.75,1656.17,2411.87
Other Liabilities,,,,,,100.95,143.52,961.32,3294.84,7605.42
Total,,,,,,1024.94,2216.36,3093.97,7229.48,12437.2
Net Block,,,,,,897.92,1427.42,1825.84,2046.81,2522.82
Capital Work in Progress,,,,,,,,0.27,,
Investments,,,,,,12.74,159.6,92.66,587.13,385.36
Other Assets,,,,,,114.28,629.34,1175.2,4595.54,9529.02
Total,,,,,,1024.94,2216.36,3093.97,7229.48,12437.2
Receivables,,,,,,1.93,5.78,8.01,14.5,12.27
Inventory,,,,,,13.76,386.92,532.87,2285.0,6888.06
Cash & Bank,,,,,,48.39,41.37,259.98,1083.36,615.03
No. of Equity Shares,,,,,,77910000.0,,147134544.0,161000084.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10.0,,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,40.71,-456.35,270.7,225.01,-615.65
Cash from Investing Activity,,,,,,-120.95,-52.14,-291.66,-1993.08,-291.19
Cash from Financing Activity,,,,,,77.98,521.29,234.07,1766.36,879.03
Net Cash Flow,,,,,,-2.26,12.79,213.11,-1.72,-27.81
PRICE:,,,,,,,,275.9,389.2,308.75
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,14.71,16.1,16.34
