COMPANY NAME,MAX INDIA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,182.45,,,,,,,,,
Market Capitalization,959.44,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,213.22,127.93,233.31,211.76,190.55,162.6,190.56
Raw Material Cost,,,,2.57,1.45,4.71,4.37,13.23,43.23,51.32
Change in Inventory,,,,-46.49,-12.52,-119.24,-79.24,-44.96,10.57,-1.41
Power and Fuel,,,,2.29,1.97,2.8,3.35,3.6,4.79,
Other Mfr. Exp,,,,5.37,3.56,8.12,14.41,8.92,9.96,
Employee Cost,,,,107.89,89.55,60.38,57.74,82.3,100.66,94.76
Selling and admin,,,,47.31,35.31,29.34,35.27,77.84,122.02,-3.95
Other Expenses,,,,54.31,5.89,7.92,7.14,-2.09,-6.2,156.84
Other Income,,,,325.22,-6.69,-1.46,1.43,4.0,-10.41,27.58
Depreciation,,,,8.34,10.37,7.09,8.45,10.15,18.82,25.1
Interest,,,,27.09,24.4,10.28,6.23,4.67,8.06,13.63
Profit before tax,,,,236.78,-63.78,-18.03,-3.01,-49.03,-138.58,-120.97
Tax,,,,5.22,-10.66,-1.9,7.38,7.35,1.81,0.88
Net profit,,,,297.06,-53.12,-16.14,-10.38,-56.38,-140.39,-121.85
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,40.69,45.04,26.46,42.77,34.74,41.52,36.67,45.16,43.1,65.63
Expenses,58.03,65.75,54.4,63.92,64.38,82.34,64.59,76.17,78.82,80.64
Other Income,4.52,4.64,6.49,5.46,-7.7,3.6,12.55,4.98,3.84,6.21
Depreciation,2.43,2.98,3.93,4.61,5.03,5.25,5.77,5.94,6.09,7.3
Interest,1.36,1.26,1.49,1.7,2.04,2.83,3.52,4.06,3.45,2.76
Profit before tax,-16.61,-20.31,-26.87,-22.0,-44.41,-45.3,-24.66,-36.03,-41.42,-18.86
Tax,1.29,1.26,0.1,0.73,0.19,0.79,0.98,-1.96,1.43,0.43
Net profit,-17.9,-21.57,-26.97,-22.73,-44.6,-46.09,-25.64,-34.07,-42.85,-19.29
Operating Profit,-17.34,-20.71,-27.94,-21.15,-29.64,-40.82,-27.92,-31.01,-35.72,-15.01
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,53.79,53.79,53.79,43.03,43.17,43.59,52.52
Reserves,,,,651.79,599.41,587.59,499.08,449.17,315.1,355.78
Borrowings,,,,182.31,144.84,60.76,45.29,43.56,102.3,96.8
Other Liabilities,,,,135.98,198.19,156.18,166.0,148.45,171.86,164.15
Total,,,,1023.87,996.23,858.32,753.4,684.35,632.85,669.25
Net Block,,,,144.46,156.37,159.21,159.19,192.99,169.81,194.5
Capital Work in Progress,,,,0.53,,,,9.68,20.69,2.28
Investments,,,,413.61,333.54,177.57,83.46,63.46,53.33,33.97
Other Assets,,,,465.27,506.32,521.54,510.75,418.22,389.02,438.5
Total,,,,1023.87,996.23,858.32,753.4,684.35,632.85,669.25
Receivables,,,,14.08,7.42,5.71,2.86,4.94,22.2,37.1
Inventory,,,,226.12,249.37,130.36,51.01,6.13,16.64,15.52
Cash & Bank,,,,12.23,24.11,23.34,92.93,209.02,109.52,77.07
No. of Equity Shares,,,,53786261.0,53786261.0,53786261.0,43029009.0,43170768.0,43589333.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,-18.98,72.67,66.5,69.42,-102.34,-127.6,-94.72
Cash from Investing Activity,,,,-525.76,12.52,17.5,124.07,158.64,46.82,-49.72
Cash from Financing Activity,,,,556.98,-73.31,-93.94,-118.54,-29.0,-12.55,148.32
Net Cash Flow,,,,12.23,11.88,-9.94,74.94,27.3,-93.34,3.88
PRICE:,,,,,60.6,69.62,76.94,190.91,174.27,122.85
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.01,6.4,6.4,5.12,5.14,5.19,5.25
