COMPANY NAME,HARSHA ENGINEERS INTERNATIONAL LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,427.45,,,,,,,,,
Market Capitalization,3885.73,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,885.85,873.75,1321.48,1364.02,1392.3,1407.65,1626.79
Raw Material Cost,,,,448.01,434.06,799.16,733.73,779.05,728.83,875.84
Change in Inventory,,,,-10.1,19.34,59.47,-2.14,1.81,-9.85,26.84
Power and Fuel,,,,30.31,30.89,41.28,47.57,38.59,39.03,36.66
Other Mfr. Exp,,,,91.21,87.67,137.32,146.82,153.2,155.59,192.83
Employee Cost,,,,149.03,146.38,145.15,156.19,169.05,181.55,215.0
Selling and admin,,,,61.21,59.85,80.35,81.44,73.87,77.89,85.28
Other Expenses,,,,9.58,12.26,8.62,6.37,9.19,39.82,8.27
Other Income,,,,13.23,2.84,17.48,29.32,29.68,9.9,38.42
Depreciation,,,,35.24,34.11,35.36,36.12,39.32,40.54,46.66
Interest,,,,32.8,29.99,24.56,15.84,10.77,8.77,16.26
Profit before tax,,,,31.59,60.72,126.63,167.12,150.75,135.68,215.25
Tax,,,,9.67,15.28,34.68,43.84,39.32,46.37,60.05
Net profit,,,,21.91,45.44,91.95,123.28,111.43,89.31,155.2
Dividend Amount,,,,,,,9.1,9.1,9.1,13.66
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,324.45,380.4,343.16,352.58,338.94,372.97,365.29,378.34,409.25,473.91
Expenses,284.7,325.86,287.99,310.74,296.17,337.81,309.86,324.83,351.94,400.5
Other Income,11.09,7.75,7.9,12.08,6.72,-16.65,10.73,10.45,6.79,10.54
Depreciation,10.02,9.98,10.21,10.39,10.08,9.86,10.53,11.34,12.03,12.76
Interest,2.84,2.83,2.56,2.62,2.13,1.46,2.57,3.05,4.84,5.8
Profit before tax,37.98,49.48,50.3,40.91,37.28,7.19,53.06,49.57,47.23,65.39
Tax,8.3,12.7,14.25,11.95,10.59,9.58,15.13,13.13,13.63,18.16
Net profit,29.68,36.78,36.05,28.96,26.69,-2.39,37.93,36.44,33.6,47.23
Operating Profit,39.75,54.54,55.17,41.84,42.77,35.16,55.43,53.51,57.31,73.41
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,50.0,50.0,77.25,91.04,91.04,91.04,91.04
Reserves,,,,321.98,377.18,444.61,980.73,1084.24,1163.1,1310.65
Borrowings,,,,419.14,356.67,384.86,182.19,176.67,200.46,372.16
Other Liabilities,,,,197.03,197.21,251.54,191.18,214.65,236.46,293.03
Total,,,,988.15,981.06,1158.26,1445.14,1566.6,1691.06,2066.88
Net Block,,,,333.79,342.41,355.7,386.67,417.77,413.93,660.47
Capital Work in Progress,,,,3.39,3.34,2.1,11.62,15.15,161.4,18.52
Investments,,,,6.61,9.28,6.47,194.18,234.08,305.24,473.21
Other Assets,,,,644.36,626.03,793.99,852.67,899.6,810.49,914.68
Total,,,,988.15,981.06,1158.26,1445.14,1566.6,1691.06,2066.88
Receivables,,,,238.66,213.88,282.75,280.37,318.93,302.59,377.96
Inventory,,,,231.93,267.55,375.72,376.88,353.66,333.86,393.98
Cash & Bank,,,,57.13,45.3,39.3,133.59,121.61,76.18,44.98
No. of Equity Shares,,,,50000000.0,50000000.0,77248410.0,91044105.0,91044105.0,91044105.0,91044105.0
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,112.91,121.16,36.46,137.03,135.79,206.34,68.49
Cash from Investing Activity,,,,-51.15,-19.96,-51.83,-311.74,-157.8,-211.79,-197.19
Cash from Financing Activity,,,,-38.25,-92.43,3.73,215.74,-25.43,5.91,146.33
Net Cash Flow,,,,23.51,8.77,-11.64,41.03,-47.44,0.46,17.63
PRICE:,,,,,,,335.05,401.1,371.7,314.25
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,5.0,5.0,7.72,9.1,9.1,9.1,9.1
