COMPANY NAME,PRECISION CAMSHAFTS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,143.29,,,,,,,,,
Market Capitalization,1358.39,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,442.3,421.29,695.21,746.23,708.98,895.02,1080.14,1031.14,865.36,772.88
Raw Material Cost,130.6,127.91,242.8,291.97,289.99,400.96,499.55,376.42,269.15,267.3
Change in Inventory,-7.22,-5.5,14.81,13.83,7.06,42.55,19.32,-27.97,-29.81,1.73
Power and Fuel,48.89,49.85,64.58,72.16,63.66,77.64,98.13,96.58,85.81,83.77
Other Mfr. Exp,53.37,61.0,100.89,94.92,87.65,107.47,133.15,167.45,54.18,53.03
Employee Cost,63.26,58.17,121.5,135.45,143.15,158.45,179.04,191.49,171.85,139.65
Selling and admin,30.68,33.2,41.37,43.52,42.57,57.63,66.84,58.6,48.26,43.45
Other Expenses,8.8,5.88,14.03,10.34,27.58,21.27,12.12,12.06,124.5,118.71
Other Income,42.2,39.75,-9.89,19.29,41.0,46.12,33.11,49.52,66.86,62.16
Depreciation,37.36,45.45,78.0,86.42,79.32,92.03,75.23,81.58,57.35,45.45
Interest,7.15,5.18,8.72,9.09,7.64,7.29,8.23,8.34,8.17,6.81
Profit before tax,97.17,68.9,28.24,35.48,15.48,60.95,60.28,60.17,83.14,78.6
Tax,30.58,22.8,21.17,9.84,16.26,14.92,14.0,19.82,29.03,27.35
Net profit,66.59,46.09,11.52,34.96,2.29,46.02,46.29,40.35,54.11,51.25
Dividend Amount,14.22,9.49,9.5,9.02,9.5,10.45,9.5,9.5,9.5,9.5
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,257.71,256.19,255.32,225.07,194.55,190.43,195.0,198.18,178.68,201.01
Expenses,229.48,234.52,231.06,202.26,186.4,164.79,180.43,185.04,164.26,174.67
Other Income,31.51,5.61,7.81,13.76,2.19,44.02,27.39,19.29,8.25,7.47
Depreciation,21.35,20.25,15.22,15.12,13.33,13.68,12.82,12.25,10.25,10.13
Interest,2.36,2.21,1.92,1.78,1.53,2.93,1.92,1.93,1.23,1.74
Profit before tax,36.03,4.82,14.93,19.67,-4.52,53.05,27.22,18.25,11.19,21.94
Tax,11.57,1.47,3.3,11.27,1.85,12.61,8.4,5.08,1.98,11.89
Net profit,24.46,3.35,11.62,8.4,-6.36,40.44,18.82,13.16,9.21,10.06
Operating Profit,28.23,21.67,24.26,22.81,8.15,25.64,14.57,13.14,14.42,26.34
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,94.79,94.88,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99
Reserves,463.73,486.61,510.26,523.13,547.79,586.67,621.54,653.36,697.51,740.63
Borrowings,110.82,107.43,168.52,199.52,175.7,136.36,104.68,110.11,120.37,54.31
Other Liabilities,111.94,195.92,256.25,213.84,201.58,239.11,280.95,178.3,163.96,157.84
Total,781.28,884.84,1030.02,1031.48,1020.06,1057.13,1102.16,1036.76,1076.83,1047.77
Net Block,215.6,348.68,489.88,444.02,426.49,360.05,310.86,324.76,286.37,307.09
Capital Work in Progress,8.9,8.6,25.75,34.14,8.8,34.18,81.72,27.68,58.31,64.89
Investments,116.61,154.47,99.98,130.38,196.42,194.26,177.44,225.1,319.61,356.68
Other Assets,440.17,373.09,414.41,422.94,388.35,468.64,532.14,459.22,412.54,319.11
Total,781.28,884.84,1030.02,1031.48,1020.06,1057.13,1102.16,1036.76,1076.83,1047.77
Receivables,105.23,111.38,141.5,171.95,154.29,164.12,206.25,175.53,164.64,125.32
Inventory,33.4,58.92,105.73,140.93,124.2,192.75,224.53,143.69,113.92,82.12
Cash & Bank,256.98,168.35,89.31,56.41,67.32,51.93,60.51,89.11,93.62,76.27
No. of Equity Shares,94794530.0,94876635.0,94985835.0,94985835.0,94985835.0,94985835.0,94985835.0,94985835.0,94985835.0,94985835.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,64.23,103.09,40.24,57.51,119.9,87.55,103.12,130.93,143.47,120.08
Cash from Investing Activity,-2.26,-21.99,-33.03,-56.68,-84.94,-39.49,-36.98,-93.77,-123.73,-71.73
Cash from Financing Activity,-66.76,-70.8,-10.3,3.34,-36.64,-61.41,-59.94,-12.51,-14.24,-58.02
Net Cash Flow,-4.79,10.3,-3.09,4.17,-1.68,-13.35,6.2,24.65,5.49,-9.67
PRICE:,139.0,102.95,59.05,24.8,39.7,132.55,95.2,197.55,172.62,105.09
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,9.48,9.49,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
