COMPANY NAME,SHIVALIK BIMETAL CONTROLS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,1155.4,,,,,,,,,
Market Capitalization,6655.58,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,118.66,157.86,193.39,187.22,203.72,323.99,470.37,508.93,508.35,570.86
Raw Material Cost,64.88,89.53,108.66,97.82,112.89,172.06,262.62,297.24,289.58,324.83
Change in Inventory,2.84,7.9,12.78,-9.36,11.61,11.0,17.46,14.43,0.27,12.06
Power and Fuel,1.91,2.02,2.04,2.06,2.16,2.9,4.52,5.69,5.87,6.48
Other Mfr. Exp,6.64,6.5,8.0,7.19,13.5,15.14,19.76,21.31,27.41,27.72
Employee Cost,12.41,14.48,16.92,20.02,22.23,27.11,38.16,42.74,43.3,54.16
Selling and admin,15.93,26.72,33.55,28.96,27.43,43.03,52.03,47.74,35.55,34.46
Other Expenses,1.0,0.88,1.42,1.04,0.99,1.27,1.78,2.35,3.14,4.2
Other Income,2.04,4.91,7.3,5.34,5.72,8.96,10.94,22.45,14.47,14.36
Depreciation,4.54,4.62,4.85,6.01,5.9,6.38,10.55,12.05,11.78,13.82
Interest,2.54,3.31,3.58,2.94,1.63,2.76,7.04,4.93,3.75,4.69
Profit before tax,13.69,22.61,34.45,17.16,34.32,73.3,102.31,111.76,102.71,126.92
Tax,5.48,6.09,9.83,3.71,8.84,18.19,23.21,27.49,25.65,31.06
Net profit,8.22,16.53,24.63,13.45,25.49,55.11,79.1,84.27,77.06,95.86
Dividend Amount,0.96,2.3,2.3,1.15,2.3,3.84,6.91,9.79,15.55,23.04
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,127.76,125.98,126.65,123.28,132.44,136.6,137.4,134.23,162.63,182.2
Expenses,105.98,102.28,99.68,98.73,103.95,104.64,106.33,102.03,127.17,138.98
Other Income,15.85,3.65,3.29,3.65,3.93,2.72,5.87,2.18,3.97,5.87
Depreciation,3.1,2.84,2.87,3.0,3.07,3.27,3.36,3.53,3.65,3.96
Interest,1.14,0.99,0.82,0.86,1.07,1.02,1.14,1.33,1.2,1.3
Profit before tax,33.39,23.52,26.57,24.34,28.28,30.39,32.44,29.52,34.58,43.83
Tax,7.71,5.7,6.63,6.1,7.23,7.61,7.58,7.34,8.53,10.83
Net profit,25.68,17.82,19.94,18.24,21.05,22.78,24.85,22.18,26.05,33.01
Operating Profit,21.78,23.7,26.97,24.55,28.49,31.96,31.07,32.2,35.46,43.22
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,3.84,7.68,7.68,7.68,7.68,7.68,11.52,11.52,11.52,11.52
Reserves,64.58,75.31,97.12,107.56,131.82,183.92,253.98,329.99,394.14,469.83
Borrowings,28.64,35.9,44.77,24.85,29.24,57.94,58.66,42.48,41.96,71.14
Other Liabilities,18.46,28.01,26.89,22.55,52.13,58.27,65.57,58.78,60.3,83.48
Total,115.52,146.9,176.46,162.64,220.87,307.81,389.73,442.77,507.92,635.97
Net Block,43.1,45.2,45.3,45.41,45.64,78.97,117.53,119.55,136.96,149.56
Capital Work in Progress,4.47,4.72,5.99,17.54,24.79,7.55,6.71,14.17,23.98,34.86
Investments,6.99,7.75,10.66,11.33,13.01,16.54,7.86,11.17,12.85,16.21
Other Assets,60.96,89.23,114.51,88.36,137.43,204.75,257.63,297.88,334.13,435.34
Total,115.52,146.9,176.46,162.64,220.87,307.81,389.73,442.77,507.92,635.97
Receivables,26.42,33.59,34.58,30.95,42.82,59.28,93.22,113.74,111.49,155.55
Inventory,26.07,40.6,69.27,50.52,70.14,114.88,131.97,127.94,131.23,153.03
Cash & Bank,1.09,0.35,0.49,0.42,15.93,11.82,17.91,38.89,79.04,104.7
No. of Equity Shares,19201400.0,38402800.0,38402800.0,38402800.0,38402800.0,38402800.0,57604200.0,57604200.0,57604200.0,57604200.0
New Bonus Shares,,,,,,,19201400.0,,,
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,11.73,5.64,3.76,41.24,29.84,-3.48,65.82,68.51,93.59,54.89
Cash from Investing Activity,-3.1,-7.09,-7.08,-14.45,-14.72,-24.18,-40.52,-41.47,-57.53,-68.41
Cash from Financing Activity,-16.57,1.49,3.49,-26.91,0.27,22.87,-18.49,-29.21,-26.34,-0.42
Net Cash Flow,-7.94,0.05,0.17,-0.12,15.39,-4.79,6.81,-2.17,9.71,-13.95
PRICE:,21.17,75.13,92.2,14.27,56.8,342.4,513.45,519.35,462.05,387.85
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76
