COMPANY NAME,ECLERX SERVICES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1970.0,,,,,,,,,
Market Capitalization,18528.01,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1330.03,1365.06,1430.59,1437.57,1564.49,2160.35,2647.9,2925.54,3365.87,4117.03
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,10.02,9.37,10.64,9.36,8.75,9.61,13.38,16.27,19.82,17.15
Other Mfr. Exp,63.84,79.7,82.25,67.07,61.84,122.23,147.29,112.27,146.05,176.1
Employee Cost,593.61,692.54,787.07,854.45,885.56,1195.76,1509.76,1738.62,2065.92,2524.73
Selling and admin,183.77,204.89,230.33,169.91,136.48,164.36,246.33,271.87,300.43,332.42
Other Expenses,17.52,11.06,11.45,10.63,22.33,6.34,7.86,10.75,24.34,13.3
Other Income,27.93,61.43,48.59,45.42,34.1,24.39,65.91,63.8,86.53,101.18
Depreciation,51.8,48.24,44.69,70.9,81.59,103.19,114.01,125.77,141.19,175.37
Interest,1.57,1.17,1.27,20.16,21.42,22.76,22.19,24.45,36.12,44.02
Profit before tax,435.83,379.52,311.48,280.51,380.62,560.49,652.99,689.34,718.53,935.12
Tax,81.91,89.58,83.17,71.55,97.8,142.73,163.8,177.61,177.27,228.65
Net profit,354.03,289.98,228.26,208.98,282.56,417.4,488.82,511.46,541.09,706.21
Dividend Amount,3.97,3.81,3.78,3.61,3.4,3.31,4.8,4.82,4.7,9.2
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,766.53,781.92,831.84,853.82,898.29,934.56,1004.85,1070.33,1107.29,1152.36
Expenses,571.0,615.55,616.18,646.34,679.71,710.47,733.78,794.07,823.88,887.12
Other Income,23.05,20.91,13.12,20.58,31.92,10.55,27.24,30.07,29.94,17.86
Depreciation,33.53,31.65,32.8,35.78,40.96,36.9,42.5,46.31,49.66,49.61
Interest,5.58,7.72,8.12,8.28,10.78,9.69,10.8,9.91,11.74,14.88
Profit before tax,179.47,147.91,187.86,184.0,198.76,188.05,245.01,250.11,251.95,218.61
Tax,49.58,35.87,48.36,46.8,46.24,46.5,61.54,58.3,62.3,54.37
Net profit,130.53,111.61,140.25,137.07,152.16,141.68,183.19,191.98,189.36,164.34
Operating Profit,195.53,166.37,215.66,207.48,218.58,224.09,271.07,276.26,283.41,265.24
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,39.71,38.14,37.79,36.1,34.01,33.1,48.03,48.23,46.96,92.03
Reserves,1175.64,1166.61,1343.51,1270.12,1466.81,1534.49,1666.84,2199.27,2258.8,2469.37
Borrowings,1.06,6.34,1.67,156.6,174.73,163.12,193.56,265.74,358.13,384.95
Other Liabilities,181.73,207.8,201.01,260.2,315.0,324.48,365.47,406.15,475.04,744.29
Total,1398.14,1418.89,1583.98,1723.02,1990.55,2055.19,2273.9,2919.39,3138.93,3690.64
Net Block,325.06,343.43,347.91,479.74,728.03,712.56,772.51,842.95,973.92,1053.95
Capital Work in Progress,1.85,0.09,0.17,0.8,0.48,2.17,20.82,0.77,0.19,4.92
Investments,251.64,165.27,286.26,436.79,228.62,195.88,274.51,406.5,309.02,307.85
Other Assets,819.59,910.1,949.64,805.69,1033.42,1144.58,1206.06,1669.17,1855.8,2323.92
Total,1398.14,1418.89,1583.98,1723.02,1990.55,2055.19,2273.9,2919.39,3138.93,3690.64
Receivables,213.83,232.85,242.59,237.78,293.02,329.27,440.49,496.0,789.88,1014.34
Inventory,0.25,0.44,0.36,0.3,0.32,0.52,0.45,0.65,0.23,0.62
Cash & Bank,355.66,440.27,451.55,334.5,490.86,493.64,427.93,692.09,739.13,737.99
No. of Equity Shares,39709058.0,38141422.0,37790235.0,36099796.0,34005981.0,33098094.0,48033979.0,48232242.0,46960349.0,92030352.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,312.43,305.0,206.16,332.8,364.57,443.96,492.57,525.89,654.62,873.47
Cash from Investing Activity,-175.38,26.31,-229.69,24.38,-1.8,43.66,-54.8,-483.44,142.73,-96.83
Cash from Financing Activity,-245.29,-303.51,-53.87,-308.24,-188.31,-416.34,-440.07,-106.51,-609.6,-621.57
Net Cash Flow,-108.25,27.8,-77.41,48.94,174.46,71.28,-2.3,-64.05,187.74,155.07
PRICE:,470.17,400.5,382.55,121.8,367.67,790.4,645.2,1183.65,1388.5,1387.2
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,11.94,11.6,11.61,11.1,10.47,10.16,9.81,9.81,9.53,9.41
