COMPANY NAME,MPS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,2635.0,,,,,,,,,
Market Capitalization,4507.39,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,288.7,267.03,362.54,331.65,422.55,448.88,501.05,545.31,726.89,768.36
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,5.34,4.96,5.26,5.39,4.26,3.57,3.76,3.57,3.58,3.64
Other Mfr. Exp,37.81,33.55,58.53,49.9,72.41,78.98,84.55,85.45,125.99,138.61
Employee Cost,122.09,112.29,165.31,165.88,202.85,202.07,213.35,243.97,328.58,320.56
Selling and admin,20.72,20.69,32.16,25.2,27.93,28.74,34.12,33.77,44.74,59.26
Other Expenses,9.34,8.48,7.76,6.18,8.15,9.24,8.51,8.66,13.11,10.45
Other Income,15.2,22.98,25.09,19.84,9.7,14.09,10.77,12.21,18.43,23.23
Depreciation,5.88,8.05,11.07,15.37,21.22,20.88,19.49,19.98,27.41,27.77
Interest,0.17,0.13,0.19,2.15,2.04,1.53,1.11,0.86,0.78,2.01
Profit before tax,102.55,101.86,107.35,81.42,93.39,117.96,146.93,161.26,201.13,229.29
Tax,32.13,31.66,31.31,21.56,34.83,30.83,37.74,42.49,52.22,56.06
Net profit,70.42,70.21,76.04,59.86,58.56,87.12,109.19,118.77,148.91,173.22
Dividend Amount,,22.34,46.55,93.1,,51.33,34.22,128.32,142.01,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,149.42,180.72,177.7,186.36,182.11,186.28,194.44,182.49,205.16,224.24
Expenses,106.66,139.67,124.2,126.02,126.1,135.99,133.97,124.91,137.65,147.28
Other Income,2.51,2.05,1.58,1.78,13.01,6.5,15.09,-5.29,6.92,2.91
Depreciation,5.66,6.84,6.82,6.87,6.88,7.01,6.1,6.3,8.36,8.91
Interest,0.35,0.18,0.2,0.16,0.24,0.28,0.29,0.28,1.16,1.13
Profit before tax,39.26,36.08,48.06,55.09,61.9,49.5,69.17,45.71,64.91,69.83
Tax,10.55,10.19,12.82,14.38,14.83,14.26,13.73,10.21,17.87,19.44
Net profit,28.71,25.89,35.24,40.71,47.07,35.24,55.44,35.5,47.04,50.39
Operating Profit,42.76,41.05,53.5,60.34,56.01,50.29,60.47,57.58,67.51,76.96
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,18.62,18.62,18.62,18.62,18.05,17.11,17.11,17.11,17.11,17.11
Reserves,329.28,400.06,452.54,348.29,363.07,349.77,406.6,442.71,461.33,579.22
Borrowings,,,,18.84,18.35,11.98,7.57,4.54,3.69,60.63
Other Liabilities,33.51,32.59,65.39,57.45,107.14,117.73,119.37,271.24,187.93,255.06
Total,381.41,451.27,536.55,443.2,506.61,496.59,550.65,735.6,670.06,912.02
Net Block,48.59,48.78,102.86,115.0,154.36,143.58,172.6,387.9,342.85,539.65
Capital Work in Progress,,,0.18,0.03,,,,1.2,2.99,0.21
Investments,205.99,288.0,212.05,85.72,12.15,5.85,27.82,30.0,21.47,24.66
Other Assets,126.83,114.49,221.46,242.45,340.1,347.16,350.23,316.5,302.75,347.5
Total,381.41,451.27,536.55,443.2,506.61,496.59,550.65,735.6,670.06,912.02
Receivables,60.1,46.15,68.71,62.28,90.54,85.7,86.6,102.92,116.58,133.48
Inventory,,,,,,,,,,
Cash & Bank,16.77,22.99,76.68,94.46,102.63,132.83,157.54,115.37,84.29,94.55
No. of Equity Shares,18616926.0,18616926.0,18616926.0,18616926.0,18050260.0,17105816.0,17105816.0,17105816.0,17105816.0,17105816.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,44.67,77.58,53.63,52.74,99.37,114.88,112.82,118.04,100.9,196.8
Cash from Investing Activity,-42.05,-71.31,-2.08,156.75,-61.55,15.58,-64.2,25.32,-5.26,-132.13
Cash from Financing Activity,-0.15,-0.05,-27.02,-175.31,-52.93,-115.51,-70.1,-93.37,-140.23,-51.53
Net Cash Flow,2.48,6.22,24.53,34.18,-15.11,14.94,-21.47,50.0,-44.59,13.14
PRICE:,688.7,495.7,476.8,209.25,462.9,589.95,1061.9,1533.3,2848.7,1491.2
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.86,1.86,1.86,1.86,1.81,1.71,1.71,1.71,1.71,1.71
