COMPANY NAME,UGRO CAPITAL LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,98.01,,,,,,,,,
Market Capitalization,1521.98,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,,,2026-03-31 00:00:00
Sales,,,,,,,,,,1960.35
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,,,,,,37.64
Employee Cost,,,,,,,,,,298.5
Selling and admin,,,,,,,,,,147.72
Other Expenses,,,,,,,,,,269.13
Other Income,,,,,,,,,,60.76
Depreciation,,,,,,,,,,70.33
Interest,,,,,,,,,,954.29
Profit before tax,,,,,,,,,,243.5
Tax,,,,,,,,,,68.69
Net profit,,,,,,,,,,174.81
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,,,,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,,,,461.09,606.57
Expenses,,,,,,,,,182.3,247.78
Other Income,,,,,,,,,45.29,25.15
Depreciation,,,,,,,,,14.39,29.02
Interest,,,,,,,,,246.7,283.68
Profit before tax,,,,,,,,,62.99,71.24
Tax,,,,,,,,,16.72,20.13
Net profit,,,,,,,,,46.27,51.11
Operating Profit,,,,,,,,,278.79,358.79
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,,,2026-03-31 00:00:00
Equity Share Capital,,,,,,,,,,152.82
Reserves,,,,,,,,,,2753.2
Borrowings,,,,,,,,,,10782.29
Other Liabilities,,,,,,,,,,386.71
Total,,,,,,,,,,14075.02
Net Block,,,,,,,,,,511.64
Capital Work in Progress,,,,,,,,,,24.03
Investments,,,,,,,,,,737.38
Other Assets,,,,,,,,,,12801.97
Total,,,,,,,,,,14075.02
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,,,,,,,,,,1824.88
No. of Equity Shares,,,,,,,,,,152815503.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,,,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,,,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,,,,213.53
Cash from Investing Activity,,,,,,,,,,-1964.3
Cash from Financing Activity,,,,,,,,,,2750.98
Net Cash Flow,,,,,,,,,,1000.21
PRICE:,,,,,,,,,,81.3
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,,15.53
