COMPANY NAME,RACL GEARTECH LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1267.3,,,,,,,,,
Market Capitalization,1493.9,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,115.98,136.15,189.95,212.33,203.61,271.21,358.21,417.29,417.37,477.76
Raw Material Cost,40.37,49.39,68.58,70.77,58.89,97.92,129.17,128.54,124.29,136.04
Change in Inventory,-1.8,1.43,4.83,2.61,-2.11,7.95,19.66,6.1,0.78,1.36
Power and Fuel,10.88,11.82,14.15,13.64,12.44,18.61,23.85,26.86,26.16,
Other Mfr. Exp,21.08,28.56,45.44,49.27,42.21,59.61,82.1,103.09,105.13,
Employee Cost,18.38,20.41,22.11,24.74,24.71,29.73,35.86,43.05,46.64,52.62
Selling and admin,3.1,6.65,12.18,11.01,10.44,14.54,18.47,21.87,25.58,
Other Expenses,5.44,2.77,0.78,2.61,0.92,0.7,5.81,2.46,5.01,186.35
Other Income,0.71,1.33,0.18,-1.27,3.13,3.0,8.07,4.4,8.4,22.24
Depreciation,4.0,4.96,8.0,11.28,16.42,15.7,18.69,24.55,29.93,33.52
Interest,5.15,5.71,6.38,8.44,8.47,12.39,20.66,23.63,29.44,29.69
Profit before tax,6.49,8.64,17.34,21.91,30.13,32.96,51.33,53.74,34.37,63.14
Tax,1.35,0.77,7.57,4.93,6.75,9.0,13.88,13.93,8.78,16.58
Net profit,5.14,7.87,9.77,16.98,23.38,23.95,37.45,39.81,25.6,46.56
Dividend Amount,,,,1.08,1.08,1.08,1.62,1.68,,1.83
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,113.43,113.86,105.28,101.51,109.49,101.09,99.91,117.28,130.81,129.76
Expenses,86.26,90.47,83.46,83.45,84.67,81.98,81.15,93.05,100.6,101.96
Other Income,1.93,1.06,0.52,4.2,0.26,4.94,8.05,5.56,3.2,5.43
Depreciation,6.1,6.12,6.98,7.41,7.66,7.88,8.07,8.31,8.48,8.66
Interest,6.06,6.8,6.93,8.11,7.18,7.22,7.49,5.35,5.28,8.46
Profit before tax,16.94,11.53,8.43,6.74,10.24,8.95,11.25,16.13,19.65,16.11
Tax,4.53,3.11,2.17,1.75,2.57,2.28,2.96,4.11,4.99,4.52
Net profit,12.41,8.42,6.26,4.99,7.67,6.67,8.29,12.02,14.66,11.59
Operating Profit,27.17,23.39,21.82,18.06,24.82,19.11,18.76,24.23,30.21,27.8
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,9.93,9.93,10.28,10.78,10.78,10.78,10.78,11.2,11.2,12.21
Reserves,37.52,44.74,56.19,74.37,97.15,120.62,156.7,194.07,217.56,339.92
Borrowings,53.81,66.45,84.8,87.89,109.44,165.03,203.38,288.68,305.99,232.96
Other Liabilities,29.77,36.08,44.69,49.23,53.77,54.79,73.44,85.97,96.88,108.41
Total,131.03,157.2,195.96,222.27,271.14,351.22,444.3,579.92,631.63,693.5
Net Block,63.5,71.67,94.64,108.39,140.46,177.52,227.05,303.78,322.59,342.32
Capital Work in Progress,0.07,0.27,0.19,0.29,0.8,3.91,1.76,6.41,4.61,2.63
Investments,,,,,,,0.14,0.37,1.77,2.38
Other Assets,67.46,85.26,101.13,113.59,129.88,169.79,215.35,269.36,302.66,346.17
Total,131.03,157.2,195.96,222.27,271.14,351.22,444.3,579.92,631.63,693.5
Receivables,31.05,40.55,50.89,53.74,55.19,76.92,84.49,115.13,140.33,153.32
Inventory,26.62,33.02,36.01,41.47,42.45,56.75,95.27,118.8,133.16,137.57
Cash & Bank,2.53,1.11,0.7,0.66,0.73,9.54,2.73,0.76,1.92,7.62
No. of Equity Shares,9931600.0,9931600.0,10281600.0,10782000.0,10782000.0,10782000.0,10782000.0,10782000.0,10782000.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,9.14,4.57,19.09,33.18,38.91,10.63,60.3,35.26,63.96,81.77
Cash from Investing Activity,-5.4,-12.91,-30.96,-26.25,-48.59,-54.68,-75.78,-93.0,-45.97,-53.2
Cash from Financing Activity,-3.96,6.92,11.45,-6.97,9.76,44.0,17.73,57.49,-18.03,-28.52
Net Cash Flow,-0.22,-1.42,-0.41,-0.04,0.08,-0.05,2.25,-0.25,-0.04,0.05
PRICE:,38.6,56.6,68.85,54.2,245.1,615.95,910.8,1181.85,750.0,1205.5
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.99,0.99,1.03,1.08,1.08,1.08,1.08,1.08,1.08,1.18
